shaft_d_mm,bushing_ID_nominal_mm,bushing_OD_mm,bushing_length_each_mm,total_bronze_engagement_mm,central_unbushed_gap_mm,bushing_radial_wall_mm,head_radial_ligament_mm,design_load_per_bushing_kN,B2_reference_reaction_kN,shaft_side_p_design_MPa,shaft_side_p_B2ref_MPa,housing_side_projected_p_design_MPa,AMS4640_static_screen_MPa,MS_AMS4640_static_design,static_bearing_pass,practical_geometry_pass,practical_shortlist
38.0,38.0,46,25,50.0,56.0,4.0,30.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,144.48695652173913,413.685,1.3651946918632647,True,False,False
38.0,38.0,48,25,50.0,56.0,5.0,29.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,138.46666666666667,413.685,1.3651946918632647,True,True,True
38.0,38.0,50,25,50.0,56.0,6.0,28.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,132.928,413.685,1.3651946918632647,True,True,True
38.0,38.0,52,25,50.0,56.0,7.0,27.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,127.81538461538462,413.685,1.3651946918632647,True,True,True
38.0,38.0,54,25,50.0,56.0,8.0,26.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,123.08148148148148,413.685,1.3651946918632647,True,True,True
38.0,38.0,56,25,50.0,56.0,9.0,25.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,118.68571428571428,413.685,1.3651946918632647,True,True,True
38.0,38.0,44,30,60.0,46.0,3.0,31.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,125.87878787878788,413.685,1.8382336302359175,True,False,False
38.0,38.0,46,30,60.0,46.0,4.0,30.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,120.40579710144928,413.685,1.8382336302359175,True,False,False
38.0,38.0,48,30,60.0,46.0,5.0,29.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,115.38888888888889,413.685,1.8382336302359175,True,True,True
38.0,38.0,50,30,60.0,46.0,6.0,28.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,110.77333333333333,413.685,1.8382336302359175,True,True,True
38.0,38.0,52,30,60.0,46.0,7.0,27.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,106.51282051282051,413.685,1.8382336302359175,True,True,True
38.0,38.0,54,30,60.0,46.0,8.0,26.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,102.5679012345679,413.685,1.8382336302359175,True,True,True
38.0,38.0,56,30,60.0,46.0,9.0,25.0,166.16,112.64000000000001,145.75438596491227,98.80701754385966,98.9047619047619,413.685,1.8382336302359175,True,True,True
38.0,38.0,44,35,70.0,36.0,3.0,31.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,107.8961038961039,413.685,2.3112725686085698,True,False,False
38.0,38.0,46,35,70.0,36.0,4.0,30.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,103.20496894409938,413.685,2.3112725686085698,True,False,False
38.0,38.0,48,35,70.0,36.0,5.0,29.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,98.9047619047619,413.685,2.3112725686085698,True,True,True
38.0,38.0,50,35,70.0,36.0,6.0,28.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,94.94857142857143,413.685,2.3112725686085698,True,True,True
38.0,38.0,52,35,70.0,36.0,7.0,27.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,91.2967032967033,413.685,2.3112725686085698,True,True,True
38.0,38.0,54,35,70.0,36.0,8.0,26.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,87.91534391534391,413.685,2.3112725686085698,True,True,True
38.0,38.0,56,35,70.0,36.0,9.0,25.0,166.16,112.64000000000001,124.93233082706767,84.69172932330828,84.77551020408163,413.685,2.3112725686085698,True,True,True
