journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
26.0,5.0,516.780356685791,150.0,20.0,3.0,True,False,-0.3699613299520105,3.0,LC5,0.9144918446379033,216.08106545282456
26.0,5.0,516.780356685791,150.0,25.0,3.0,True,False,-0.45931161652715136,3.0,LC5,1.3931148057973792,172.86485236225965
26.0,5.0,516.780356685791,150.0,30.0,3.0,True,False,-0.5264667508482601,3.0,LC5,1.871737766956855,144.05404363521637
26.0,5.0,516.780356685791,180.0,20.0,3.0,True,False,-0.256089464276711,3.0,LC5,1.264013965518045,182.72212269478794
26.0,5.0,516.780356685791,180.0,25.0,3.0,True,False,-0.3614487031700785,3.0,LC5,1.8300174568975565,146.17769815583034
26.0,5.0,516.780356685791,180.0,30.0,3.0,True,False,-0.4406664978440272,3.0,LC5,2.3960209482770676,121.81474846319196
26.0,10.0,521.780356685791,120.0,20.0,3.0,True,False,-0.48963311078095983,3.0,LC5,0.5483303117387883,267.1816436413554
26.0,10.0,521.780356685791,120.0,25.0,3.0,True,False,-0.5621128040607826,3.0,LC5,0.9354128896734857,213.7453149130843
26.0,10.0,521.780356685791,120.0,30.0,3.0,True,False,-0.61656612094696,3.0,LC5,1.3224954676081828,178.12109576090356
26.0,10.0,521.780356685791,150.0,20.0,3.0,True,False,-0.37240748611653507,3.0,LC5,0.9069953901823513,216.93048641850365
26.0,10.0,521.780356685791,150.0,25.0,3.0,True,False,-0.4614134029820296,3.0,LC5,1.3837442377279392,173.5443891348029
26.0,10.0,521.780356685791,150.0,30.0,3.0,True,False,-0.528309159129512,3.0,LC5,1.8604930852735269,144.62032427900243
26.0,10.0,521.780356685791,180.0,20.0,3.0,True,False,-0.2589319167826206,3.0,LC5,1.2552760722400453,183.43006547274277
26.0,10.0,521.780356685791,180.0,25.0,3.0,True,False,-0.3638920650397407,3.0,LC5,1.8190950903000562,146.74405237819423
26.0,10.0,521.780356685791,180.0,30.0,3.0,True,False,-0.44280903338321576,3.0,LC5,2.3829141083600676,122.28671031516186
26.0,15.0,526.780356685791,120.0,20.0,3.0,True,False,-0.49163924849448515,3.0,LC5,0.5422022278107292,268.24331474177603
26.0,15.0,526.780356685791,120.0,25.0,3.0,True,False,-0.5638357250625545,3.0,LC5,0.9277527847634115,214.59465179342084
26.0,15.0,526.780356685791,120.0,30.0,3.0,True,False,-0.618075896974356,3.0,LC5,1.313303341716094,178.82887649451735
26.0,15.0,526.780356685791,150.0,20.0,3.0,True,False,-0.37483480622756493,3.0,LC5,0.8995571526776944,217.77993729062246
26.0,15.0,526.780356685791,150.0,25.0,3.0,True,False,-0.46349898554792224,3.0,LC5,1.3744464408471178,174.22394983249796
26.0,15.0,526.780356685791,150.0,30.0,3.0,True,False,-0.5301373503224536,3.0,LC5,1.8493357290165413,145.18662486041498
26.0,15.0,526.780356685791,180.0,20.0,3.0,True,False,-0.26175282486646345,3.0,LC5,1.2466050758670337,184.13803210626494
26.0,15.0,526.780356685791,180.0,25.0,3.0,True,False,-0.36631688095023707,3.0,LC5,1.8082563448337923,147.31042568501195
26.0,15.0,526.780356685791,180.0,30.0,3.0,True,False,-0.4449352888990218,3.0,LC5,2.3699076138005504,122.75868807084329
26.0,20.0,531.780356685791,120.0,20.0,3.0,True,False,-0.4936297487207659,3.0,LC5,0.536122240647559,269.3050244593235
26.0,20.0,531.780356685791,120.0,25.0,3.0,True,False,-0.5655452030467054,3.0,LC5,0.9201528008094484,215.4440195674588
