ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
5.0,180.0,20.0,2.0,26.0,516.780356685791,1677.0162549051993,0.11030527852889405,182.72212269478794,1.264013965518045,PASS
5.0,180.0,20.0,2.5,28.0,517.780356685791,1676.1983176109504,0.11084707605116129,169.80201580516035,1.4362810749242563,PASS
5.0,180.0,20.0,3.0,30.0,518.780356685791,1634.3637980996077,0.13928123112190893,158.60459066883874,1.6082816130704782,PASS
5.0,180.0,25.0,1.0,22.0,514.780356685791,1623.1639651422179,0.1471422727382048,172.48773674398822,1.3983469514943354,PASS
5.0,180.0,25.0,1.5,26.0,516.780356685791,1470.5230309587903,0.2662161426917362,146.17769815583034,1.8300174568975565,PASS
5.0,180.0,25.0,2.0,28.0,517.780356685791,1565.8928883768303,0.18909793499995242,135.84161264412828,2.045351343655321,PASS
5.0,180.0,25.0,2.5,30.0,518.780356685791,1589.4878788071412,0.17144649218550212,126.883672535071,2.2603520163380977,PASS
5.0,180.0,25.0,3.0,32.0,519.780356685791,1570.7699295609139,0.1854059368964971,119.04547556421058,2.4750202444020526,PASS
5.0,180.0,30.0,1.0,22.0,514.780356685791,1850.0422785764267,0.006463485490058485,143.73978061999017,1.8780163417932028,PASS
5.0,180.0,30.0,1.5,26.0,516.780356685791,1677.0162549051993,0.11030527852889405,121.81474846319196,2.3960209482770676,PASS
5.0,180.0,30.0,2.0,28.0,517.780356685791,1786.5037468450703,0.04225921904068475,113.20134387010691,2.6544216123863844,PASS
5.0,180.0,30.0,2.5,30.0,518.780356685791,1813.8674752694737,0.026535855230203964,105.73639377922584,2.912422419605717,PASS
5.0,180.0,30.0,3.0,32.0,519.780356685791,1792.8012876324317,0.03859809385732427,99.20456297017547,3.170024293282464,PASS
10.0,120.0,20.0,1.0,24.0,520.780356685791,1563.7655240481083,0.19071559729738397,289.2167569371919,0.4303646924577751,PASS
10.0,120.0,20.0,1.5,26.0,521.780356685791,1836.7131312650533,0.01376745682518754,267.1816436413554,0.5483303117387883,PASS
10.0,120.0,20.0,2.0,30.0,523.780356685791,1593.7463051096067,0.16831643407132146,231.92546642897892,0.7836999272211529,PASS
10.0,120.0,20.0,2.5,32.0,524.780356685791,1639.9505852758507,0.13540006431766916,217.60264633399024,0.9011048098888981,PASS
10.0,120.0,20.0,3.0,34.0,525.780356685791,1640.0753529926205,0.13531368946093658,204.96486508407543,1.0183236644993285,PASS
10.0,120.0,25.0,1.0,24.0,520.780356685791,1819.4892823345604,0.023364093472919345,231.37340554975353,0.787955865572219,PASS
10.0,120.0,25.0,1.5,28.0,522.780356685791,1715.2146755721742,0.0855783981552396,198.6355240999926,1.082635719187135,PASS
10.0,120.0,25.0,2.0,30.0,523.780356685791,1856.2322386994056,0.0031072412063242183,185.54037314318313,1.229624909026441,PASS
10.0,120.0,25.0,2.5,34.0,525.780356685791,1594.9249426974038,0.1674530569764039,163.97189206726034,1.5229045806241608,PASS
10.0,120.0,25.0,3.0,36.0,526.780356685791,1611.8401300798546,0.15520141560674006,154.98502629524836,1.6691961635185701,PASS
10.0,120.0,30.0,1.0,26.0,521.780356685791,1635.4195014949285,0.13854579714743243,178.12109576090356,1.3224954676081828,PASS
