check,case,load_level,station_m,lever_y_m,Kt,N_kN,Mb_kNm,T_struct_kNm,T_geom_kNm,sigma_axial_MPa,sigma_bending_MPa,tau_torsion_MPa,vm_MPa,vm_geom_torsion_sens_MPa,allowable_MPa,MS,status,delta_x_mm,delta_z_mm,delta_resultant_mm
KNUCKLE_BIG_END_KT_SCREEN,LC2B,ultimate,0.03,,1.5,37.53,4.897134734225335,-1.1259,,12.252482080489912,172.45222055693876,19.824240669556715,187.86917983201627,,1862.0,8.911152013677349,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC2B,ultimate,0.05,,1.5,37.53,4.973831303824673,-1.1259,,55.30634272443365,869.9668525526071,98.46490757897118,940.8594475115774,,1862.0,0.9790416144777969,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC2B,ultimate,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.03238456469808782,0.12953825879235129,0.133524980889865
AXLE_A_BASELINE_REGRESSION,LC3,limit,0.0,0.12,1.0,0.0,3.0024,0.0,-0.0,0.0,311.19542639568783,0.0,311.19542639568783,311.19542639568783,1517.0,3.874750305845179,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC3,limit,0.0,0.07999999999999999,1.5,0.0,2.0016,0.0,-0.0,0.0,311.1954263956878,0.0,311.1954263956878,311.1954263956878,1517.0,3.87475030584518,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC3,limit,0.03,,1.5,25.02,3.0024,-0.0,,8.168321386993275,105.72928357096913,0.0,113.89760495796241,,1517.0,12.318980680584968,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC3,limit,0.05,,1.5,25.02,3.0024,-0.0,,36.870895149622434,525.146173754513,0.0,562.0170689041355,,1517.0,1.6992062767025287,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC3,limit,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.0,0.08635883919490085,0.08635883919490085
AXLE_A_BASELINE_REGRESSION,LC3,ultimate,0.0,0.12,1.0,0.0,4.5036,0.0,-0.0,0.0,466.7931395935317,0.0,466.7931395935317,466.7931395935317,1862.0,2.988918949454504,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC3,ultimate,0.0,0.07999999999999999,1.5,0.0,3.0023999999999997,0.0,-0.0,0.0,466.7931395935317,0.0,466.7931395935317,466.7931395935317,1862.0,2.988918949454504,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC3,ultimate,0.03,,1.5,37.53,4.5036,-0.0,,12.252482080489912,158.59392535645372,0.0,170.84640743694362,,1862.0,9.898678104701915,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC3,ultimate,0.05,,1.5,37.53,4.5036,-0.0,,55.30634272443365,787.7192606317694,0.0,843.0256033562031,,1862.0,1.2087110908460157,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC3,ultimate,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.0,0.12953825879235129,0.12953825879235129
AXLE_A_BASELINE_REGRESSION,LC4+,limit,0.0,0.12,1.0,8.34,2.7905640000000003,0.0,-0.0,7.900906103490517,289.23886019999213,0.0,297.13976630348265,297.13976630348265,1517.0,4.105341566603433,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC4+,limit,0.0,0.07999999999999999,1.5,8.34,2.3468760000000004,0.0,-0.0,7.900906103490517,364.87663744894405,0.0,372.77754355243457,372.77754355243457,1517.0,3.0694511411377983,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC4+,limit,0.03,,1.5,11.0922,3.0407640000000002,-0.0,,3.6212891482336858,107.08026886104265,0.0,110.70155800927633,,1517.0,12.703510838328777,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC4+,limit,0.05,,1.5,11.0922,3.2075639999999996,-0.0,,16.346096849665944,561.0311622944048,0.0,577.3772591440708,,1517.0,1.6273982495411525,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC4+,limit,0.0,0.07999999999999999,,8.34,,,,,,,,,,,REPORT,0.0,0.1327407324124955,0.1327407324124955
AXLE_A_BASELINE_REGRESSION,LC4+,ultimate,0.0,0.12,1.0,12.51,4.185846000000001,0.0,-0.0,11.851359155235775,433.85829029998814,0.0,445.70964945522394,445.70964945522394,1862.0,3.177607557466751,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC4+,ultimate,0.0,0.07999999999999999,1.5,12.51,3.5203140000000004,0.0,-0.0,11.851359155235775,547.314956173416,0.0,559.1663153286518,559.1663153286518,1862.0,2.329957382904232,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC4+,ultimate,0.03,,1.5,16.638300000000005,4.561146,-0.0,,5.4319337223505295,160.62040329156392,0.0,166.05233701391447,,1862.0,10.213332094470747,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC4+,ultimate,0.05,,1.5,16.638300000000005,4.8113459999999995,-0.0,,24.51914527449892,841.546743441607,0.0,866.065888716106,,1862.0,1.1499518965702604,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC4+,ultimate,0.0,0.07999999999999999,,12.51,,,,,,,,,,,REPORT,0.0,0.1991110986187433,0.1991110986187433
AXLE_A_BASELINE_REGRESSION,LC4-,limit,0.0,0.12,1.0,-8.34,0.1284359999999999,0.0,-0.0,7.900906103490517,13.312248795815526,0.0,21.213154899306044,21.213154899306044,1517.0,70.51222942560167,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC4-,limit,0.0,0.07999999999999999,1.5,-8.34,0.5721240000000001,0.0,-0.0,7.900906103490517,88.95002604476743,0.0,96.85093214825794,96.85093214825794,1517.0,14.663246252269408,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC4-,limit,0.03,,1.5,11.0922,0.37863599999999975,-0.0,,3.6212891482336858,13.333637428116653,0.0,16.95492657635034,,1517.0,88.47251957528348,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC4-,limit,0.05,,1.5,11.0922,0.5454359999999997,-0.0,,16.346096849665944,95.40155489873648,0.0,111.74765174840242,,1517.0,12.575229333816292,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC4-,limit,0.0,0.07999999999999999,,-8.34,,,,,,,,,,,REPORT,0.0,-0.056169228326350094,0.056169228326350094
AXLE_A_BASELINE_REGRESSION,LC4-,ultimate,0.0,0.12,1.0,-12.51,0.19265399999999977,0.0,-0.0,11.851359155235775,19.968373193723277,0.0,31.81973234895905,31.81973234895905,1862.0,57.5171484027556,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC4-,ultimate,0.0,0.07999999999999999,1.5,-12.51,0.8581859999999999,0.0,-0.0,11.851359155235775,133.42503906715115,0.0,145.27639822238692,145.27639822238692,1862.0,11.816947713348995,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC4-,ultimate,0.03,,1.5,16.638300000000005,0.5679539999999995,-0.0,,5.4319337223505295,20.00045614217498,0.0,25.432389864525508,,1862.0,72.21372509302476,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC4-,ultimate,0.05,,1.5,16.638300000000005,0.8181539999999993,-0.0,,24.51914527449892,143.10233234810465,0.0,167.62147762260358,,1862.0,10.108361687350449,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC4-,ultimate,0.0,0.07999999999999999,,-12.51,,,,,,,,,,,REPORT,0.0,-0.08425384248952515,0.08425384248952515
AXLE_A_BASELINE_REGRESSION,LC5,limit,0.0,0.12,1.0,0.0,1.7045936319948636,1.552908,1.552908,0.0,176.67923732347978,80.47859499288481,225.04658552684788,225.04658552684788,1517.0,5.740826555748935,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC5,limit,0.0,0.07999999999999999,1.5,0.0,1.1363957546632424,1.552908,1.552908,0.0,176.67923732347978,120.71789248932724,273.74071966443137,273.74071966443137,1517.0,4.541740380677139,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC5,limit,0.03,,1.5,11.0922,2.254092246801058,1.0648512,,3.6212891482336858,79.37768397187317,18.749326286585198,89.12598525455257,,1517.0,16.02084970693226,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC5,limit,0.05,,1.5,11.0922,2.3996097514620995,1.0648512,,16.346096849665944,419.712856209812,93.12592147913365,464.9351807481783,,1517.0,2.2628204162972323,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC5,limit,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,-0.030628601634458172,0.03828575204307272,0.049029685371068624
AXLE_A_BASELINE_REGRESSION,LC5,ultimate,0.0,0.12,1.0,0.0,2.5568904479922954,2.3293619999999997,2.3293619999999997,0.0,265.01885598521966,120.71789248932723,337.56987829027184,337.56987829027184,1862.0,4.515894988707764,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC5,ultimate,0.0,0.07999999999999999,1.5,0.0,1.7045936319948636,2.3293619999999997,2.3293619999999997,0.0,265.01885598521966,181.07683873399083,410.611079496647,410.611079496647,1862.0,3.5347047193235923,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC5,ultimate,0.03,,1.5,16.638300000000005,3.381138370201586,1.5972768,,5.4319337223505295,119.06652595780972,28.123989429877792,133.6889778818288,,1862.0,12.927849771174634,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC5,ultimate,0.05,,1.5,16.638300000000005,3.5994146271931493,1.5972768,,24.51914527449892,629.5692843147181,139.68888221870046,697.4027711222676,,1862.0,1.6699062250694112,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC5,ultimate,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,-0.04594290245168725,0.057428628064609084,0.07354452805660293
