Do_mm,wall_mm,Di_mm,h_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_yield_limit,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_case,limit_tau_screen_MPa,MS_shear_limit,ultimate_shear_case,ultimate_tau_screen_MPa,MS_shear_ultimate,buckling_method,slenderness,Cc,Pcr_kN,MS_buckling,PASS
58.0,2.0,54.00000000000001,250.0,351.8583772020565,138104.41305180715,276208.8261036143,2.769125428580185,LC4+,1055.3250347280837,0.43747182155199416,LC4+,1582.9875520921257,0.1762568805668261,LC5,50.43938456468352,16.36421579921309,LC5,75.65907684702528,13.208819959628551,JOHNSON,25.237723256253442,51.647465077611216,470.04181594226117,11.524428882021349,True
58.0,2.25,53.50000000000001,250.0,394.0735284846694,153350.0191704796,306700.0383409592,3.1013586691743478,LC4+,950.1647435638159,0.5965652380555979,LC4+,1425.247115345724,0.3064401112984061,LC5,45.036062351725384,18.447534101016004,LC5,67.55409352758807,14.913561193624169,JOHNSON,25.346425326898416,51.647465077611216,525.8201909496871,13.010663228075863,True
58.0,2.5,53.00000000000001,250.0,435.8959806855834,168174.11804825673,336348.23609651346,3.4305013679955416,LC4+,866.1907498197819,0.7513463406479743,LC4+,1299.286124729673,0.4330946544875973,LC5,40.7150347477085,20.511472697685857,LC5,61.072552121562744,16.602444369629122,JOHNSON,25.45551320319503,51.647465077611216,580.9378195889533,14.479291755634247,True
58.0,2.75,52.50000000000001,250.0,477.32573380479903,182584.5513949263,365169.1027898526,3.7565535250437683,LC4+,797.62660478663,0.901892427981144,LC4+,1196.439907179945,0.5562837622064996,LC5,37.181150612880636,22.55603158922268,LC5,55.77172591932095,18.27546948764343,JOHNSON,25.56497747309049,51.647465077611216,635.3950455232593,15.93032362172287,True
58.0,3.0,52.00000000000001,250.0,518.3627878423156,196589.08728919824,393178.1745783965,4.079515140319024,LC4+,740.6213379271334,1.048280170060738,LC4+,1110.9320068907,0.6760701721173781,LC5,34.23764285602759,24.581210775626435,LC5,51.35646428404138,19.93263654766707,JOHNSON,25.674808298154836,51.647465077611216,689.1922563991907,17.363769155320828,True
58.0,3.25,51.50000000000001,250.0,559.0071427981336,210195.4201787045,420390.840357409,4.399386213821312,LC4+,692.5088871673348,1.1905856056305582,LC4+,1038.7633307510023,0.792516105332498,LC5,31.748288422870676,26.58701025689715,LC5,47.622432634306016,21.57394554970006,JOHNSON,25.784995403321364,51.647465077611216,742.3298854527687,18.77963990015371,True
58.0,3.5,51.00000000000001,250.0,599.2587986722529,223411.1708799993,446822.3417599986,4.71616674555063,LC4+,651.384916158318,1.3288841395757705,LC4+,977.0773742374771,0.9056832642892045,LC5,29.615785432474706,28.57343003303481,LC5,44.423678148712064,23.19939649374239,JOHNSON,25.895528066587932,51.647465077611216,794.8084131429878,20.177948658219766,True
58.0,3.75,50.5,250.0,639.1177554646733,236243.8865785591,472487.7731571182,5.029856735506979,LC4+,615.8529045882597,1.4632505403448888,LC4+,923.7793568823897,1.0156328306403792,LC5,27.768779459266607,30.54047010403942,LC5,41.6531691888999,24.80898937979407,JOHNSON,26.006395108692697,51.647465077611216,846.6283688116464,21.55870953401669,True
58.0,4.0,50.0,250.0,678.5840131753951,248701.04082878242,497402.08165756485,5.3404561836903595,LC4+,584.8654545846443,1.593758937390707,LC4+,877.2981818769665,1.1224254631604031,LC5,26.153754959465513,32.48813046991098,LC5,39.23063243919826,26.402724207855083,JOHNSON,26.117584882778505,51.647465077611216,897.7903323681196,22.921937979432975,True
58.0,4.25,49.5,250.0,717.6575718044184,260790.03355398998,521580.06710797996,5.647965090100773,LC4+,557.6216065807554,1.7204828186303547,LC4+,836.4324098711331,1.226121295666763,LC5,24.72978854717176,34.41641113064949,LC5,37.09468282075763,27.98060097792545,JOHNSON,26.22908526406128,51.647465077611216,948.2949359975729,24.26765083926387,True
