level,case,side,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Ry_kN,Rz_kN,R_kN,effective_half_head_thickness_mm,vertical_width_mm,lateral_width_mm,vertical_edge_ligament_mm,lateral_edge_ligament_mm,bearing_z_MPa,MS_bearing_z_nominal,net_z_MPa,MS_net_z,shearout_z_MPa,MS_shearout_z,bearing_y_MPa,MS_bearing_y_nominal,net_y_MPa,MS_net_y,shearout_y_MPa,MS_shearout_y
ultimate,LC2A,LEFT,-9.3825,0.0,37.53,4.5036,11.144349199552499,1.1259,7.505999999999999,-93.06066133035,93.3628765797311,53.0,78.0,106.0,20.0,34.0,46.20688248776068,11.379108245433175,43.89653836337264,12.030640258350711,43.89653836337264,6.523243660871959,3.7269116186693143,152.47828403943515,2.082685904550499,273.6453503863576,2.082685904550499,157.56656697724267
ultimate,LC2A,RIGHT,-9.3825,0.0,37.53,4.5036,11.144349199552499,1.1259,-7.505999999999999,55.53066133035,56.03565279164711,53.0,78.0,106.0,20.0,34.0,27.5723243944141,19.745439949773765,26.193708174693395,20.837305210288175,26.193708174693395,11.607774041535896,3.7269116186693143,152.47828403943515,2.082685904550499,273.6453503863576,2.082685904550499,157.56656697724267
ultimate,LC2B,LEFT,9.3825,0.0,37.53,4.5036,-11.144349199552499,-1.1259,-7.505999999999999,55.53066133035,56.03565279164711,53.0,78.0,106.0,20.0,34.0,27.5723243944141,19.745439949773765,26.193708174693395,20.837305210288175,26.193708174693395,11.607774041535896,3.7269116186693143,152.47828403943515,2.082685904550499,273.6453503863576,2.082685904550499,157.56656697724267
ultimate,LC2B,RIGHT,9.3825,0.0,37.53,4.5036,-11.144349199552499,-1.1259,7.505999999999999,-93.06066133035,93.3628765797311,53.0,78.0,106.0,20.0,34.0,46.20688248776068,11.379108245433175,43.89653836337264,12.030640258350711,43.89653836337264,6.523243660871959,3.7269116186693143,152.47828403943515,2.082685904550499,273.6453503863576,2.082685904550499,157.56656697724267
ultimate,LC3,LEFT,0.0,0.0,37.53,4.5036,-0.0,-0.0,-0.0,-18.765,18.765,53.0,78.0,106.0,20.0,34.0,9.317279046673287,60.39131361577405,8.851415094339623,63.62243538502531,8.851415094339623,36.30978046523356,0.0,inf,0.0,inf,0.0,inf
ultimate,LC3,RIGHT,0.0,0.0,37.53,4.5036,-0.0,-0.0,0.0,-18.765,18.765,53.0,78.0,106.0,20.0,34.0,9.317279046673287,60.39131361577405,8.851415094339623,63.62243538502531,8.851415094339623,36.30978046523356,0.0,inf,0.0,inf,0.0,inf
ultimate,LC4+,LEFT,0.0,12.51,16.638300000000005,16.85572826607,-0.0,-0.0,-6.255,-8.319150000000002,10.408327518026132,53.0,78.0,106.0,20.0,34.0,4.130660377358491,137.47664725362566,3.924127358490567,144.76489184592174,3.924127358490567,83.1573995456396,3.105759682224429,183.17394084732214,1.7355715871254163,328.5744204636291,1.7355715871254163,189.27988037269117
ultimate,LC4+,RIGHT,0.0,12.51,16.638300000000005,16.85572826607,-0.0,-0.0,-6.255,-8.319150000000002,10.408327518026132,53.0,78.0,106.0,20.0,34.0,4.130660377358491,137.47664725362566,3.924127358490567,144.76489184592174,3.924127358490567,83.1573995456396,3.105759682224429,183.17394084732214,1.7355715871254163,328.5744204636291,1.7355715871254163,189.27988037269117
ultimate,LC4-,LEFT,0.0,-12.51,16.638300000000005,-12.862536266069997,-0.0,-0.0,6.255,-8.319150000000002,10.408327518026132,53.0,78.0,106.0,20.0,34.0,4.130660377358491,137.47664725362566,3.924127358490567,144.76489184592174,3.924127358490567,83.1573995456396,3.105759682224429,183.17394084732214,1.7355715871254163,328.5744204636291,1.7355715871254163,189.27988037269117
ultimate,LC4-,RIGHT,0.0,-12.51,16.638300000000005,-12.862536266069997,-0.0,-0.0,6.255,-8.319150000000002,10.408327518026132,53.0,78.0,106.0,20.0,34.0,4.130660377358491,137.47664725362566,3.924127358490567,144.76489184592174,3.924127358490567,83.1573995456396,3.105759682224429,183.17394084732214,1.7355715871254163,328.5744204636291,1.7355715871254163,189.27988037269117
