upper_OD_mm,taper_start_A_mm,Kt_peak,station_A_mm,station_U_mm,profile_OD_mm,local_Kt,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
102.0,275.0,1.5,610.0,135.0,87.13557137482022,1.499151833779239,LC4+,261.1956308802371,0.9257596243278454,LC4+,391.7934463203557,0.4599529557528528,True
102.0,275.0,1.5,620.0,145.0,87.73614343250355,1.4999210571237824,LC4+,255.8163480380192,0.9662543221250448,LC4+,383.7245220570287,0.49065271339367267,True
102.0,275.0,1.5,630.0,155.0,88.33714780426277,1.4998711018367237,LC4+,250.5392284115262,1.0076696299782295,LC4+,375.8088426172894,0.5220504020510897,True
102.0,275.0,1.5,640.0,165.0,88.93759975999782,1.4990019679180626,LC4+,245.36788117000611,1.049983060543651,LC4+,368.05182175500926,0.5541289736659616,True
102.0,275.0,1.5,650.0,175.0,89.53651456960867,1.4973136553677997,LC4+,240.304909288847,1.0931740491218718,LC4+,360.4573639332705,0.5868728377703256,True
102.0,275.0,1.5,660.0,185.0,90.13290750299528,1.4948061641859347,LC4+,235.35204717438887,1.13722381444718,LC4+,353.02807076158336,0.6202677559493528,True
102.0,275.0,1.5,670.0,195.0,90.72579383005761,1.4914794943724679,LC4+,230.510280629853,1.1821152558818122,LC4+,345.7654209447795,0.6543007639024472,True
102.0,275.0,1.5,680.0,205.0,91.31418882069562,1.4873336459273987,LC4+,225.77995110552914,1.2278328856794674,LC4+,338.6699266582936,0.6889601200909949,True
102.0,275.0,1.5,690.0,215.0,91.89710774480925,1.4823686188507275,LC4+,221.16084601661848,1.2743627954932113,LC4+,331.7412690249277,0.7242352803474046,True
102.0,275.0,1.5,700.0,225.0,92.47356587229848,1.4765844131424541,LC4+,216.65227674574766,1.321692656801829,LC4+,324.97841511862157,0.7601168981983377,True
102.0,275.0,1.5,710.0,235.0,93.04257847306326,1.4699810288025787,LC4+,212.25314578168224,1.3698117554279832,LC4+,318.3797186725234,0.7965968510335404,True
102.0,275.0,1.5,720.0,245.0,93.60316081700356,1.4625584658311015,LC4+,207.96200428611786,1.418711060833803,LC4+,311.94300642917676,0.8336682926400734,True
102.0,275.0,1.5,730.0,255.0,94.15432817401933,1.4543167242280222,LC4+,203.7771012296632,1.4683833314181025,LC4+,305.66565184449473,0.8713257330300266,True
102.0,275.0,1.5,740.0,265.0,94.69509581401053,1.4452558039933407,LC4+,199.69642509792627,1.5188232576188634,LC4+,299.5446376468894,0.9095651469290789,True
102.0,275.0,1.5,750.0,275.0,95.22447900687712,1.4353757051270573,LC4+,195.71773903967954,1.5700276452612325,LC4+,293.57660855951934,0.948384112775911,True
102.0,275.0,1.5,760.0,285.0,95.74149302251907,1.4246764276291715,LC4+,191.83861021139387,1.621995642304363,LC4+,287.75791531709086,0.9877819846230556,True
102.0,275.0,1.5,770.0,295.0,96.24515313083631,1.4131579714996838,LC4+,188.05643396556388,1.6747290129520764,LC4+,282.0846509483459,1.0277600999451124,True
102.0,275.0,1.5,780.0,305.0,96.73447460172883,1.400820336738594,LC4+,184.36845343340465,1.7282324640299032,LC4+,276.5526801501069,1.068322027071047,True
102.0,275.0,1.5,790.0,315.0,97.20847270509658,1.3876635233459023,LC4+,180.77177496474596,1.7825140296271078,LC4+,271.157662447119,1.1094738567882114,True
102.0,275.0,1.5,800.0,325.0,97.6661627108395,1.3736875313216086,LC4+,177.26337980819247,1.837585521297576,LC4+,265.8950697122888,1.1512245436477309,True
102.0,275.0,1.5,810.0,335.0,98.10655988885757,1.3588923606657126,LC4+,173.84013234172934,1.8934630526581673,LC4+,260.760198512594,1.193586303671931,True
102.0,275.0,1.5,820.0,345.0,98.52867950905076,1.3432780113782148,LC4+,170.4987850967661,1.9501676490804538,LC4+,255.74817764514916,1.2365750765725907,True
102.0,275.0,1.5,830.0,355.0,98.931536841319,1.3268444834591147,LC4+,167.23598075591784,2.0077259554218316,LC4+,250.85397113387683,1.2802110622946152,True
102.0,275.0,1.5,840.0,365.0,99.31414715556227,1.3095917769084127,LC4+,164.0482512454481,2.0661710574860934,LC4+,246.0723768681722,1.3245193437800467,True
102.0,275.0,1.5,850.0,375.0,99.67552572168051,1.2915198917261086,LC4+,160.9320139859921,2.1255434362723022,LC4+,241.39802097898814,1.3695306104012683,True
102.0,275.0,1.5,860.0,385.0,100.01468780957372,1.2726288279122022,LC4+,157.88356530868552,2.1858920782322167,LC4+,236.82534796302826,1.4152819996671013,True
102.0,275.0,1.5,870.0,395.0,100.33064868914181,1.252918585466694,LC4+,154.89907098682008,2.2472757699289163,LC4+,232.3486064802301,1.4618180787267594,True
102.0,275.0,1.5,880.0,405.0,100.62242363028477,1.2323891643895837,LC4+,151.97455377419385,2.3097646119584283,LC4+,227.9618306612908,1.5091919921010217,True
102.0,275.0,1.5,890.0,415.0,100.88902790290254,1.2110405646808715,LC4+,149.1058777788865,2.3734417951377713,LC4+,223.65881666832976,1.5574668082422862,True
102.0,275.0,1.5,900.0,425.0,101.1294767768951,1.1888727863405568,LC4+,146.2887294334942,2.438405692276341,LC4+,219.43309415024132,1.6067171053440252,True
102.0,275.0,1.5,910.0,435.0,101.34278552216239,1.1658858293686403,LC4+,143.5185947479448,2.5047723319991815,LC4+,215.27789212191718,1.6570308467906325,True
102.0,275.0,1.5,920.0,445.0,101.52796940860438,1.1420796937651219,LC4+,140.7907324465336,2.572678337979513,LC4+,211.1860986698005,1.708511609442387,True
102.0,275.0,1.5,930.0,455.0,101.68404370612102,1.1174543795300012,LC4+,138.10014249407354,2.6422844387838764,LC4+,207.15021374111032,1.761281244512097,True
102.0,275.0,1.5,940.0,465.0,101.81002368461228,1.0920098866632786,LC4+,135.44152940374258,2.713779682010154,LC4+,203.16229410561382,1.8154830723788051,True
102.0,275.0,1.5,950.0,475.0,101.9049246139781,1.065746215164954,LC4+,132.80925958742716,2.7873865238204987,LC4+,199.21388938114086,1.8712857410541073,True
102.0,275.0,1.5,960.0,485.0,101.96776176411846,1.038663365035027,LC4+,130.19731185328934,2.863367014572445,LC4+,195.29596777993402,1.9288879156201966,True
102.0,275.0,1.5,970.0,495.0,101.99755040493332,1.0107613362734982,LC4+,127.5992199691068,2.9420303675977166,LC4+,191.39882995366017,1.9885240162569837,True
102.0,275.0,1.5,973.780356685791,498.78035668579105,102.0,1.0,LC4+,126.61923493678245,2.9725401930530877,LC4+,189.92885240517367,2.011654062858007,True
102.0,275.0,1.75,250.0,-225.0,74.0,1.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471,True
102.0,275.0,1.75,260.0,-215.0,74.0,1.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456,True
102.0,275.0,1.75,270.0,-205.0,74.0,1.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916,True
102.0,275.0,1.75,280.0,-195.0,74.00428017260549,1.0213123766208345,LC4+,312.4813503576443,0.6096960648189127,LC4+,468.7220255364665,0.22033949513110396,True
102.0,275.0,1.75,290.0,-185.0,74.03815227966193,1.0630155539019515,LC4+,328.32472631083925,0.5320198562315654,LC4+,492.4870894662587,0.16145176642074976,True
102.0,275.0,1.75,300.0,-175.0,74.10495279409558,1.1034899632356652,LC4+,342.8710545619119,0.46702380766053797,LC4+,514.3065818428678,0.11217709474065973,True
102.0,275.0,1.75,310.0,-165.0,74.20369698580642,1.1427356046219759,LC4+,356.00759835982467,0.4128911919784557,LC4+,534.011397539737,0.07113818662912741,True
102.0,275.0,1.75,320.0,-155.0,74.3334001246944,1.1807524780608833,LC4+,367.6576440583515,0.36812060929207324,LC4+,551.4864660875271,0.03719680386357327,True
102.0,275.0,1.75,330.0,-145.0,74.4930774806595,1.2175405835523878,LC4+,377.77974154991546,0.33146366699374585,LC4+,566.6696123248734,0.009406517588366414,True
102.0,275.0,1.75,340.0,-135.0,74.68174432360165,1.2530999210964893,LC4+,386.3653662198465,0.3018765240820964,LC4+,579.54804932977,-0.013024026805886324,False
102.0,275.0,1.75,350.0,-125.0,74.89841592342081,1.2874304906931875,LC4+,393.4353728515413,0.27848189234830634,LC4+,590.1530592773121,-0.03075991726543259,False
102.0,275.0,1.75,360.0,-115.0,75.14210755001697,1.3205322923424827,LC4+,399.03565150363795,0.2605389972164285,LC4+,598.5534772554568,-0.0443627482998048,False
102.0,275.0,1.75,370.0,-105.0,75.41183447329006,1.352405326044375,LC4+,403.2323843858363,0.24741965049786319,LC4+,604.8485765787545,-0.05430876065635826,False
102.0,275.0,1.75,380.0,-95.0,75.70661196314005,1.3830495917988639,LC4+,406.10725394348617,0.2385890552696146,LC4+,609.1608809152292,-0.06100339348678652,False
102.0,275.0,1.75,390.0,-85.0,76.0254552894669,1.4124650896059499,LC4+,407.75288083348084,0.23359030345003595,LC4+,611.6293212502212,-0.06479303701335892,False
102.0,275.0,1.75,400.0,-75.0,76.36737972217057,1.4406518194656326,LC4+,408.26869046747186,0.2320317764853823,LC4+,612.4030357012076,-0.06597458429471326,False
102.0,275.0,1.75,410.0,-65.0,76.73140053115101,1.4676097813779125,LC4+,407.7573296008545,0.23357684457168837,LC4+,611.6359944012821,-0.06480324043074182,False
102.0,275.0,1.75,420.0,-55.0,77.11653298630819,1.4933389753427893,LC4+,406.32168755514755,0.23793539800095198,LC4+,609.4825313327211,-0.06149894280113355,False
102.0,275.0,1.75,430.0,-45.0,77.52179235754207,1.5178394013602627,LC4+,404.06252390630357,0.24485684823529597,LC4+,606.0937858594554,-0.056251667076753775,False
102.0,275.0,1.75,440.0,-35.0,77.9461939147526,1.541111059430333,LC4+,401.07666671813035,0.254124315223502,LC4+,601.6150000771955,-0.04922583391935964,False
102.0,275.0,1.75,450.0,-25.0,78.38875292783973,1.5631539495530007,LC4+,397.4557214824632,0.2655497777812055,LC4+,596.1835822236948,-0.04056398556547436,False
102.0,275.0,1.75,460.0,-15.0,78.84848466670346,1.583968071728265,LC4+,393.28521854393875,0.27897001026954094,LC4+,589.9278278159084,-0.030389866303277446,False
102.0,275.0,1.75,470.0,-5.0,79.3244044012437,1.6035534259561262,LC4+,388.6441232163191,0.29424316476806855,LC4+,582.9661848244787,-0.01881101358868764,False
102.0,275.0,1.75,480.0,5.0,79.81552740136044,1.6219100122365844,LC4+,383.60463539156945,0.311245885979861,LC4+,575.4069530873543,-0.005920945287633761,False
102.0,275.0,1.75,490.0,15.0,80.32086893695363,1.6390378305696394,LC4+,378.2322119104928,0.3298708681084861,LC4+,567.3483178657392,0.008198988148514497,True
102.0,275.0,1.75,500.0,25.0,80.83944427792323,1.6549368809552911,LC4+,372.58575348778953,0.3500247803127139,LC4+,558.8786302316844,0.023478030932898797,True
102.0,275.0,1.75,510.0,35.0,81.3702686941692,1.66960716339354,LC4+,366.7179072330047,0.37162650113075757,LC4+,550.0768608495069,0.03985468342848719,True
102.0,275.0,1.75,520.0,45.0,81.9123574555915,1.6830486778843858,LC4+,360.6754448806375,0.39460561327224153,LC4+,541.0131673209563,0.057275561022825716,True
102.0,275.0,1.75,530.0,55.0,82.46472583209008,1.6952614244278283,LC4+,354.4996851860792,0.41890111901219895,LC4+,531.7495277791189,0.0756944202451657,True
102.0,275.0,1.75,540.0,65.0,83.02638909356492,1.706245403023868,LC4+,348.22693627011176,0.44446034355548614,LC4+,522.3404044051676,0.09507132738732671,True
102.0,275.0,1.75,550.0,75.0,83.59636250991595,1.7160006136725046,LC4+,341.88893989940436,0.4712379995328311,LC4+,512.8334098491066,0.11537194928135097,True
102.0,275.0,1.75,560.0,85.0,84.17366135104315,1.724527056373738,LC4+,335.5133047900103,0.49919539052204076,LC4+,503.2699571850154,0.13656694947462866,True
102.0,275.0,1.75,570.0,95.0,84.75730088684648,1.7318247311275683,LC4+,329.1239201028311,0.5282997353788301,LC4+,493.68588015424683,0.158631475992963,True
102.0,275.0,1.75,580.0,105.0,85.34629638722589,1.7378936379339955,LC4+,322.74134348791716,0.5585235983837671,LC4+,484.1120152318758,0.18154472932473786,True
102.0,275.0,1.75,590.0,115.0,85.93966312208134,1.7427337767930198,LC4+,316.3831604640572,0.5898444129018159,LC4+,474.574740696086,0.20528960129865914,True
102.0,275.0,1.75,600.0,125.0,86.5364163613128,1.7463451477046408,LC4+,310.0643137245433,0.6222440885179001,LC4+,465.09647058681475,0.22985237724617535,True
102.0,275.0,1.75,610.0,135.0,87.13557137482022,1.7487277506688588,LC4+,303.79740226120157,0.6557086935441478,LC4+,455.6961033918023,0.2552224953045099,True
102.0,275.0,1.75,620.0,145.0,87.73614343250355,1.7498815856856735,LC4+,297.5929511035608,0.6902282064636627,LC4+,446.3894266553412,0.2813923579817297,True
102.0,275.0,1.75,630.0,155.0,88.33714780426277,1.7498066527550855,LC4+,291.45965306868413,0.725796331341495,LC4+,437.1894796030263,0.30835719221648095,True
102.0,275.0,1.75,640.0,165.0,88.93759975999782,1.748502951877094,LC4+,285.4045842841548,0.7624103735460768,LC4+,428.106876426232,0.33611495516018075,True
102.0,275.0,1.75,650.0,175.0,89.53651456960867,1.7459704830516998,LC4+,279.4333954419478,0.8000711733272341,LC4+,419.15009316292173,0.3646662838213093,True
102.0,275.0,1.75,660.0,185.0,90.13290750299528,1.742209246278902,LC4+,273.5504808118744,0.8387830959285432,LC4+,410.3257212178117,0.3940144875694189,True
102.0,275.0,1.75,670.0,195.0,90.72579383005761,1.7372192415587016,LC4+,267.75912702674464,0.8785540780081746,LC4+,401.63869054011695,0.42416558332760235,True
102.0,275.0,1.75,680.0,205.0,91.31418882069562,1.7310004688910978,LC4+,262.06164357552495,0.9193957312377068,LC4+,393.0924653632874,0.45512837411261553,True
102.0,275.0,1.75,690.0,215.0,91.89710774480925,1.7235529282760913,LC4+,256.45947682667025,0.9613235050773956,LC4+,384.68921524000535,0.48691457243773395,True
102.0,275.0,1.75,700.0,225.0,92.47356587229848,1.7148766197136813,LC4+,250.95330926702303,1.004356911925758,LC4+,376.4299639005347,0.5195389710026947,True
102.0,275.0,1.75,710.0,235.0,93.04257847306326,1.7049715432038683,LC4+,245.54314549344892,1.0485198191509686,LC4+,368.31471824017353,0.5530196640879439,True
102.0,275.0,1.75,720.0,245.0,93.60316081700356,1.6938376987466524,LC4+,240.2283863425606,1.0938408139774647,LC4+,360.34257951384086,0.587378324181723,True
102.0,275.0,1.75,730.0,255.0,94.15432817401933,1.6814750863420331,LC4+,235.0078923938295,1.140353648876888,LC4+,352.5118385907443,0.6226405396389394,True
102.0,275.0,1.75,740.0,265.0,94.69509581401053,1.667883705990011,LC4+,229.8800379364999,1.188097777062941,LC4+,344.8200569047498,0.65883622064944,True
102.0,275.0,1.75,750.0,275.0,95.22447900687712,1.6530635576905857,LC4+,224.84275635303732,1.2371189899941162,LC4+,337.264134529556,0.696000082540271,True
102.0,275.0,1.75,760.0,285.0,95.74149302251907,1.6370146414437574,LC4+,219.8935777423059,1.2874701715457446,LC4+,329.8403666134589,0.7341722175270586,True
102.0,275.0,1.75,770.0,295.0,96.24515313083631,1.619736957249526,LC4+,215.02965948453172,1.339212186848036,LC4+,322.5444892267976,0.7733987685580868,True
102.0,275.0,1.75,780.0,305.0,96.73447460172883,1.6012305051078912,LC4+,210.24781033701836,1.3924149278592353,LC4+,315.3717155055275,0.8137327219820847,True
102.0,275.0,1.75,790.0,315.0,97.20847270509658,1.5814952850188535,LC4+,205.54450854387414,1.4471585427573368,LC4+,308.3167628158112,0.8552348395721625,True
102.0,275.0,1.75,800.0,325.0,97.6661627108395,1.5605312969824128,LC4+,200.91591434368706,1.5035348824561874,LC4+,301.3738715155306,0.8979747551556516,True
102.0,275.0,1.75,810.0,335.0,98.10655988885757,1.538338540998569,LC4+,196.35787716499877,1.5616492053299753,LC4+,294.5368157474982,0.9420322669963492,True
102.0,275.0,1.75,820.0,345.0,98.52867950905076,1.514917017067322,LC4+,191.8659377092624,1.621622191022797,LC4+,287.7989065638936,0.9874988644997218,True
102.0,275.0,1.75,830.0,355.0,98.931536841319,1.490266725188672,LC4+,187.4353250332677,1.6835923266370578,LC4+,281.1529875499016,1.0344795372251778,True
102.0,275.0,1.75,840.0,365.0,99.31414715556227,1.464387665362619,LC4+,183.0609486562621,1.7477187444521283,LC4+,274.59142298439326,1.0830949262115528,True
102.0,275.0,1.75,850.0,375.0,99.67552572168051,1.4372798375891627,LC4+,178.7373856294852,1.814184610726583,LC4+,268.10607844422776,1.1334838930889406,True
102.0,275.0,1.75,860.0,385.0,100.01468780957372,1.4089432418683034,LC4+,174.45886241578907,1.8832011915863376,LC4+,261.6882936236836,1.1858066025015046,True
102.0,275.0,1.75,870.0,395.0,100.33064868914181,1.379377878200041,LC4+,170.21923133246742,1.9550127565642366,LC4+,255.32884699870112,1.2402482395689107,True
102.0,275.0,1.75,880.0,405.0,100.62242363028477,1.3485837465843755,LC4+,166.01194120922202,2.0299025259037102,LC4+,249.01791181383302,1.297023518644032,True
102.0,275.0,1.75,890.0,415.0,100.88902790290254,1.316560847021307,LC4+,161.83000180300152,2.108199928294573,LC4+,242.74500270450238,1.3563821855327967,True
102.0,275.0,1.75,900.0,425.0,101.1294767768951,1.2833091795108353,LC4+,157.66594138964206,2.190289516978997,LC4+,236.4989120844631,1.418615776954256,True
102.0,275.0,1.75,910.0,435.0,101.34278552216239,1.2488287440529606,LC4+,153.51175681598906,2.276622002332592,LC4+,230.26763522398358,1.4840659845384265,True
102.0,275.0,1.75,920.0,445.0,101.52796940860438,1.213119540647683,LC4+,149.35885514238834,2.3677280099695115,LC4+,224.03828271358262,1.5531350850928556,True
102.0,275.0,1.75,930.0,455.0,101.68404370612102,1.1761815692950017,LC4+,145.19798583091688,2.4642353826157324,LC4+,217.79697874637526,1.626299057463485,True
102.0,275.0,1.75,940.0,465.0,101.81002368461228,1.138014829994918,LC4+,141.01916223635266,2.5668911375104884,LC4+,211.528743354529,1.7041242288349885,True
102.0,275.0,1.75,950.0,475.0,101.9049246139781,1.0986193227474308,LC4+,136.8115709321422,2.6765896084146665,LC4+,205.21735639821327,1.7872886096927627,True
102.0,275.0,1.75,960.0,485.0,101.96776176411846,1.0579950475525404,LC4+,132.56346715145082,2.7944089032111212,LC4+,198.84520072717632,1.8766095329844403,True
102.0,275.0,1.75,970.0,495.0,101.99755040493332,1.0161420044102474,LC4+,128.26205434602133,2.921658689818132,LC4+,192.393081519032,1.9730798814790873,True
102.0,275.0,1.75,973.780356685791,498.78035668579105,102.0,1.0,LC4+,126.61923493678245,2.9725401930530877,LC4+,189.92885240517367,2.011654062858007,True
102.0,275.0,2.0,250.0,-225.0,74.0,1.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471,True
102.0,275.0,2.0,260.0,-215.0,74.0,1.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456,True
102.0,275.0,2.0,270.0,-205.0,74.0,1.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916,True
102.0,275.0,2.0,280.0,-195.0,74.00428017260549,1.0284165021611127,LC4+,314.5340248403389,0.5991910581226583,LC4+,471.8010372605083,0.21237546089617032,True
102.0,275.0,2.0,290.0,-185.0,74.03815227966193,1.0840207385359353,LC4+,334.4781412418177,0.5038351927348999,LC4+,501.71721186272663,0.14008446685800213,True
102.0,275.0,2.0,300.0,-175.0,74.10495279409558,1.1379866176475535,LC4+,353.0757415942519,0.4246235035258761,LC4+,529.613612391378,0.08003266271279119,True
102.0,275.0,2.0,310.0,-165.0,74.20369698580642,1.1903141394959678,LC4+,370.1660110099215,0.35884977291045295,LC4+,555.2490165148823,0.03016841630852074,True
102.0,275.0,2.0,320.0,-155.0,74.3334001246944,1.2410033040811779,LC4+,385.6296320904621,0.30436034511477783,LC4+,578.444448135693,-0.011140997474283432,False
102.0,275.0,2.0,330.0,-145.0,74.4930774806595,1.2900541114031838,LC4+,399.38883124843136,0.25942430194578847,LC4+,599.083246872647,-0.04520781880319269,False
102.0,275.0,2.0,340.0,-135.0,74.68174432360165,1.3374665614619856,LC4+,411.40548427396266,0.22263805230423928,LC4+,617.1082264109442,-0.07309613529751546,False
102.0,275.0,2.0,350.0,-125.0,74.89841592342081,1.3832406542575835,LC4+,421.6776646973942,0.19285426312765375,LC4+,632.5164970460917,-0.09567576075676931,False
102.0,275.0,2.0,360.0,-115.0,75.14210755001697,1.427376389789977,LC4+,430.2350881262194,0.16912826006518866,LC4+,645.352632189329,-0.11366286977165274,False
102.0,275.0,2.0,370.0,-105.0,75.41183447329006,1.4698737680591665,LC4+,437.13391332930473,0.1506771372851059,LC4+,655.7008699939572,-0.12765099731334595,False
102.0,275.0,2.0,380.0,-95.0,75.70661196314005,1.5107327890651518,LC4+,442.4513198046269,0.1368482304948475,LC4+,663.6769797069403,-0.13813493990317716,False
102.0,275.0,2.0,390.0,-85.0,76.0254552894669,1.549953452807933,LC4+,446.2802089228189,0.12709456960703003,LC4+,669.4203133842285,-0.14552936538738104,False
102.0,275.0,2.0,400.0,-75.0,76.36737972217057,1.5875357592875101,LC4+,448.7242882903252,0.12095559149799873,LC4+,673.0864324354876,-0.1501834349412121,False
102.0,275.0,2.0,410.0,-65.0,76.73140053115101,1.6234797085038832,LC4+,449.89371065621754,0.11804185763415398,LC4+,674.8405659843265,-0.1523923889108869,False
102.0,275.0,2.0,420.0,-55.0,77.11653298630819,1.6577853004570522,LC4+,449.90135929275857,0.11802285014366731,LC4+,674.8520389391379,-0.15240679883077846,False
102.0,275.0,2.0,430.0,-45.0,77.52179235754207,1.690452535147017,LC4+,448.8598068712437,0.12061715551262653,LC4+,673.2897103068657,-0.15044000933966573,False
