candidate,station_A_mm,station_U_mm,normalized_s,outer_diameter_mm,outer_radius_mm,inner_diameter_mm,inner_radius_mm
PRIMARY_106,795.0,320.0,0.7441537172943454,100.78790601805989,50.39395300902994,64.0,32.0
PRIMARY_106,805.0,330.0,0.758464365703852,101.30123937022331,50.65061968511166,64.0,32.0
PRIMARY_106,815.0,340.0,0.7727750141133587,101.7942467877869,50.89712339389345,64.0,32.0
PRIMARY_106,825.0,350.0,0.7870856625228654,102.26580286492201,51.132901432461004,64.0,32.0
PRIMARY_106,835.0,360.0,0.801396310932372,102.71478219580001,51.357391097900006,64.0,32.0
PRIMARY_106,845.0,370.0,0.8157069593418786,103.14005937459231,51.570029687296156,64.0,32.0
PRIMARY_106,855.0,380.0,0.8300176077513852,103.5405089954703,51.77025449773515,64.0,32.0
PRIMARY_106,865.0,390.0,0.8443282561608919,103.91500565260532,51.95750282630266,64.0,32.0
PRIMARY_106,875.0,400.0,0.8586389045703986,104.26242394016879,52.131211970084394,64.0,32.0
PRIMARY_106,885.0,410.0,0.8729495529799052,104.58163845233207,52.290819226166036,64.0,32.0
PRIMARY_106,895.0,420.0,0.8872602013894119,104.87152378326653,52.43576189163326,64.0,32.0
PRIMARY_106,905.0,430.0,0.9015708497989184,105.13095452714359,52.56547726357179,64.0,32.0
PRIMARY_106,915.0,440.0,0.9158814982084251,105.35880527813461,52.679402639067305,64.0,32.0
PRIMARY_106,925.0,450.0,0.9301921466179318,105.55395063041098,52.77697531520549,64.0,32.0
PRIMARY_106,935.0,460.0,0.9445027950274384,105.71526517814407,52.85763258907203,64.0,32.0
PRIMARY_106,945.0,470.0,0.9588134434369451,105.84162351550526,52.92081175775263,64.0,32.0
PRIMARY_106,955.0,480.0,0.9731240918464517,105.93190023666597,52.965950118332984,64.0,32.0
PRIMARY_106,965.0,490.0,0.9874347402559583,105.98496993579752,52.99248496789876,64.0,32.0
PRIMARY_106,973.780356685791,498.78035668579105,1.0,106.0,53.0,64.0,32.0
COMPARATOR_104,275.0,-200.0,0.0,74.0,37.0,64.0,32.0
COMPARATOR_104,285.0,-190.0,0.014310648409506643,74.01825567455032,37.00912783727516,64.0,32.0
COMPARATOR_104,295.0,-180.0,0.028621296819013285,74.07231931955842,37.03615965977921,64.0,32.0
COMPARATOR_104,305.0,-170.0,0.042931945228519924,74.16113586705994,37.08056793352997,64.0,32.0
COMPARATOR_104,315.0,-160.0,0.05724259363802657,74.28365024909056,37.14182512454528,64.0,32.0
COMPARATOR_104,325.0,-150.0,0.07155324204753322,74.43880739768596,37.21940369884298,64.0,32.0
COMPARATOR_104,335.0,-140.0,0.08586389045703985,74.62555224488182,37.31277612244091,64.0,32.0
COMPARATOR_104,345.0,-130.0,0.1001745388665465,74.84282972271377,37.42141486135689,64.0,32.0
COMPARATOR_104,355.0,-120.0,0.11448518727605314,75.08958476321753,37.544792381608765,64.0,32.0
COMPARATOR_104,365.0,-110.0,0.12879583568555977,75.36476229842873,37.682381149214365,64.0,32.0
COMPARATOR_104,375.0,-100.0,0.14310648409506643,75.66730726038307,37.833653630191534,64.0,32.0
COMPARATOR_104,385.0,-90.0,0.15741713250457307,75.9961645811162,37.9980822905581,64.0,32.0
COMPARATOR_104,395.0,-80.0,0.1717277809140797,76.3502791926638,38.1751395963319,64.0,32.0
COMPARATOR_104,405.0,-70.0,0.18603842932358636,76.72859602706154,38.36429801353077,64.0,32.0
COMPARATOR_104,415.0,-60.0,0.200349077733093,77.1300600163451,38.56503000817255,64.0,32.0
COMPARATOR_104,425.0,-50.0,0.21465972614259965,77.55361609255014,38.77680804627507,64.0,32.0
COMPARATOR_104,435.0,-40.0,0.22897037455210628,77.99820918771232,38.99910459385616,64.0,32.0
COMPARATOR_104,445.0,-30.0,0.2432810229616129,78.46278423386734,39.23139211693367,64.0,32.0
COMPARATOR_104,455.0,-20.0,0.25759167137111955,78.94628616305083,39.473143081525414,64.0,32.0
COMPARATOR_104,465.0,-10.0,0.27190231978062623,79.4476599072985,39.72382995364925,64.0,32.0
COMPARATOR_104,475.0,0.0,0.28621296819013287,79.965850398646,39.982925199323,64.0,32.0
COMPARATOR_104,485.0,10.0,0.3005236165996395,80.499802569129,40.2499012845645,64.0,32.0
COMPARATOR_104,495.0,20.0,0.31483426500914613,81.04846135078319,40.52423067539159,64.0,32.0
COMPARATOR_104,505.0,30.0,0.32914491341865276,81.6107716756442,40.8053858378221,64.0,32.0
COMPARATOR_104,515.0,40.0,0.3434555618281594,82.18567847574775,41.092839237873875,64.0,32.0
COMPARATOR_104,525.0,50.0,0.3577662102376661,82.77212668312947,41.386063341564736,64.0,32.0
COMPARATOR_104,535.0,60.0,0.3720768586471727,83.36906122982506,41.68453061491253,64.0,32.0
COMPARATOR_104,545.0,70.0,0.38638750705667935,83.97542704787017,41.987713523935085,64.0,32.0
COMPARATOR_104,555.0,80.0,0.400698155466186,84.59016906930049,42.29508453465024,64.0,32.0
COMPARATOR_104,565.0,90.0,0.4150088038756926,85.21223222615167,42.606116113075835,64.0,32.0
COMPARATOR_104,575.0,100.0,0.4293194522851993,85.84056145045939,42.920280725229695,64.0,32.0
COMPARATOR_104,585.0,110.0,0.44363010069470593,86.47410167425932,43.23705083712966,64.0,32.0
COMPARATOR_104,595.0,120.0,0.45794074910421256,87.11179782958713,43.555898914793566,64.0,32.0
COMPARATOR_104,605.0,130.0,0.4722513975137192,87.7525948484785,43.87629742423925,64.0,32.0
COMPARATOR_104,615.0,140.0,0.4865620459232258,88.39543766296909,44.19771883148454,64.0,32.0
COMPARATOR_104,625.0,150.0,0.5008726943327325,89.03927120509456,44.51963560254728,64.0,32.0
COMPARATOR_104,635.0,160.0,0.5151833427422391,89.6830404068906,44.8415202034453,64.0,32.0
COMPARATOR_104,645.0,170.0,0.5294939911517458,90.32569020039288,45.16284510019644,64.0,32.0
COMPARATOR_104,655.0,180.0,0.5438046395612525,90.96616551763707,45.48308275881853,64.0,32.0
COMPARATOR_104,665.0,190.0,0.558115287970759,91.60341129065883,45.80170564532941,64.0,32.0
COMPARATOR_104,675.0,200.0,0.5724259363802657,92.23637245149382,46.11818622574691,64.0,32.0
COMPARATOR_104,685.0,210.0,0.5867365847897723,92.86399393217775,46.431996966088875,64.0,32.0
COMPARATOR_104,695.0,220.0,0.601047233199279,93.48522066474625,46.742610332373125,64.0,32.0
COMPARATOR_104,705.0,230.0,0.6153578816087856,94.09899758123501,47.049498790617506,64.0,32.0
COMPARATOR_104,715.0,240.0,0.6296685300182923,94.70426961367971,47.35213480683986,64.0,32.0
COMPARATOR_104,725.0,250.0,0.643979178427799,95.299981694116,47.649990847058,64.0,32.0
COMPARATOR_104,735.0,260.0,0.6582898268373055,95.88507875457955,47.942539377289776,64.0,32.0
COMPARATOR_104,745.0,270.0,0.6726004752468122,96.45850572710606,48.22925286355303,64.0,32.0
COMPARATOR_104,755.0,280.0,0.6869111236563188,97.01920754373117,48.509603771865585,64.0,32.0
COMPARATOR_104,765.0,290.0,0.7012217720658255,97.56612913649056,48.78306456824528,64.0,32.0
COMPARATOR_104,775.0,300.0,0.7155324204753322,98.09821543741991,49.049107718709955,64.0,32.0
COMPARATOR_104,785.0,310.0,0.7298430688848387,98.61441137855488,49.30720568927744,64.0,32.0
COMPARATOR_104,795.0,320.0,0.7441537172943454,99.11366189193114,49.55683094596557,64.0,32.0
COMPARATOR_104,805.0,330.0,0.758464365703852,99.59491190958437,49.797455954792184,64.0,32.0
COMPARATOR_104,815.0,340.0,0.7727750141133587,100.05710636355022,50.02855318177511,64.0,32.0
COMPARATOR_104,825.0,350.0,0.7870856625228654,100.49919018586438,50.24959509293219,64.0,32.0
COMPARATOR_104,835.0,360.0,0.801396310932372,100.9201083085625,50.46005415428125,64.0,32.0
COMPARATOR_104,845.0,370.0,0.8157069593418786,101.3188056636803,50.65940283184015,64.0,32.0
COMPARATOR_104,855.0,380.0,0.8300176077513852,101.6942271832534,50.8471135916267,64.0,32.0
COMPARATOR_104,865.0,390.0,0.8443282561608919,102.04531779931749,51.022658899658744,64.0,32.0
COMPARATOR_104,875.0,400.0,0.8586389045703986,102.37102244390823,51.185511221954116,64.0,32.0
COMPARATOR_104,885.0,410.0,0.8729495529799052,102.6702860490613,51.33514302453065,64.0,32.0
COMPARATOR_104,895.0,420.0,0.8872602013894119,102.94205354681237,51.47102677340619,64.0,32.0
COMPARATOR_104,905.0,430.0,0.9015708497989184,103.18526986919711,51.59263493459856,64.0,32.0
COMPARATOR_104,915.0,440.0,0.9158814982084251,103.39887994825119,51.699439974125596,64.0,32.0
COMPARATOR_104,925.0,450.0,0.9301921466179318,103.5818287160103,51.79091435800515,64.0,32.0
COMPARATOR_104,935.0,460.0,0.9445027950274384,103.73306110451006,51.86653055225503,64.0,32.0
COMPARATOR_104,945.0,470.0,0.9588134434369451,103.85152204578618,51.92576102289309,64.0,32.0
COMPARATOR_104,955.0,480.0,0.9731240918464517,103.93615647187434,51.96807823593717,64.0,32.0
COMPARATOR_104,965.0,490.0,0.9874347402559583,103.98590931481019,51.99295465740509,64.0,32.0
COMPARATOR_104,973.780356685791,498.78035668579105,1.0,104.0,52.0,64.0,32.0
