journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,support_span_mm,bearing_width_mm,root_clearance_mm,Kt_bending,limit_vm_case,limit_vm_MPa,MS_limit_yield,ultimate_vm_case,ultimate_vm_MPa,MS_ultimate_strength,limit_bearing_case,limit_bearing_pressure_MPa,MS_limit_bearing,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,MS_limit_transverse_shear,MS_ultimate_transverse_shear,PASS
22.0,10.0,21.0,519.780356685791,120.0,25.0,5.0,3.0,LC5,4667.633023037785,-0.6749958721020644,LC5,7001.449534556675,-0.7340550709092699,LC5,168.1377367042155,1.4603961353295043,LC5,252.20660505632318,0.6402640902196701,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,30.0,5.0,1.0,LC5,1792.5968666917217,-0.15374168716491288,LC5,2688.8953000375823,-0.3075223122395375,LC5,140.11478058684625,1.9524753623954054,LC5,210.17217088026933,0.9683169082636041,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,30.0,5.0,1.5,LC5,2677.223376336664,-0.433368162922676,LC5,4015.8350645049954,-0.5363355391615128,LC5,140.11478058684625,1.9524753623954054,LC5,210.17217088026933,0.9683169082636041,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,30.0,5.0,2.0,LC5,3561.8498859816063,-0.5740977164786012,LC5,5342.7748289724095,-0.6514919569690861,LC5,140.11478058684625,1.9524753623954054,LC5,210.17217088026933,0.9683169082636041,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,30.0,5.0,2.5,LC5,4446.47639562655,-0.6588309787291156,LC5,6669.714593439822,-0.7208276345390521,LC5,140.11478058684625,1.9524753623954054,LC5,210.17217088026933,0.9683169082636041,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,30.0,5.0,3.0,LC5,5331.102905271491,-0.7154434969732131,LC5,7996.654357907235,-0.7671526220013722,LC5,140.11478058684625,1.9524753623954054,LC5,210.17217088026933,0.9683169082636041,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,150.0,20.0,5.0,1.0,LC5,1100.7395541330013,0.378164338970145,LC5,1651.109331199502,0.12772665311466058,LC5,170.64722954598867,1.4242142031295928,LC5,255.97084431898298,0.6161428020863953,2.3255964004845886,1.7212746638990568,True
22.0,10.0,21.0,519.780356685791,150.0,20.0,5.0,1.5,LC5,1639.4374074985835,-0.0746825752166993,LC5,2459.156111247875,-0.24282968800417215,LC5,170.64722954598867,1.4242142031295928,LC5,255.97084431898298,0.6161428020863953,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,20.0,5.0,2.0,LC5,2178.135260864166,-0.3035326927317926,LC5,3267.2028912962483,-0.43009355036985175,LC5,170.64722954598867,1.4242142031295928,LC5,255.97084431898298,0.6161428020863953,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,20.0,5.0,2.5,LC5,2716.833114229748,-0.44162930286202495,LC5,4075.249671344621,-0.5430954787647069,LC5,170.64722954598867,1.4242142031295928,LC5,255.97084431898298,0.6161428020863953,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,20.0,5.0,3.0,LC5,3255.5309675953304,-0.5340237844149525,LC5,4883.296451392994,-0.6187001918614112,LC5,170.64722954598867,1.4242142031295928,LC5,255.97084431898298,0.6161428020863953,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,25.0,5.0,1.0,LC5,1280.305505254862,0.18487344916791626,LC5,1920.4582578822933,-0.030439744077934705,LC5,136.51778363679094,2.030267753911991,LC5,204.7766754551864,1.020178502607994,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,25.0,5.0,1.5,LC5,1908.7863341813745,-0.20525415923485268,LC5,2863.179501272062,-0.34967402526710434,LC5,136.51778363679094,2.030267753911991,LC5,204.7766754551864,1.020178502607994,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,25.0,5.0,2.0,LC5,2537.2671631078874,-0.40211262650724044,LC5,3805.9007446618307,-0.5107597058037713,LC5,136.51778363679094,2.030267753911991,LC5,204.7766754551864,1.020178502607994,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,25.0,5.0,2.5,LC5,3165.7479920344,-0.5208083511962894,LC5,4748.6219880516,-0.6078862447495017,LC5,136.51778363679094,2.030267753911991,LC5,204.7766754551864,1.020178502607994,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,25.0,5.0,3.0,LC5,3794.2288209609123,-0.6001822579546454,LC5,5691.343231441369,-0.6728364598161063,LC5,136.51778363679094,2.030267753911991,LC5,204.7766754551864,1.020178502607994,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,30.0,5.0,1.0,LC5,1459.8714563767228,0.03913258484076776,LC5,2189.8071845650843,-0.1496968257642235,LC5,113.76481969732578,2.6363213046943894,LC5,170.64722954598867,1.4242142031295928,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,30.0,5.0,1.5,LC5,2178.135260864166,-0.3035326927317926,LC5,3267.2028912962487,-0.43009355036985186,LC5,113.76481969732578,2.6363213046943894,LC5,170.64722954598867,1.4242142031295928,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,30.0,5.0,2.0,LC5,2896.399065351609,-0.4762462057983562,LC5,4344.598598027414,-0.5714218568211555,LC5,113.76481969732578,2.6363213046943894,LC5,170.64722954598867,1.4242142031295928,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,30.0,5.0,2.5,LC5,3614.662869839052,-0.5803204739623348,LC5,5421.9943047585775,-0.6565839255187288,LC5,113.76481969732578,2.6363213046943894,LC5,170.64722954598867,1.4242142031295928,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,150.0,30.0,5.0,3.0,LC5,4332.926674326495,-0.6498902210857744,LC5,6499.390011489742,-0.7135115762081792,LC5,113.76481969732578,2.6363213046943894,LC5,170.64722954598867,1.4242142031295928,2.3255964004845886,1.7212746638990568,False
22.0,10.0,21.0,519.780356685791,180.0,20.0,5.0,1.0,LC5,934.3786008813651,0.6235388937300892,LC5,1401.567901322047,0.32851216001996364,LC5,144.2975461384371,1.8668917016316926,LC5,216.4463192076556,0.911261134421129,2.932872231842057,2.2181973613227473,True
22.0,10.0,21.0,519.780356685791,180.0,20.0,5.0,1.5,LC5,1389.8959776211288,0.09144858638731757,LC5,2084.843966431693,-0.10688759927348457,LC5,144.2975461384371,1.8668917016316926,LC5,216.4463192076556,0.911261134421129,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,20.0,5.0,2.0,LC5,1845.413354360893,-0.17796194743298022,LC5,2768.1200315413384,-0.3273413078972571,LC5,144.2975461384371,1.8668917016316926,LC5,216.4463192076556,0.911261134421129,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,20.0,5.0,2.5,LC5,2300.930731100657,-0.34070157806343926,LC5,3451.3960966509844,-0.46050816890974455,LC5,144.2975461384371,1.8668917016316926,LC5,216.4463192076556,0.911261134421129,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,20.0,5.0,3.0,LC5,2756.4481078404206,-0.44965406905899785,LC5,4134.672161760631,-0.5496619980610213,LC5,144.2975461384371,1.8668917016316926,LC5,216.4463192076556,0.911261134421129,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,25.0,5.0,1.0,LC5,1086.2177264612865,0.3965892500595891,LC5,1629.3265896919295,0.1428034206156692,LC5,115.43803691074967,2.583614627039616,LC5,173.15705536612447,1.3890764180264115,2.932872231842057,2.2181973613227473,True
22.0,10.0,21.0,519.780356685791,180.0,25.0,5.0,1.5,LC5,1617.6546659910111,-0.062222591822061024,LC5,2426.4819989865164,-0.23263391165575797,LC5,115.43803691074967,2.583614627039616,LC5,173.15705536612447,1.3890764180264115,2.932872231842057,2.2181973613227473,False
