span_mm,head_od_mm,bearing_width_mm,shaft_diameter_mm,lower_ligament_mm,Kt_bending,z_trunnion_above_U_mm,head_to_bearing_edge_clearance_mm,actual_root_lever_mm,packaging_pass,strength_pass,PASS,limit_governing_case,limit_governing_side,limit_Rgov_kN,limit_root_moment_kNm,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_Rgov_kN,ultimate_root_moment_kNm,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_transverse_shear
150.0,106.0,25.0,40.0,20.0,2.0,538.780357,9.5,22.0,True,True,True,LC5,LEFT,76.20382965196293,1.6764842523431847,540.7030253913322,1.8056066431329394,LC5,LEFT,114.3057444779444,2.5147263785147764,811.0545380869979,1.2957765631788773,114.3057444779444,2.6191094497426737,121.28216171642647,7.863844328110137
150.0,106.0,25.0,40.0,20.0,2.5,538.780357,9.5,22.0,True,True,True,LC5,LEFT,76.20382965196293,1.6764842523431847,674.1134032794013,1.2503632068731405,LC5,LEFT,114.3057444779444,2.5147263785147764,1011.1701049191015,0.8414310222798458,114.3057444779444,2.6191094497426737,121.28216171642647,7.863844328110137
150.0,106.0,25.0,40.0,20.0,3.0,538.780357,9.5,22.0,True,True,True,LC5,LEFT,76.20382965196293,1.6764842523431847,807.5237811674705,0.8785824459643907,LC5,LEFT,114.3057444779444,2.5147263785147764,1211.2856717512052,0.5372096305803986,114.3057444779444,2.6191094497426737,121.28216171642647,7.863844328110137
150.0,106.0,25.0,42.0,20.0,1.0,539.780357,9.5,22.0,True,True,True,LC5,LEFT,76.26273099036474,1.6777800817880242,237.072957968856,5.398874055468133,LC5,LEFT,114.39409648554711,2.5166701226820365,355.60943695328405,4.236081516713542,108.94675855766391,2.797129951149879,110.09152481454896,8.764840690888631
150.0,106.0,25.0,42.0,20.0,1.5,539.780357,9.5,22.0,True,True,True,LC5,LEFT,76.26273099036474,1.6777800817880242,352.40693634600245,3.304682580114057,LC5,LEFT,114.39409648554711,2.5166701226820365,528.6104045190039,2.522442963819983,108.94675855766391,2.797129951149879,110.09152481454896,8.764840690888631
150.0,106.0,25.0,42.0,20.0,2.0,539.780357,9.5,22.0,True,True,True,LC5,LEFT,76.26273099036474,1.6777800817880242,467.740914723149,2.24324845710343,LC5,LEFT,114.39409648554711,2.5166701226820365,701.6113720847236,1.653890849099796,108.94675855766391,2.797129951149879,110.09152481454896,8.764840690888631
150.0,106.0,25.0,42.0,20.0,2.5,539.780357,9.5,22.0,True,True,True,LC5,LEFT,76.26273099036474,1.6777800817880242,583.0748931002955,1.6017240974549365,LC5,LEFT,114.39409648554711,2.5166701226820365,874.6123396504433,1.128943207849304,108.94675855766391,2.797129951149879,110.09152481454896,8.764840690888631
150.0,106.0,25.0,42.0,20.0,3.0,539.780357,9.5,22.0,True,True,True,LC5,LEFT,76.26273099036474,1.6777800817880242,698.408871477442,1.1720800836777427,LC5,LEFT,114.39409648554711,2.5166701226820365,1047.613307216163,0.777373375437467,108.94675855766391,2.797129951149879,110.09152481454896,8.764840690888631
150.0,106.0,25.0,44.0,20.0,1.0,540.780357,9.5,22.0,True,True,True,LC5,LEFT,76.32163272640773,1.67907591998097,206.61224471412802,6.342256031819146,LC5,LEFT,114.4824490896116,2.518613879971455,309.918367071192,5.008033720609647,104.07495371782873,2.9748756566502608,100.3881414318344,9.708697121970806
150.0,106.0,25.0,44.0,20.0,1.5,540.780357,9.5,22.0,True,True,True,LC5,LEFT,76.32163272640773,1.67907591998097,307.0003861459624,3.941361862909016,LC5,LEFT,114.4824490896116,2.518613879971455,460.5005792189436,3.0434259673639144,104.07495371782873,2.9748756566502608,100.3881414318344,9.708697121970806
150.0,106.0,25.0,44.0,20.0,2.0,540.780357,9.5,22.0,True,True,True,LC5,LEFT,76.32163272640773,1.67907591998097,407.38852757779676,2.7237180168513873,LC5,LEFT,114.4824490896116,2.518613879971455,611.0827913666951,2.047050295485512,104.07495371782873,2.9748756566502608,100.3881414318344,9.708697121970806
150.0,106.0,25.0,44.0,20.0,2.5,540.780357,9.5,22.0,True,True,True,LC5,LEFT,76.32163272640773,1.67907591998097,507.7766690096311,1.9875338757859051,LC5,LEFT,114.4824490896116,2.518613879971455,761.6650035144467,1.4446442877228547,104.07495371782873,2.9748756566502608,100.3881414318344,9.708697121970806
150.0,106.0,25.0,44.0,20.0,3.0,540.780357,9.5,22.0,True,True,True,LC5,LEFT,76.32163272640773,1.67907591998097,608.1648104414656,1.494389635761419,LC5,LEFT,114.4824490896116,2.518613879971455,912.2472156621983,1.0411133824600145,104.07495371782873,2.9748756566502608,100.3881414318344,9.708697121970806
