span_mm,bearing_width_mm,journal_diameter_mm,limit_governing_case,limit_governing_side,limit_radial_reaction_kN,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_radial_reaction_kN,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_shear,root_lever_mm,PASS
120.0,30.0,36.0,LC5,LEFT,54.34171811626497,245.99509402105562,5.16678965097635,LC5,LEFT,81.51257717439744,368.99264103158333,4.046171096514158,LC5,75.47460849481244,4.481120682044151,106.77472906555516,9.068170723908487,20.0,True
120.0,30.0,38.0,LC5,LEFT,54.34171811626497,209.57398948336763,6.238493687788452,LC5,LEFT,81.51257717439744,314.36098422505137,4.923126893720985,LC5,71.502260679296,4.785627386602159,95.83105877351765,10.217930960898038,20.0,True
120.0,30.0,40.0,LC5,LEFT,54.34171811626497,180.03657492525508,7.426065651547779,LC5,LEFT,81.51257717439744,270.05486238788257,5.894895294740483,LC5,67.92714764533119,5.090134091160168,86.48753054309967,11.429840399887023,20.0,True
150.0,20.0,22.0,LC5,LEFT,44.568073723997365,662.8536208586243,1.2885897463077312,LC5,LEFT,66.85211058599603,994.2804312879359,0.8727110998132268,LC5,151.93661496817282,1.722750126273111,234.4869169341553,3.5845892610416046,15.0,True
150.0,20.0,24.0,LC5,LEFT,44.568073723997365,512.200679918085,1.9617297662365658,LC5,LEFT,66.85211058599603,768.3010198771274,1.423529257188524,LC5,139.27523038749175,1.9702728650252124,197.0341454793943,4.4560401123139775,15.0,True
150.0,20.0,26.0,LC5,LEFT,44.568073723997365,404.14537115797606,2.753599838724915,LC5,LEFT,66.85211058599603,606.2180567369638,2.071502043377629,LC5,128.56175112691545,2.2177956037773137,167.8870825386555,5.403269298479599,15.0,True
150.0,20.0,28.0,LC5,LEFT,44.568073723997365,324.6107820589268,3.673289009003459,LC5,LEFT,66.85211058599603,486.9161730883902,2.8240668577299237,LC5,119.37876890356435,2.4653183425294145,144.75978035220805,6.4262768195384705,15.0,True
150.0,20.0,30.0,LC5,LEFT,44.568073723997365,264.75750859416826,4.729771397438715,LC5,LEFT,66.85211058599603,397.1362628912522,3.6885670586820005,LC5,111.42018430999339,2.712841081281516,126.10185310681236,7.52506267549059,15.0,True
150.0,20.0,32.0,LC5,LEFT,44.568073723997365,218.8430656838232,5.931908010243781,LC5,LEFT,66.85211058599603,328.2645985257347,4.672253445429103,LC5,104.4564227906188,2.9603638200336166,110.83170683215931,8.69962686633596,15.0,True
150.0,20.0,34.0,LC5,LEFT,44.568073723997365,183.02580960239405,7.288448516061949,LC5,LEFT,66.85211058599603,274.53871440359103,5.782285711670997,LC5,98.31192733234711,3.2078865587857175,98.1761832146463,9.94996939207458,15.0,True
