level,ligament_mm,contact_regime,x_from_root_mm,q_N_per_mm,projected_pressure_MPa
limit,5.0,PARTIAL_ROOT_TRIANGULAR,46.0,354.419145528412,10.42409251554153
limit,5.0,PARTIAL_ROOT_TRIANGULAR,46.574999999999996,323.06668265474514,9.501961254551327
limit,5.0,PARTIAL_ROOT_TRIANGULAR,47.15,291.71421978107765,8.579829993561107
limit,5.0,PARTIAL_ROOT_TRIANGULAR,47.724999999999994,260.3617569074105,7.657698732570897
limit,5.0,PARTIAL_ROOT_TRIANGULAR,48.3,229.00929403374334,6.735567471580687
limit,5.0,PARTIAL_ROOT_TRIANGULAR,48.87499999999999,197.65683116007617,5.813436210590475
limit,5.0,PARTIAL_ROOT_TRIANGULAR,49.449999999999996,166.30436828640902,4.891304949600265
limit,5.0,PARTIAL_ROOT_TRIANGULAR,50.025,134.95190541274152,3.969173688610045
limit,5.0,PARTIAL_ROOT_TRIANGULAR,50.599999999999994,103.59944253907467,3.0470424276198433
limit,5.0,PARTIAL_ROOT_TRIANGULAR,51.175,72.24697966540718,2.124911166629623
limit,5.0,PARTIAL_ROOT_TRIANGULAR,51.74999999999999,40.89451679174034,1.2027799056394217
limit,5.0,PARTIAL_ROOT_TRIANGULAR,52.324999999999996,9.54205391807285,0.2806486446492015
limit,5.0,PARTIAL_ROOT_TRIANGULAR,52.9,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,53.474999999999994,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,54.05,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,54.62499999999999,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,55.199999999999996,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,55.775,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,56.349999999999994,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,56.925,0.0,0.0
limit,5.0,PARTIAL_ROOT_TRIANGULAR,57.5,0.0,0.0
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,0.0,4293.924263132683,126.29189009213775
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,0.575,4246.895568822182,124.90869320065242
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,1.15,4199.866874511682,123.52549630916712
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,1.7249999999999999,4152.838180201181,122.14229941768178
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,2.3,4105.80948589068,120.75910252619646
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,2.875,4058.780791580179,119.37590563471115
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,3.4499999999999997,4011.7520972696784,117.99270874322583
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,4.0249999999999995,3964.7234029591777,116.60951185174052
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,4.6,3917.694708648677,115.22631496025521
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,5.175,3870.666014338176,113.84311806876988
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,5.75,3823.637320027675,112.45992117728456
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,6.324999999999999,3776.6086257171746,111.07672428579926
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,6.8999999999999995,3729.5799314066735,109.69352739431393
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,7.475,3682.551237096173,108.3103305028286
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,8.049999999999999,3635.522542785672,106.9271336113433
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,8.625,3588.493848475171,105.54393671985797
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,9.2,3541.4651541646704,104.16073982837266
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,9.774999999999999,3494.4364598541697,102.77754293688734
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,10.35,3447.4077655436686,101.39434604540202
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,10.924999999999999,3400.379071233168,100.0111491539167
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,11.5,3353.350376922667,98.62795226243138
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,12.075,3306.321682612166,97.24475537094607
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,12.649999999999999,3259.2929883016654,95.86155847946075
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,13.225,3212.264293991165,94.47836158797543
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,13.799999999999999,3165.2355996806637,93.0951646964901
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,14.374999999999998,3118.2069053701634,91.7119678050048
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,14.95,3071.178211059662,90.32877091351946
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,15.524999999999999,3024.149516749161,88.94557402203415
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,16.099999999999998,2977.1208224386605,87.56237713054884
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,16.674999999999997,2930.09212812816,86.17918023906353
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,17.25,2883.063433817659,84.79598334757821
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,17.825,2836.0347395071576,83.41278645609287
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,18.4,2789.0060451966574,82.02958956460758
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,18.974999999999998,2741.9773508861563,80.64639267312225
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,19.549999999999997,2694.948656575656,79.26319578163694
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,20.125,2647.919962265155,77.87999889015161
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,20.7,2600.891267954654,76.49680199866629
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,21.275,2553.862573644153,75.11360510718097
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,21.849999999999998,2506.833879333652,73.73040821569565
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,22.424999999999997,2459.805185023152,72.34721132421035
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,23.0,2412.7764907126507,70.96401443272502
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,23.575,2365.74779640215,69.58081754123971
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,24.15,2318.7191020916493,68.1976206497544
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,24.724999999999998,2271.690407781148,66.81442375826907
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,25.299999999999997,2224.6617134706476,65.43122686678375
