upper_OD_mm,taper_start_A_mm,taper_end_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak_sensitivity,minimum_profile_MS_limit,governing_limit_station_A_mm,governing_limit_station_U_mm,governing_limit_OD_mm,governing_limit_local_Kt,governing_limit_case,governing_limit_vm_MPa,minimum_profile_MS_ultimate,governing_ultimate_station_A_mm,governing_ultimate_station_U_mm,governing_ultimate_OD_mm,governing_ultimate_local_Kt,governing_ultimate_case,governing_ultimate_vm_MPa,annular_closure_Kt3_MS_ultimate,annular_closure_Kt3_PASS,solid_neck_Kt3_MS_ultimate,solid_neck_Kt3_PASS,head_width_reserve_each_side_mm,head_width_fit_PASS,added_annular_mass_kg_vs_74mm,PROFILE_PASS,ELIGIBLE_WITHIN_SENSITIVITY_MODEL
96.0,300.0,973.780356685791,673.780356685791,1.4028183520974156,1.5,0.27079376959515855,420.0,-55.0,75.84491863480113,1.2927602420015651,LC4+,395.8156012680504,-0.03658842119492278,420.0,-55.0,75.84491863480113,1.2927602420015651,LC4+,593.7234019020756,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.6881782775806027,False,False
96.0,300.0,973.780356685791,673.780356685791,1.4028183520974156,2.0,0.024225356566921263,460.0,-15.0,77.13255709750831,1.7243038254813658,LC4+,491.1028581502754,-0.22351636321235435,460.0,-15.0,77.13255709750831,1.7243038254813658,LC4+,736.6542872254136,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.6881782775806027,False,False
96.0,350.0,973.780356685791,623.780356685791,1.515212773029465,1.25,0.3364062064085298,430.0,-45.0,74.99275971267686,1.111802139239411,LC4+,376.3825681053718,0.013153545481350726,430.0,-45.0,74.99275971267686,1.111802139239411,LC4+,564.5738521580577,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.4886935195435025,True,False
96.0,350.0,973.780356685791,623.780356685791,1.515212773029465,1.5,0.2069535926830277,460.0,-15.0,75.81113052493195,1.2904937466821518,LC4+,416.75173183903746,-0.08498680581220441,460.0,-15.0,75.81113052493195,1.2904937466821518,LC4+,625.1275977585562,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.4886935195435025,False,False
96.0,350.0,973.780356685791,623.780356685791,1.515212773029465,2.0,-0.022455597270037986,490.0,15.0,76.82713755987197,1.6962622811605328,LC4+,514.5546315801977,-0.25890603265535017,490.0,15.0,76.82713755987197,1.6962622811605328,LC4+,771.8319473702965,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.4886935195435025,False,False
96.0,400.0,973.780356685791,573.780356685791,1.6471806462294152,1.25,0.26596650991171855,470.0,-5.0,74.90241703073247,1.1071144142706217,LC4+,397.32488660784276,-0.04024805345327653,470.0,-5.0,74.90241703073247,1.1071144142706217,LC4+,595.9873299117643,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.289208762192666,False,False
96.0,400.0,973.780356685791,573.780356685791,1.6471806462294152,1.5,0.1478122865561846,490.0,15.0,75.45401679144983,1.2645022576031426,LC4+,438.2249657817881,-0.12982289210054654,490.0,15.0,75.45401679144983,1.2645022576031426,LC4+,657.3374486726822,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.289208762192666,False,False
96.0,400.0,973.780356685791,573.780356685791,1.6471806462294152,2.0,-0.06556232191424272,520.0,45.0,76.48429524602668,1.661600122951699,LC4+,538.2916504719939,-0.29158601475804746,520.0,45.0,76.48429524602668,1.661600122951699,LC4+,807.4374757079908,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.289208762192666,False,False
102.0,300.0,973.780356685791,673.780356685791,1.785184120478301,1.25,0.44732011906097413,370.0,-105.0,74.84385263593073,1.0930979951734967,LC4+,347.5388708935712,0.097239374556497,370.0,-105.0,74.84385263593073,1.0930979951734967,LC4+,521.3083063403569,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.514107373536636,True,True
102.0,300.0,973.780356685791,673.780356685791,1.785184120478301,1.5,0.3221329000336428,400.0,-75.0,75.66722523733489,1.252777829770493,LC4+,380.44586893435655,0.0023326955854787723,400.0,-75.0,75.66722523733489,1.252777829770493,LC4+,570.6688034015348,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.514107373536636,True,True
102.0,300.0,973.780356685791,673.780356685791,1.785184120478301,2.0,0.08925567606603102,430.0,-45.0,76.72479078234925,1.6228596078034458,LC4+,461.7832259700871,-0.1742157101262164,430.0,-45.0,76.72479078234925,1.6228596078034458,LC4+,692.6748389551307,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.514107373536636,False,False
102.0,350.0,973.780356685791,623.780356685791,1.9281740774229965,1.25,0.3638665473503564,410.0,-65.0,74.72733783795476,1.0869356291979635,LC4+,368.80441196919173,0.03397172310722829,410.0,-65.0,74.72733783795476,1.0869356291979635,LC4+,553.2066179537877,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.253331938911919,True,True
102.0,350.0,973.780356685791,623.780356685791,1.9281740774229965,1.5,0.2513541711990215,440.0,-35.0,75.58044418125448,1.246928776136067,LC4+,401.96453696081574,-0.051325929853094476,440.0,-35.0,75.58044418125448,1.246928776136067,LC4+,602.9468054412237,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.253331938911919,False,False
102.0,350.0,973.780356685791,623.780356685791,1.9281740774229965,2.0,0.03582159520165029,470.0,-5.0,76.71000573708575,1.6214684391419834,LC4+,485.6048593021249,-0.2147250464475231,470.0,-5.0,76.71000573708575,1.6214684391419834,LC4+,728.4072889531876,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.253331938911919,False,False
102.0,400.0,973.780356685791,573.780356685791,2.096053912729905,1.25,0.28860001554528103,450.0,-25.0,74.60080756932513,1.0795477424809676,LC4+,390.3461073505821,-0.023089186359309455,450.0,-25.0,74.60080756932513,1.0795477424809676,LC4+,585.5191610258729,0.018981677643556294,True,0.19927591407717493,True,6.5,True,2.992556505215263,False,False
102.0,400.0,973.780356685791,573.780356685791,2.096053912729905,1.5,0.18667542289145733,470.0,-5.0,75.14853076638677,1.2142288285412435,LC4+,423.8732768008193,-0.10036005050508467,470.0,-5.0,75.14853076638677,1.2142288285412435,LC4+,635.8099152012289,0.018981677643556294,True,0.19927591407717493,True,6.5,True,2.992556505215263,False,False
102.0,400.0,973.780356685791,573.780356685791,2.096053912729905,2.0,-0.013195989617427961,500.0,25.0,76.2550054329613,1.5756330083801278,LC4+,509.72634353704433,-0.25188615780141654,500.0,25.0,76.2550054329613,1.5756330083801278,LC4+,764.5895153055665,0.018981677643556294,True,0.19927591407717493,True,6.5,True,2.992556505215263,False,False
