station_label,extra_above_E2_boundary_mm,station_above_U_mm,level,case,Mx_external_kNm,brace_effective_arm_mm,brace_force_abs_kN
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2B,3.0023999999999997,150.0,20.016
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2B,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2B,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2B,3.0023999999999997,300.0,10.008
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC3,3.0023999999999997,150.0,20.016
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC3,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC3,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC3,3.0023999999999997,300.0,10.008
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4+,11.328892174759497,150.0,75.52594783172998
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4+,11.328892174759497,200.0,56.644460873797485
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4+,11.328892174759497,250.0,45.31556869903799
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4+,11.328892174759497,300.0,37.76297391586499
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4-,-8.666764174759498,150.0,57.77842783172999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4-,-8.666764174759498,200.0,43.333820873797485
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4-,-8.666764174759498,250.0,34.66705669903799
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC4-,-8.666764174759498,300.0,28.889213915864996
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC5,1.331064,150.0,8.87376
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC5,1.331064,200.0,6.65532
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC5,1.331064,250.0,5.324256
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC5,1.331064,300.0,4.43688
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC0,1.3414978723404254,150.0,8.943319148936169
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC0,1.3414978723404254,200.0,6.707489361702127
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC0,1.3414978723404254,250.0,5.365991489361702
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC0,1.3414978723404254,300.0,4.4716595744680845
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC1,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC1,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC1,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC1,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2A,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2A,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2A,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2A,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2B,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2B,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2B,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC2B,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC3,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC3,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC3,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC3,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4+,16.993338262139247,150.0,113.28892174759498
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4+,16.993338262139247,200.0,84.96669131069623
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4+,16.993338262139247,250.0,67.97335304855699
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4+,16.993338262139247,300.0,56.64446087379749
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4-,-13.000146262139246,150.0,86.66764174759498
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4-,-13.000146262139246,200.0,65.00073131069622
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4-,-13.000146262139246,250.0,52.000585048556985
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC4-,-13.000146262139246,300.0,43.33382087379749
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC5,1.9965960000000005,150.0,13.310640000000003
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC5,1.9965960000000005,200.0,9.982980000000001
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC5,1.9965960000000005,250.0,7.986384000000002
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,ultimate,LC5,1.9965960000000005,300.0,6.6553200000000015
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,limit,LC0,0.894331914893617,150.0,5.962212765957447
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,limit,LC0,0.894331914893617,200.0,4.4716595744680845
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,limit,LC0,0.894331914893617,250.0,3.577327659574468
