candidate,station,station_A_mm,station_U_mm,level,case,pressure_diff_MPa_if_inside_live_pressure_region,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Mb_kNm
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC5,9.292,-8.87376,0.0,11.0922,1.331064,10.194001177944106,1.0648512,10.280534586684771
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC0,13.938,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC1,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC2A,13.938,-9.3825,0.0,37.53,4.5036,10.778431696604434,1.1259,11.68148119025867
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC2B,13.938,9.3825,0.0,37.53,4.5036,-10.778431696604434,-1.1259,11.68148119025867
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC3,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC4+,13.938,0.0,12.51,16.638300000000005,16.367838262139248,-0.0,-0.0,16.367838262139248
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC4-,13.938,0.0,-12.51,16.638300000000005,-12.374646262139246,-0.0,-0.0,12.374646262139246
COMPARATOR_104,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC5,13.938,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.291001766916157,1.5972768,15.420801880027154
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC0,0.0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC1,0.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC2A,0.0,-6.255,0.0,25.02,3.0023999999999997,7.248171131069623,0.7505999999999999,7.845405694116213
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC2B,0.0,6.255,0.0,25.02,3.0023999999999997,-7.248171131069623,-0.7505999999999999,7.845405694116213
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC3,0.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC4+,0.0,0.0,8.34,11.0922,10.995292174759497,-0.0,-0.0,10.995292174759497
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC4-,0.0,0.0,-8.34,11.0922,-8.333164174759498,-0.0,-0.0,8.333164174759498
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,limit,LC5,0.0,-8.87376,0.0,11.0922,1.331064,10.282738777944106,1.0648512,10.368531629287315
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC0,0.0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC1,0.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC2A,0.0,-9.3825,0.0,37.53,4.5036,10.872256696604435,1.1259,11.76810854117432
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC2B,0.0,9.3825,0.0,37.53,4.5036,-10.872256696604435,-1.1259,11.76810854117432
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC3,0.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC4+,0.0,0.0,12.51,16.638300000000005,16.492938262139248,-0.0,-0.0,16.492938262139248
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC4-,0.0,0.0,-12.51,16.638300000000005,-12.499746262139245,-0.0,-0.0,12.499746262139245
COMPARATOR_104,SHAFT_HOLE_BOTTOM,983.780356685791,508.78035668579105,ultimate,LC5,0.0,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.424108166916158,1.5972768,15.55279744393097
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC0,0.0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC1,0.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC2A,0.0,-6.255,0.0,25.02,3.0023999999999997,7.354506131069623,0.7505999999999999,7.943750134032457
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC2B,0.0,6.255,0.0,25.02,3.0023999999999997,-7.354506131069623,-0.7505999999999999,7.943750134032457
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC3,0.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC4+,0.0,0.0,8.34,11.0922,11.137072174759497,-0.0,-0.0,11.137072174759497
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC4-,0.0,0.0,-8.34,11.0922,-8.474944174759498,-0.0,-0.0,8.474944174759498
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,limit,LC5,0.0,-8.87376,0.0,11.0922,1.331064,10.433592697944107,1.0648512,10.518155159470153
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC0,0.0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC1,0.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC2A,0.0,-9.3825,0.0,37.53,4.5036,11.031759196604437,1.1259,11.915625201048687
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC2B,0.0,9.3825,0.0,37.53,4.5036,-11.031759196604437,-1.1259,11.915625201048687
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC3,0.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC4+,0.0,0.0,12.51,16.638300000000005,16.705608262139247,-0.0,-0.0,16.705608262139247
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC4-,0.0,0.0,-12.51,16.638300000000005,-12.712416262139246,-0.0,-0.0,12.712416262139246
COMPARATOR_104,TRUNNION_CENTERLINE,1000.780356685791,525.780356685791,ultimate,LC5,0.0,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.650389046916159,1.5972768,15.777232739205227
