upper_OD_mm,taper_start_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak,minimum_profile_MS_limit,minimum_profile_MS_ultimate,governing_ultimate_station_A_mm,governing_ultimate_station_U_mm,governing_ultimate_OD_mm,governing_ultimate_local_Kt,governing_ultimate_case,governing_ultimate_vm_MPa,PROFILE_PASS,added_annular_mass_kg_vs_74mm
108.0,300.0,673.780356685791,2.1673908954016827,2.0,0.1406080986210727,-0.13528451635354088,410.0,-65.0,76.42273103098073,1.5464191679156438,LC4+,661.4892537692357,False,4.3798034262241465
108.0,300.0,673.780356685791,2.1673908954016827,2.25,0.04694971923376645,-0.20628861576976243,420.0,-55.0,76.8512378901472,1.731900605003913,LC4+,720.6649814588975,False,4.3798034262241465
108.0,325.0,648.780356685791,2.250824485799814,1.5,0.32010034633899753,0.0007917801271131175,400.0,-75.0,75.25804786998239,1.2044756280989921,LC4+,571.5474600794072,True,4.217294876728498
108.0,325.0,648.780356685791,2.250824485799814,1.75,0.21150279009496376,-0.08153797755557401,420.0,-55.0,75.97352170936384,1.3749617974740416,LC4+,622.7802413404746,False,4.217294876728498
108.0,325.0,648.780356685791,2.250824485799814,2.0,0.1102658242865282,-0.15828753944082985,430.0,-45.0,76.38341394820446,1.5425970413935026,LC4+,679.5669861178085,False,4.217294876728498
108.0,325.0,648.780356685791,2.250824485799814,2.25,0.019823308798862627,-0.22685363468131303,440.0,-35.0,76.82608432417847,1.7291805031473646,LC4+,739.8340413386339,False,4.217294876728498
108.0,350.0,623.780356685791,2.3409350751242246,1.5,0.28291535776195875,-0.027398827515121682,420.0,-55.0,75.18839973208655,1.199251772565442,LC4+,588.1136237360369,False,4.054786282478597
108.0,350.0,623.780356685791,2.3409350751242246,1.75,0.17895228669143215,-0.10621509875745672,440.0,-35.0,75.9191107915233,1.3703931642041005,LC4+,639.9750087574799,False,4.054786282478597
108.0,350.0,623.780356685791,2.3409350751242246,2.0,0.08137386276035974,-0.18019105434204652,450.0,-25.0,76.34125608534788,1.538450531074354,LC4+,697.7235403804119,False,4.054786282478597
108.0,350.0,623.780356685791,2.3409350751242246,2.25,-0.006007171588220839,-0.24643618575011605,460.0,-15.0,76.79901990216756,1.7262343667053797,LC4+,759.059802479214,False,4.054786282478597
110.0,275.0,698.780356685791,2.212736608522003,1.5,0.4116462603785178,0.07019438162559588,360.0,-115.0,75.46842399287895,1.2136881948949885,LC4+,534.4823424798285,True,4.850749315801965
110.0,275.0,698.780356685791,2.212736608522003,1.75,0.2960478864462561,-0.017442821673612996,380.0,-95.0,76.19421538118007,1.3830495917988639,LC4+,582.1544156588436,False,4.850749315801965
110.0,275.0,698.780356685791,2.212736608522003,2.0,0.18774240223571947,-0.09955115430241035,390.0,-85.0,76.60415680074316,1.549953452807933,LC4+,635.2387509107905,False,4.850749315801965
110.0,275.0,698.780356685791,2.212736608522003,2.25,0.09133880000203143,-0.17263645645969272,400.0,-75.0,77.04377392850502,1.7344196991093879,LC4+,691.3526761795656,False,4.850749315801965
110.0,300.0,673.780356685791,2.2947519611021936,1.5,0.36960087341131564,0.03831901867630583,380.0,-95.0,75.40201738345733,1.2092710329650789,LC4+,550.8904197182196,True,4.677205878615866
110.0,300.0,673.780356685791,2.2947519611021936,1.75,0.25930808906347513,-0.04529592187633191,390.0,-85.0,75.75536212405277,1.347197469159368,LC4+,599.1385321451468,False,4.677205878615866
110.0,300.0,673.780356685791,2.2947519611021936,2.0,0.15523402663122132,-0.12419633766327576,410.0,-65.0,76.56524462103842,1.5464191679156438,LC4+,653.1144189028072,False,4.677205878615866
110.0,300.0,673.780356685791,2.2947519611021936,2.25,0.06228847151514705,-0.19466003219792705,420.0,-55.0,77.01895776603821,1.731900605003913,LC4+,710.2590494311335,False,4.677205878615866
110.0,325.0,648.780356685791,2.383077513998299,1.5,0.32968694668821796,0.008059554016780046,400.0,-75.0,75.3320506858637,1.2044756280989921,LC4+,567.4267931103587,True,4.5036624868514625
110.0,325.0,648.780356685791,2.383077513998299,1.75,0.22415083249661327,-0.07194926946578828,410.0,-65.0,75.69189587993336,1.3415503511751619,LC4+,616.3456168724106,False,4.5036624868514625
110.0,325.0,648.780356685791,2.383077513998299,2.0,0.12431093848380903,-0.1476396861328847,430.0,-45.0,76.52361476868708,1.5425970413935026,LC4+,671.0777011717793,False,4.5036624868514625
110.0,325.0,648.780356685791,2.383077513998299,2.25,0.03465845194970951,-0.2156068462356081,440.0,-35.0,76.99232457854191,1.7291805031473646,LC4+,729.2261505023431,False,4.5036624868514625
110.0,350.0,623.780356685791,2.478470184021277,1.5,0.29176507361980497,-0.020689698992009897,420.0,-55.0,75.25830559867987,1.199251772565442,LC4+,584.0845331773276,False,4.33011904682266
110.0,350.0,623.780356685791,2.478470184021277,1.75,0.1907553235663062,-0.09726700453289983,430.0,-45.0,75.62451589347123,1.335406417718233,LC4+,633.6314313004929,False,4.33011904682266
110.0,350.0,623.780356685791,2.478470184021277,2.0,0.0948520714402743,-0.16997298228782398,450.0,-25.0,76.47897703154482,1.538450531074354,LC4+,689.1341941815554,False,4.33011904682266
110.0,350.0,623.780356685791,2.478470184021277,2.25,0.008340440910677094,-0.23555900304717425,460.0,-15.0,76.96366813170683,1.7262343667053797,LC4+,748.2591884528383,False,4.33011904682266
112.0,275.0,698.780356685791,2.335533868027305,1.5,0.4220041566956705,0.07804688884019018,350.0,-125.0,75.21927875321397,1.1916203271287917,LC4+,530.5891663166734,True,5.163769110808648
112.0,275.0,698.780356685791,2.335533868027305,1.75,0.308646104219789,-0.007891886529199588,370.0,-105.0,75.91606107089365,1.352405326044375,LC4+,576.5500677127917,False,5.163769110808648
112.0,275.0,698.780356685791,2.335533868027305,2.0,0.20285226236956455,-0.08809609797827578,380.0,-95.0,76.31611623569007,1.5107327890651518,LC4+,627.2590771153135,False,5.163769110808648
