A_mm,OD_mm,ID_mm,region
936.6241428571428,105.73819955856769,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
938.5797142857143,105.76457780047458,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
940.5352857142857,105.78960381677594,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
942.4908571428571,105.81326919098439,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
944.4464285714286,105.8355655066126,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
946.402,105.8564843471732,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
948.3575714285714,105.87601729617879,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
950.3131428571428,105.89415593714209,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
952.2687142857143,105.91089185357566,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
954.2242857142857,105.9262166289922,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
956.1798571428571,105.94012184690432,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
958.1354285714285,105.95259909082466,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
960.091,105.96363994426584,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
962.0465714285714,105.97323599074053,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
964.0021428571429,105.98137881376137,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
965.9577142857142,105.98805999684097,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
967.9132857142856,105.99327112349201,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
969.8688571428572,105.9970037772271,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
971.8244285714286,105.9992495415589,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
973.78,106.0,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
1051.78,106.0,0.0,SOLID_UPPER_HEAD_TOP
