,ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
11,62.0,4.75,71.5,996.081220728813,557572.0270720271,1115144.0541440542,7.839159207135759,9.292136857325454,10.514733499585716,LC4+,outer,446.7311630756064,2.3957783234908496,LC4+,outer,667.8735729408165,1.7879528034043064,17.81734223140407,48.15662206998215,26.726013347106104,39.22396409330115,78.53122616791339,inner,18.3171566779868,True
12,62.0,5.0,72.0,1052.4335389525804,593835.6243539933,1187671.248707987,8.282651951556808,9.292136857325454,10.514733499585716,LC4+,outer,422.3996523782308,2.591385531353676,LC4+,outer,631.493290000567,1.948566563547062,16.863316630580744,50.9376097565749,25.29497494587112,41.49959541496043,75.23867669995242,inner,19.16250240617216,True
13,62.0,5.25,72.5,1109.1785562580462,630862.634786705,1261725.26957341,8.729235237750824,9.292136857325454,10.514733499585716,LC4+,outer,400.3845243471532,2.788857729887397,LC4+,outer,598.5763194016732,2.110714439657793,16.000597829688935,53.73797714830068,24.0008967445334,43.79108479461036,72.26273849098716,inner,19.992838517864985,True
14,62.0,5.5,73.0,1166.3162726452106,668663.6980609071,1337327.396121814,9.178909065717807,9.292136857325454,10.514733499585716,LC4+,outer,380.370319635633,2.9882186429613524,LC4+,outer,568.6510106495479,2.2744160568238683,15.216730158234476,56.5577242451595,22.82509523735171,46.098432232250936,69.56018312633863,inner,20.808453224522854,True
15,62.0,5.75,73.5,1223.8466881140732,707249.5274984218,1414499.0549968437,9.631673435457756,9.292136857325454,10.514733499585716,LC4+,outer,362.096427905428,3.1894917571410257,LC4+,outer,541.3277191125151,2.439690845783168,14.501424216254264,59.39685104715136,21.752136324381397,48.42163772788215,67.09530139301096,inner,21.609630905660108,True
16,62.0,6.0,74.0,1281.769802664635,746630.9100521499,1493261.8201042998,10.08752834697068,9.292136857325454,10.514733499585716,LC4+,outer,345.34566128128563,3.392700329205516,LC4+,outer,516.2817219666151,2.6065580491737887,13.84610556677586,62.25535755427629,20.76915835016379,50.76070128150404,64.83833675209175,inner,22.396651980759827,True
17,62.0,6.25,74.5,1340.085616296896,786818.7063060694,1573637.4126121388,10.546473800256573,9.292136857325454,10.514733499585716,LC4+,outer,329.9355701707452,3.5978673933669416,LC4+,outer,493.2402343051304,2.775036727535332,13.243571742111763,65.13324376653428,19.86535761316764,53.1156228931166,62.76429477808399,inner,23.16979279961105,True
18,62.0,6.5,75.0,1398.7941290108554,827823.8504752367,1655647.7009504733,11.008509795315431,9.292136857325454,10.514733499585716,LC4+,outer,315.7117631200947,3.805015768205453,LC4+,outer,471.97242152229273,2.9451457650731654,12.687728402570576,68.03050968392532,19.031592603855863,55.48640256271981,60.85202734333142,inner,23.92932554968102,True
19,62.0,6.75,75.5,1457.895340806513,869657.3504057853,1739314.7008115705,11.47363633214726,9.292136857325454,10.514733499585716,LC4+,outer,302.54271114153613,4.014168063332764,LC4+,outer,452.28163115931807,3.1169038751965203,12.173384126587582,70.94715530644937,18.26007618988137,57.87304029031367,59.08352031735207,inner,24.675518179211757,True
20,62.0,7.0,76.0,1517.3892516838705,912330.2875749269,1824660.5751498532,11.941853410752058,9.292136857325454,10.514733499585716,LC4+,outer,290.3156653937424,4.2253466857965085,LC4+,outer,433.99928934717286,3.2903296058407,11.696089174419354,73.88318063410652,17.54413376162903,60.2755360758982,57.443333902372935,inner,25.408634334807196,True
