Kt_bending,station_above_A_mm,station_above_U_mm,frozen_74_limit_case,frozen_74_limit_surface,frozen_74_limit_vm_MPa,frozen_74_limit_MS,frozen_74_ultimate_case,frozen_74_ultimate_surface,frozen_74_ultimate_vm_MPa,frozen_74_ultimate_MS,frozen_74_PASS,minimum_passing_OD_mm,minimum_OD_limit_case,minimum_OD_limit_vm_MPa,minimum_OD_limit_MS,minimum_OD_ultimate_case,minimum_OD_ultimate_vm_MPa,minimum_OD_ultimate_MS
1.5,930.0,455.0,LC4+,OUTER,914.2184813413686,-0.4498032907166968,LC4+,OUTER,1371.3277220120528,-0.5828859937573897,False,85.5,LC4+,380.74440355415453,0.32109624016694616,LC4+,571.1166053312318,0.0015467851232515706
1.5,940.0,465.0,LC4+,OUTER,921.3473117431258,-0.45406038136871696,LC4+,OUTER,1382.020967614689,-0.5861133706334077,False,86.0,LC4+,373.1305199600491,0.34805375892021884,LC4+,559.6957799400737,0.021983764217846424
1.5,950.0,475.0,LC4+,OUTER,928.4762908315283,-0.4582521869788173,LC4+,OUTER,1392.7144362472923,-0.5892912537466978,False,86.0,LC4+,376.01606470388555,0.3377088034685829,LC4+,564.0240970558283,0.014141067705804478
1.5,960.0,485.0,LC4+,OUTER,935.6054152077583,-0.4623801959415711,LC4+,OUTER,1403.4081228116374,-0.5924207714759161,False,86.0,LC4+,378.901672127962,0.3275211934935134,LC4+,568.3525081919429,0.006417657625301221
1.5,970.0,495.0,LC4+,OUTER,942.7346815757402,-0.4664458518071518,LC4+,OUTER,1414.1020223636103,-0.5955030182023735,False,86.5,LC4+,371.44710024044923,0.3541632164429134,LC4+,557.1706503606739,0.026615453685018498
1.5,973.780356685791,498.78035668579105,LC4+,OUTER,945.4298348754796,-0.4679668639119592,LC4+,OUTER,1418.1447523132194,-0.5966561247947524,False,86.5,LC4+,372.50842619057113,0.3503050256980518,LC4+,558.7626392858567,0.023690489992426178
2.0,250.0,-225.0,LC4+,OUTER,568.66679742795,-0.11547499823263363,LC4+,OUTER,853.0001961419251,-0.3294257110524408,False,78.5,LC4+,376.0390238580917,0.33762712933171635,LC4+,564.0585357871377,0.014079149075866937
2.0,260.0,-215.0,LC4+,OUTER,578.1517178513564,-0.12998615334163544,LC4+,OUTER,867.2275767770346,-0.34042687834514984,False,79.0,LC4+,367.8072500896534,0.3675641246261274,LC4+,551.71087513448,0.03677492284445982
2.0,270.0,-205.0,LC4+,OUTER,587.6377082773433,-0.14403042399280042,LC4+,OUTER,881.456562416015,-0.35107409214563534,False,79.0,LC4+,373.83985217200114,0.34549593115228694,LC4+,560.7597782580016,0.02004462905117088
2.0,280.0,-195.0,LC4+,OUTER,597.1247177113688,-0.15762991368390433,LC4+,OUTER,895.687076567053,-0.36138410951251587,False,79.0,LC4+,379.87311687345766,0.324126340236806,LC4+,569.8096753101867,0.0038439584035161456
2.0,290.0,-185.0,LC4+,OUTER,606.6126983436596,-0.17080535674009367,LC4+,OUTER,909.9190475154893,-0.371372649510051,False,79.5,LC4+,371.67470657633294,0.35333395332000084,LC4+,557.5120598644994,0.025986774418874203
2.0,300.0,-175.0,LC4+,OUTER,616.1016053047825,-0.1835762223810985,LC4+,OUTER,924.1524079571739,-0.3810544721033643,False,79.5,LC4+,377.486424169406,0.332498251047743,LC4+,566.2296362541089,0.010190854339707345
2.0,310.0,-165.0,LC4+,OUTER,625.591396443353,-0.1959608094681552,LC4+,OUTER,938.3870946650297,-0.39044344998778646,False,80.0,LC4+,369.54061038637985,0.36114945384237807,LC4+,554.3109155795697,0.03191184572278383
2.0,320.0,-155.0,LC4+,OUTER,635.0820321235828,-0.20797633288715145,LC4+,OUTER,952.6230481853743,-0.3995526340774693,False,80.0,LC4+,375.1445538500544,0.34081647950845495,LC4+,562.7168307750818,0.016497052722115324
2.0,330.0,-145.0,LC4+,OUTER,644.5734750406306,-0.21963900241428103,LC4+,OUTER,966.860212560946,-0.408394313294856,False,80.0,LC4+,380.7489872675383,0.321080335918426,LC4+,571.1234809013075,0.0015347278268251774
2.0,340.0,-135.0,LC4+,OUTER,654.0656900519623,-0.2309640948143311,LC4+,OUTER,981.0985350779438,-0.4169800692296852,False,80.5,LC4+,372.8437063873131,0.3490907621154251,LC4+,559.2655595809698,0.022769934963582372
2.0,350.0,-125.0,LC4+,OUTER,663.5586440231225,-0.24196601983761912,LC4+,OUTER,995.3379660346841,-0.42532082617245626,False,80.5,LC4+,378.25284690485597,0.32979831907655766,LC4+,567.379270357284,0.008143987424507504
2.0,360.0,-115.0,LC4+,OUTER,673.0523056865054,-0.2526583807079512,LC4+,OUTER,1009.5784585297581,-0.43342689697143544,False,81.0,LC4+,370.5805729115129,0.3573296518166542,LC4+,555.8708593672694,0.0290159852075893
2.0,370.0,-105.0,LC4+,OUTER,682.546645511863,-0.2630540296293088,LC4+,OUTER,1023.8199682677948,-0.4413080251132735,False,81.0,LC4+,375.80587323526765,0.33845699554861497,LC4+,563.7088098529016,0.014708285558393097
2.0,380.0,-95.0,LC4+,OUTER,692.041635587436,-0.273165118782151,LC4+,OUTER,1038.0624533811538,-0.4489734233842151,False,81.0,LC4+,381.03154345315966,0.3201006810131297,LC4+,571.5473151797394,0.0007920338495830404
2.0,390.0,-85.0,LC4+,OUTER,701.5372495106939,-0.28300314723012787,LC4+,OUTER,1052.305874266041,-0.45643180943092543,False,81.5,LC4+,373.40420378449033,0.3470657129781691,LC4+,560.1063056767356,0.02123470884494716
2.0,400.0,-75.0,LC4+,OUTER,711.0334622878073,-0.29257900411387516,LC4+,OUTER,1066.5501934317108,-0.46369143850647654,False,81.5,LC4+,378.4564767449317,0.3290828164079931,LC4+,567.6847151173974,0.007601552001818668
2.0,410.0,-65.0,LC4+,OUTER,720.5302502410316,-0.3019030084694757,LC4+,OUTER,1080.7953753615477,-0.4707601336574423,False,82.0,LC4+,371.0444379460369,0.35563277214023126,LC4+,556.5666569190556,0.027729550250777946
2.0,420.0,-55.0,LC4+,OUTER,730.0275909233027,-0.3109849459746712,LC4+,OUTER,1095.041386384954,-0.47764531358185813,False,82.0,LC4+,375.9329379052143,0.3380045994448715,LC4+,563.8994068578213,0.014365315947603374
2.0,430.0,-45.0,LC4+,OUTER,739.525463039386,-0.31983410289523595,LC4+,OUTER,1109.2881945590793,-0.48435401836457925,False,82.0,LC4+,380.82172222263677,0.3208280164909687,LC4+,571.2325833339553,0.0013434399374869788
2.0,440.0,-35.0,LC4+,OUTER,749.0238463730086,-0.32845929747674607,LC4+,OUTER,1123.5357695595128,-0.49089293327594263,False,82.5,LC4+,373.4571511128479,0.3468747311468887,LC4+,560.1857266692718,0.02108992208882743
2.0,450.0,-25.0,LC4+,OUTER,758.5227217194448,-0.3368689090027749,LC4+,OUTER,1137.784082579167,-0.49726841080130835,False,82.5,LC4+,378.190986102798,0.33001583454788386,LC4+,567.2864791541967,0.008308889809661935
