hL_mm,spacing_mm,hU_mm,bushing_length_mm,limit_lower_case,limit_lower_R_kN,limit_lower_p_MPa,limit_upper_case,limit_upper_R_kN,limit_upper_p_MPa,ultimate_lower_case,ultimate_lower_R_kN,ultimate_lower_p_MPa,ultimate_upper_case,ultimate_upper_R_kN,ultimate_upper_p_MPa,max_ultimate_reaction_kN,max_ultimate_pressure_MPa
300.0,100.0,400.0,30.0,LC4+,61.26563999999999,35.210137931034474,LC4+,52.925639999999994,30.417034482758616,LC4+,91.89846,52.81520689655173,LC4+,79.38846,45.62555172413793,91.89846,52.81520689655173
300.0,100.0,400.0,40.0,LC4+,61.26563999999999,26.407603448275857,LC4+,52.925639999999994,22.812775862068964,LC4+,91.89846,39.6114051724138,LC4+,79.38846,34.21916379310344,91.89846,39.6114051724138
300.0,125.0,425.0,20.0,LC4+,50.68051199999999,43.69009655172414,LC4+,42.340512,36.50044137931034,LC4+,76.020768,65.53514482758622,LC4+,63.510768,54.75066206896552,76.020768,65.53514482758622
300.0,125.0,425.0,30.0,LC4+,50.68051199999999,29.126731034482756,LC4+,42.340512,24.333627586206894,LC4+,76.020768,43.690096551724146,LC4+,63.510768,36.50044137931034,76.020768,43.690096551724146
300.0,125.0,425.0,40.0,LC4+,50.68051199999999,21.84504827586207,LC4+,42.340512,18.25022068965517,LC4+,76.020768,32.76757241379311,LC4+,63.510768,27.37533103448276,76.020768,32.76757241379311
300.0,150.0,449.99999999999994,20.0,LC4+,43.623760000000004,37.60668965517242,LC4+,35.28376,30.417034482758623,LC4+,65.43564,56.410034482758626,LC4+,52.92564,45.625551724137935,65.43564,56.410034482758626
300.0,150.0,449.99999999999994,30.0,LC4+,43.623760000000004,25.07112643678161,LC4+,35.28376,20.278022988505747,LC4+,65.43564,37.60668965517242,LC4+,52.92564,30.41703448275862,65.43564,37.60668965517242
300.0,150.0,449.99999999999994,40.0,LC4+,43.623760000000004,18.80334482758621,LC4+,35.28376,15.208517241379312,LC4+,65.43564,28.205017241379313,LC4+,52.92564,22.812775862068968,65.43564,28.205017241379313
350.0,75.0,425.0,20.0,LC4+,84.46752,72.81682758620688,LC4+,76.12751999999999,65.62717241379309,LC4+,126.70128,109.22524137931033,LC4+,114.19127999999999,98.44075862068966,126.70128,109.22524137931033
350.0,75.0,425.0,30.0,LC4+,84.46752,48.544551724137925,LC4+,76.12751999999999,43.75144827586206,LC4+,126.70128,72.8168275862069,LC4+,114.19127999999999,65.6271724137931,126.70128,72.8168275862069
350.0,75.0,425.0,40.0,LC4+,84.46752,36.40841379310344,LC4+,76.12751999999999,32.813586206896545,LC4+,126.70128,54.61262068965517,LC4+,114.19127999999999,49.22037931034483,126.70128,54.61262068965517
350.0,100.0,449.99999999999994,20.0,LC4+,65.43563999999998,56.410034482758604,LC4+,57.09563999999998,49.22037931034482,LC4+,98.15345999999998,84.61505172413791,LC4+,85.64345999999998,73.83056896551722,98.15345999999998,84.61505172413791
350.0,100.0,449.99999999999994,30.0,LC4+,65.43563999999998,37.6066896551724,LC4+,57.09563999999998,32.813586206896545,LC4+,98.15345999999998,56.410034482758604,LC4+,85.64345999999998,49.22037931034482,98.15345999999998,56.410034482758604
350.0,100.0,449.99999999999994,40.0,LC4+,65.43563999999998,28.205017241379302,LC4+,57.09563999999998,24.61018965517241,LC4+,98.15345999999998,42.30752586206896,LC4+,85.64345999999998,36.91528448275861,98.15345999999998,42.30752586206896
350.0,125.0,475.0,20.0,LC4+,54.01651199999999,46.565958620689656,LC4+,45.67651199999999,39.37630344827585,LC4+,81.024768,69.84893793103447,LC4+,68.51476799999999,59.06445517241379,81.024768,69.84893793103447
350.0,125.0,475.0,30.0,LC4+,54.01651199999999,31.043972413793103,LC4+,45.67651199999999,26.250868965517235,LC4+,81.024768,46.565958620689656,LC4+,68.51476799999999,39.376303448275856,81.024768,46.565958620689656
350.0,125.0,475.0,40.0,LC4+,54.01651199999999,23.282979310344828,LC4+,45.67651199999999,19.688151724137924,LC4+,81.024768,34.924468965517235,LC4+,68.51476799999999,29.532227586206893,81.024768,34.924468965517235
