record_type,effective_arm_mm,governing_limit_case,governing_ultimate_case,limit_force_kN,ultimate_force_kN,tube_OD_mm,tube_ID_mm,tube_wall_mm,free_length_mm,limit_axial_stress_MPa,ultimate_axial_stress_MPa,MS_limit_yield,MS_ultimate,buckling_method,slenderness,Pcr_kN,MS_buckling,pin_diameter_mm,bushing_width_mm,ultimate_pin_shear_MPa,ultimate_bearing_pressure_MPa,MS_ultimate_pin_shear,MS_ultimate_bearing,PASS
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,8.0,5.0,350.0,132.2614598981951,198.39218984729266,10.46970554512004,8.3854501098719,EULER,71.07423155935334,81.78854646164187,1.01885296263093,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,18.0,1.0,350.0,452.4734154411934,678.7101231617901,2.3526831593427833,1.743439262885635,EULER,52.030590237301645,44.610755159648946,0.10116341609639523,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,17.5,1.25,350.0,366.80511545099455,550.2076731764919,3.135711134057705,2.3841767223095784,EULER,52.68036862948144,53.68057432580905,0.3250411115230605,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,17.0,1.5,350.0,309.80161777955607,464.70242666933416,3.896681982724324,3.0068652392145427,EULER,53.335752243162155,62.00541479817514,0.5305298942213605,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,16.5,1.75,350.0,269.1818361920213,403.772754288032,4.635595705342635,3.6115048136005212,EULER,53.996129497805406,69.62723293360081,0.7186654069432403,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,16.0,2.0,350.0,238.80541370507444,358.20812055761166,5.352452301912638,4.198095445467516,EULER,54.660816661012134,76.586768962654,0.8904532738101518,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,15.5,2.25,350.0,215.26121798767275,322.8918269815091,6.047251772434333,4.766637134815525,EULER,55.32905365226706,82.92354698961715,1.0468691003130588,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,15.0,2.5,350.0,196.5027404201755,294.75411063026326,6.719994116907721,5.317129881644552,EULER,55.99999999999999,88.67587499248698,1.1888584733124317,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,14.5,2.75,350.0,181.2278238394241,271.8417357591362,7.370679335332799,5.8495736859545895,EULER,56.67273103760713,93.88084482297451,1.3173369610382473,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,14.0,3.0,350.0,168.56852732122903,252.85279098184355,7.999307427709569,6.363968547745646,EULER,57.34623443633282,98.57433220650545,1.4331901130899989,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,13.5,3.25,350.0,157.92413122172547,236.88619683258818,8.605878394038035,6.860314467017719,EULER,58.01940718529537,102.79099674221962,1.5372734604366811,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,13.0,3.5,350.0,148.8657124395269,223.2985686592904,9.19039223431819,7.338611443770805,EULER,58.6910531410446,106.56428190297135,1.6304125154168005,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,12.5,3.75,350.0,141.07889055807476,211.6183358371122,9.752848948550037,7.798859478004907,EULER,59.359881280356156,109.92641503532931,1.713402771738373,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,12.0,4.0,350.0,134.32804520910435,201.49206781365658,10.29324853673358,8.241058569720028,EULER,60.0245047998781,112.90840735957667,1.7870097044789235,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,11.5,4.25,350.0,128.43316367331735,192.64974550997604,10.81159099886881,8.665208718916162,EULER,60.68344121402747,115.54005396971083,1.851968770085484,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,11.0,4.5,350.0,123.25440707358679,184.8816106103802,11.307876334955738,9.071309925593312,EULER,61.335113607365294,117.84993383344371,1.908985406374597,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,10.5,4.75,350.0,118.68155159113277,178.02232738669917,11.782104544994352,9.459362189751475,EULER,61.97785319865604,119.86540979220155,1.9587350325323132,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,20.0,10.0,5.0,350.0,114.62659857843573,171.9398978676536,12.234275628984662,9.829365511390657,EULER,62.609903369994115,121.61262856112492,2.0018630491141898,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,20.0,1.0,350.0,409.38070920869944,614.0710638130492,2.7055971761157016,2.032222343189381,JOHNSON,47.08709557974186,58.487731522747836,0.4437000676817202,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,19.5,1.25,350.0,331.45040552800714,497.17560829201074,3.57685365502386,2.7451555726892667,JOHNSON,47.62207795088165,71.06531403542257,0.7541627280049128,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,19.0,1.5,350.0,279.57706970350193,419.3656045552529,4.426053007883708,3.4400398596701676,JOHNSON,48.1614641307647,82.83172762311847,1.0446026484918405,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,18.5,1.75,350.0,242.59597582737723,363.8939637410659,5.253195234695252,4.116875204132085,JOHNSON,48.704860012167586,93.79219050641305,1.315148634709156,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,18.0,2.0,350.0,214.92487233456703,322.3873085018506,6.058280335458486,4.775661606075015,JOHNSON,49.251828131120426,103.95319227142375,1.565960874369273,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,17.5,2.25,350.0,193.46261363449082,290.1939204517363,6.841308310173408,5.416399065498959,JOHNSON,49.80188526572309,113.32260363581712,1.7972336467737153,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,17.0,2.5,350.0,176.34861319759355,264.52291979639034,7.602279158840025,6.039087582403923,JOHNSON,50.354500088592445,121.90978857644886,2.009198090550506,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,16.5,2.75,350.0,162.39895902493856,243.59843853740784,8.341192881458335,6.643727156789901,JOHNSON,50.90909090909091,129.7257176607599,2.2021250011048448,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,16.0,3.0,350.0,150.82447181373126,226.2367077205969,9.058049478028343,7.2303177886568974,JOHNSON,51.46502354656654,136.78308117596745,2.3763276230785984,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,15.5,3.25,350.0,141.0788905580748,211.61833583711223,9.752848948550035,7.798859478004905,EULER,52.021609381061914,143.12666263251637,2.532911384146546,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,15.0,3.5,350.0,132.77212190552405,199.1581828582861,10.425591293023423,8.349352224833932,EULER,52.578103633207576,148.8789906353862,2.674900757145919,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,14.5,3.75,350.0,125.61819022294334,188.42728533441502,11.076276511448498,8.881796029143969,EULER,53.1337039301622,154.08396046587376,2.8033792448717354,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,14.0,4.0,350.0,119.40270685253726,179.1040602788059,11.704904603825272,9.396190890935028,EULER,53.68754921931593,158.77744784940464,2.9192323969234852,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,13.5,4.25,350.0,113.96182128759149,170.94273193138724,12.311475570153736,9.8925368102071,EULER,54.23871909582417,162.99411238511888,3.0233157442701692,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,13.0,4.5,350.0,109.16818912231976,163.75228368347967,12.895989410433895,10.370833786960187,EULER,54.78623361363827,166.76739754587058,3.1164547992502882,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,12.5,4.75,350.0,104.9213716965087,157.3820575447631,13.458446124665741,10.831081821194289,EULER,55.32905365226706,170.12953067822858,3.1994450555718608,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,22.0,12.0,5.0,350.0,101.14111639273744,151.71167458910617,13.99884571284928,11.273280912909408,EULER,55.86608191273355,173.1115230024759,3.273051988312411,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,23.0,1.0,350.0,358.20812055761104,537.3121808364166,3.234968201275099,2.4653969636450164,JOHNSON,41.21213665866247,77.96505897575634,0.9244747229823931,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,22.5,1.25,350.0,289.58298588236363,434.3744788235455,4.238567436473102,3.286623848258807,JOHNSON,41.62447218984132,95.53530817349906,1.3581754204714058,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,22.0,1.5,350.0,243.88637995411833,365.8295699311775,5.220109545622798,4.089801790353614,JOHNSON,42.0399569476743,112.34099022064102,1.7730036874808706,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,21.5,1.75,350.0,211.29326926900575,316.93990390350865,6.179594528724187,4.874930789929437,JOHNSON,42.45837099345425,128.3851272751979,2.169034122385834,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,21.0,2.0,350.0,186.891193334406,280.336790001609,7.117022385777263,5.642010846986272,JOHNSON,42.87947242821823,143.67145764092885,2.5463590007669965,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,20.5,2.25,350.0,167.95106018818421,251.9265902822763,8.032393116782034,6.391041961524125,JOHNSON,43.302996267798314,158.20449239429735,2.905089673179869,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,20.0,2.5,350.0,152.8354647712476,229.2531971568714,8.9257067217385,7.122024133542995,JOHNSON,43.7286533288097,171.98957348370723,3.245357999265292,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,19.5,2.75,350.0,140.50247016764334,210.753705251465,9.796963200646658,7.834957363042882,JOHNSON,44.1561291369963,185.0329329120167,3.567317808599383,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,19.0,3.0,350.0,130.25749838458603,195.38624757687901,10.646162553506507,8.529841650023782,JOHNSON,44.585082870893736,197.3417525316693,3.8711463766652026,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,18.5,3.25,350.0,121.61973323971954,182.42959985957933,11.473304780318053,9.2066769944857,JOHNSON,45.01514635537365,208.92422389311412,4.157045902139803,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,18.0,3.5,350.0,114.2457793140555,171.36866897108325,12.278389881081283,9.86546339642863,JOHNSON,45.445923121283684,219.78960749209824,4.425244969343158,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,17.5,3.75,350.0,107.88385748558656,161.82578622837985,13.061417855796206,10.506200855852574,JOHNSON,45.876987549066264,229.94829066082718,4.6759999772125775,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,17.0,4.0,350.0,102.34517730217475,153.5177659532621,13.822388704462824,11.128889372757538,JOHNSON,46.30788411589358,239.41184324320105,4.909596513579676,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,16.5,4.25,350.0,97.48541339059027,146.2281200858854,14.561302427081134,11.733528947143515,JOHNSON,46.73812676745661,248.1930700870888,5.126350650879712,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,16.0,4.5,350.0,93.19235656783391,139.78853485175088,15.278159023651138,12.32011957901051,JOHNSON,47.16719843704463,256.3060592791223,5.326610136770087,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,15.5,4.75,350.0,89.37746477850739,134.0661971677611,15.972958494172833,12.888661268358518,JOHNSON,47.59455073589324,263.7662249425146,5.5107554505435825,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,25.0,15.0,5.0,350.0,85.96994893382677,128.95492340074017,16.64570083864622,13.439154015187546,JOHNSON,48.01960383990247,270.5903433192449,5.679200693774153,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,26.0,1.0,350.0,318.4072182734322,477.6108274101483,3.764339226434484,2.8985715841006416,JOHNSON,36.63967458131496,96.29667453820635,1.376968843359264,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,25.5,1.25,350.0,257.1063893348088,385.6595840022132,4.900281217922336,3.828092123828341,JOHNSON,36.96711907393933,118.5363574623398,1.9259289569910227,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,25.0,1.5,350.0,216.27660109138824,324.4149016370824,6.014166083361869,4.7395637210370465,JOHNSON,37.296883081295725,140.04463594827428,2.4568352222440004,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,24.5,1.75,350.0,187.14546706683387,280.71820060025084,7.1059938227531045,5.632986375726777,JOHNSON,37.62883473534389,160.82337812595685,2.969733751683359,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,24.0,2.0,350.0,165.32682487274383,247.99023730911574,8.175764436096035,6.508360087897524,JOHNSON,37.962830118264826,180.87488466092105,3.4646813345006073,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,23.5,2.25,350.0,148.38394637985206,222.57591956977808,9.223477923390654,7.365684857549285,JOHNSON,38.298712691499254,200.20192020270773,3.941746212780461,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,23.0,2.5,350.0,134.85482185698316,202.28223278547475,10.249134284636968,8.204960684682062,JOHNSON,38.63631272626171,218.80774570383957,4.401008879256269,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,22.5,2.75,350.0,123.80910737544811,185.71366106317217,11.252733519834969,9.026187569295853,JOHNSON,38.97544673966523,236.6961514608714,4.842562892889034,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,22.0,3.0,350.0,114.62659857843569,171.93989786765354,12.234275628984667,9.82936551139066,JOHNSON,39.31591694112113,253.87149069858782,5.266515707853377,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,21.5,3.25,350.0,106.87794739248082,160.31692108872124,13.193760612086058,10.614494510966486,JOHNSON,39.65751069423534,270.3387134853179,5.672989510696727,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,21.0,3.5,350.0,100.25650021437528,150.3847503215629,14.131188469139131,11.38157456802332,JOHNSON,40.0,286.10340073171324,6.062122059558708,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,20.5,3.75,350.0,94.53740088943154,141.80610133414731,15.046559200143903,12.130605682561171,JOHNSON,40.34314100767263,301.17179798734304,6.434067518399881,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,20.0,4.0,350.0,89.55203013940292,134.3280452091044,15.939872805100368,12.86158785458004,JOHNSON,40.68667356033674,315.5508487093905,6.788997278199933,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,19.5,4.25,350.0,85.1714664359894,127.75719965398409,16.811129284008526,13.574521084079928,JOHNSON,41.030320782739004,329.24822663596586,7.127100756054393,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,19.0,4.5,350.0,81.2954599847062,121.94318997705929,17.660328636868375,14.269405371060827,JOHNSON,41.373788719587914,342.27236685357593,7.448586162038154,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,18.5,4.75,350.0,77.84488867805482,116.76733301708221,18.48747086367992,14.946240715522748,JOHNSON,41.71676603306507,354.6324951047575,7.753681222629542,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,28.0,18.0,5.0,350.0,74.75647733376242,112.13471600064364,19.292555964443153,15.605027117465678,JOHNSON,42.05892376882768,366.33865483855567,8.042633848419182,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,28.0,1.0,350.0,296.4480997718169,444.67214965772536,4.117253243207396,3.187354664404383,JOHNSON,34.11591251800055,108.05585690404577,1.6672302697379093,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,27.5,1.25,350.0,239.2207274680398,358.8310912020597,5.3414237388884835,4.189070974208023,JOHNSON,34.40052654270127,133.2793799273689,2.289842926236306,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,27.0,1.5,350.0,201.0992957516416,301.6489436274625,6.543537108521259,5.172738341492675,JOHNSON,34.687060158201106,157.78851914841178,2.894821868503512,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,26.5,1.75,350.0,173.89623046033236,260.8443456904986,7.723593352105722,6.13835676625834,JOHNSON,34.975416549821325,181.58467033700828,3.4822015494572796,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,26.0,2.0,350.0,153.5177659532621,230.2766489298932,8.881592469641882,7.085926248505023,JOHNSON,35.26549053019149,204.66954812956493,4.052024292857339,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,25.5,2.25,350.0,137.68960790202487,206.53441185303734,10.017534461129735,8.015446788232724,JOHNSON,35.557168162108105,227.04520800953003,4.604340835867127,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,25.0,2.5,350.0,125.04719844920268,187.57079767380404,11.131419326569267,8.92691838544143,JOHNSON,35.85032638121086,248.7140689032994,5.139210886806844,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,24.5,2.75,350.0,114.72220041211254,172.08330061816883,12.223247065960502,9.82034104013116,JOHNSON,36.14483262070993,269.6789363087945,5.656703696054878,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,24.0,3.0,350.0,106.13573942447755,159.20360913671632,13.293017679303434,10.695714752301907,JOHNSON,36.44054444067475,289.94302585722613,6.156898637641915,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,23.5,3.25,350.0,98.88707282108047,148.3306092316207,14.34073116659805,11.553039521953666,JOHNSON,36.73730916468613,309.50998719041587,6.639885798634212,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,23.0,3.5,350.0,92.68997189630923,139.03495784446386,15.366387527844363,12.392315349086443,JOHNSON,37.03496352695608,328.3839280164831,7.105766572919606,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,22.5,3.75,350.0,87.33455129785581,131.00182694678372,16.369986763042366,13.213542233700236,JOHNSON,37.333333333333336,346.569438185815,7.554654255494198,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,22.0,4.0,350.0,82.66341243637194,123.9951186545579,17.351528872192063,14.016720175795044,JOHNSON,37.63223313993293,364.07161360709705,7.986674632801098,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,21.5,4.25,350.0,78.55620690698052,117.83431036047078,18.311013855293453,14.801849175370865,JOHNSON,37.93146595345173,380.8960797999563,8.40196656409942,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,21.0,4.5,350.0,74.9193454761018,112.37901821415271,19.24844171234653,15.568929232427703,JOHNSON,38.230822957555226,397.0490148566456,8.800682548246128,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,20.5,4.75,350.0,71.67895690157525,107.51843535236289,20.1638124433513,16.317960346965556,JOHNSON,38.53008327003799,412.5371715604399,9.182989269662333,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,30.0,20.0,5.0,350.0,68.77595914706144,103.16393872059217,21.057126048307772,17.04894251898443,JOHNSON,38.82901373576604,427.36789838333203,9.549068116636434,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,30.0,1.0,350.0,277.32241591557045,415.9836238733556,4.470167259980325,3.4761377447081374,JOHNSON,31.917252681128698,119.52857034110986,1.9504205514321216,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,29.5,1.25,350.0,223.66165576280144,335.4924836442022,5.782566259854639,4.5500498245877115,JOHNSON,32.166913241863405,147.65641996292942,2.6447230546326135,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,29.0,1.5,350.0,187.91245668596036,281.8686850289405,7.072908133680638,5.605912961948297,JOHNSON,32.41817912532423,175.08392323875822,3.3217383415095556,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,28.5,1.75,350.0,162.39895902493856,243.59843853740784,8.341192881458335,6.643727156789901,JOHNSON,32.67097770509696,201.81214375154718,3.9814926653427056,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,28.0,2.0,350.0,143.28324822304475,214.92487233456717,9.587420503187724,7.66349240911252,JOHNSON,32.92523039342589,227.8423851563653,4.62401820530644,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,27.5,2.25,350.0,128.43316367331738,192.64974550997607,10.811590998868809,8.66520871891616,JOHNSON,33.18085238557021,253.17620690408657,5.249353454590246,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,27.0,2.5,350.0,116.56942228315499,174.8541334247325,12.013704368501584,9.648876086200811,JOHNSON,33.43775240347021,277.81544040448273,5.857543619365445,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,26.5,2.75,350.0,106.87794739248089,160.31692108872133,13.193760612086047,10.614494510966479,JOHNSON,33.695832439981594,301.7622055807484,6.448641027413948,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,32.0,26.0,3.0,350.0,98.8160332572722,148.2240498859083,14.351759729622206,11.56206399321316,JOHNSON,33.954987505086606,325.01892775793516,7.022705544999157,,,,,,,True
