station_label,extra_above_E2_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_requirement_kN,Fy_external_kN,Fz_external_kN,My_external_kNm,Mz_external_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN,force_y_residual_kN,force_z_residual_kN,moment_y_residual_kNm,moment_z_residual_kNm
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4-,150.0,0.0,-8.34,11.0922,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4-,180.0,0.0,-8.34,11.0922,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC5,120.0,8.87376,0.0,11.0922,10.415845177944105,1.0648512,8.87376,-8.87376,-92.34480981620088,81.25260981620089,92.77018657159158,81.73573403647504,92.77018657159158,0.0,8.881784197001252e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC5,150.0,8.87376,0.0,11.0922,10.415845177944105,1.0648512,7.099008000000001,-7.099008000000001,-74.9850678529607,63.8928678529607,75.32035790871672,64.28603640807204,75.32035790871672,0.0,1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC5,180.0,8.87376,0.0,11.0922,10.415845177944105,1.0648512,5.915840000000001,-5.915840000000001,-63.41190654413392,52.319706544133915,63.687259750028296,52.65309920384449,63.687259750028296,0.0,-5.329070518200751e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC0,120.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC0,150.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC0,180.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,120.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,150.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
