support_span_mm,bearing_width_mm,journal_diameter_mm,root_to_root_head_width_mm,working_lower_ligament_mm,shaft_hole_bottom_above_U_mm,shaft_center_above_U_mm,Kt_bending,minimum_required_solid_neck_OD_mm,head_width_total_reserve_mm,head_width_reserve_each_side_mm,global_neck_geometry_compatible,limit_case,limit_vm_MPa_at_min_OD,MS_limit_at_min_OD,ultimate_case,ultimate_vm_MPa_at_min_OD,MS_ultimate_at_min_OD,B3_worst_MS_ultimate_journal,B3_worst_bearing_pressure_MPa,B3_worst_MS_ultimate_bearing
120.0,30.0,36.0,80.0,10.0,508.780356685791,526.780356685791,1.0,74.0,6.0,3.0,True,LC4+,278.9623281709555,0.8031108476114677,LC4+,418.44349225643333,0.36697071548543314,0.0039365096609607,130.17659408917623,2.177878792148382
120.0,30.0,36.0,80.0,10.0,508.780356685791,526.780356685791,1.5,76.5,3.5,1.75,True,LC4+,377.6573308377312,0.3318952365739327,LC4+,566.4859962565969,0.00973369823762682,0.0039365096609607,130.17659408917623,2.177878792148382
120.0,30.0,36.0,80.0,10.0,508.780356685791,526.780356685791,2.0,84.0,-4.0,-2.0,False,LC4+,379.9208157361776,0.3239600968568417,LC4+,569.8812236042664,0.0037179263116149386,0.0039365096609607,130.17659408917623,2.177878792148382
120.0,30.0,36.0,80.0,10.0,508.780356685791,526.780356685791,2.5,90.5,-10.5,-5.25,False,LC4+,379.47148121482763,0.3255278061732392,LC4+,569.2072218222415,0.004906434898731105,0.0039365096609607,130.17659408917623,2.177878792148382
120.0,30.0,36.0,80.0,10.0,508.780356685791,526.780356685791,3.0,96.0,-16.0,-8.0,False,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,0.0039365096609607,130.17659408917623,2.177878792148382
150.0,20.0,32.0,120.0,10.0,508.780356685791,524.780356685791,1.0,74.0,46.0,23.0,True,LC4+,278.9623281709555,0.8031108476114677,LC4+,418.44349225643333,0.36697071548543314,0.1561327444206852,178.05053501896714,1.3234158636256446
150.0,20.0,32.0,120.0,10.0,508.780356685791,524.780356685791,1.5,76.5,43.5,21.75,True,LC4+,377.6573308377312,0.3318952365739327,LC4+,566.4859962565969,0.00973369823762682,0.1561327444206852,178.05053501896714,1.3234158636256446
150.0,20.0,32.0,120.0,10.0,508.780356685791,524.780356685791,2.0,84.0,36.0,18.0,True,LC4+,379.9208157361776,0.3239600968568417,LC4+,569.8812236042664,0.0037179263116149386,0.1561327444206852,178.05053501896714,1.3234158636256446
150.0,20.0,32.0,120.0,10.0,508.780356685791,524.780356685791,2.5,90.5,29.5,14.75,True,LC4+,379.47148121482763,0.3255278061732392,LC4+,569.2072218222415,0.004906434898731105,0.1561327444206852,178.05053501896714,1.3234158636256446
150.0,20.0,32.0,120.0,10.0,508.780356685791,524.780356685791,3.0,96.0,24.0,12.0,True,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,0.1561327444206852,178.05053501896714,1.3234158636256446
