hL_mm,spacing_mm,hU_mm,bushing_length_mm,ultimate_lower_case,ultimate_lower_R_kN,ultimate_upper_case,ultimate_upper_R_kN,max_ultimate_reaction_kN,max_ultimate_pressure_MPa,overrun_mm,lower_station_from_U_mm,upper_station_from_U_mm,full_extension_hL_mm,full_extension_hU_mm,nominal_hL_mm,nominal_hU_mm,physical_hL_mm,physical_hU_mm,virtual_hL_mm,virtual_hU_mm,physical_lower_surface_reserve_mm,virtual_lower_surface_reserve_mm,required_piston_guide_length_mm,nominal_top_intrusion_above_U_mm,physical_top_intrusion_above_U_mm,virtual_top_intrusion_above_U_mm,physical_full_bushing_engagement,virtual_full_bushing_engagement
250.0,75.0,325.0,20.0,LC4+,110.02128,LC4+,97.51128,110.02128,94.84593103448276,20.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,60.0,49.22100000000003,405.0,86.33800000000002,109.99999999999994,120.77899999999994,True,True
250.0,75.0,325.0,20.0,LC4+,110.02128,LC4+,97.51128,110.02128,94.84593103448276,30.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,60.0,49.22100000000003,415.0,96.33800000000002,119.99999999999994,130.77899999999994,True,True
250.0,75.0,325.0,30.0,LC4+,110.02128,LC4+,97.51128,110.02128,63.23062068965517,0.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,55.0,44.22100000000003,390.0,71.33800000000002,94.99999999999994,105.77899999999994,True,True
250.0,75.0,325.0,30.0,LC4+,110.02128,LC4+,97.51128,110.02128,63.23062068965517,10.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,55.0,44.22100000000003,400.0,81.33800000000002,104.99999999999994,115.77899999999994,True,True
250.0,75.0,325.0,30.0,LC4+,110.02128,LC4+,97.51128,110.02128,63.23062068965517,20.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,55.0,44.22100000000003,410.0,91.33800000000002,114.99999999999994,125.77899999999994,True,True
250.0,75.0,325.0,30.0,LC4+,110.02128,LC4+,97.51128,110.02128,63.23062068965517,30.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,55.0,44.22100000000003,420.0,101.33800000000002,124.99999999999994,135.77899999999994,True,True
250.0,75.0,325.0,40.0,LC4+,110.02128,LC4+,97.51128,110.02128,47.42296551724138,0.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,50.0,39.22100000000003,395.0,76.33800000000002,99.99999999999994,110.77899999999994,True,True
250.0,75.0,325.0,40.0,LC4+,110.02128,LC4+,97.51128,110.02128,47.42296551724138,10.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,50.0,39.22100000000003,405.0,86.33800000000002,109.99999999999994,120.77899999999994,True,True
250.0,75.0,325.0,40.0,LC4+,110.02128,LC4+,97.51128,110.02128,47.42296551724138,20.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,50.0,39.22100000000003,415.0,96.33800000000002,119.99999999999994,130.77899999999994,True,True
250.0,75.0,325.0,40.0,LC4+,110.02128,LC4+,97.51128,110.02128,47.42296551724138,30.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,50.0,39.22100000000003,425.0,106.33800000000002,129.99999999999994,140.77899999999994,True,True
250.0,100.0,350.0,20.0,LC4+,85.64346,LC4+,73.13346,85.64346,73.83056896551726,0.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,60.0,49.22100000000003,410.0,91.33800000000002,114.99999999999994,125.77899999999994,True,True
250.0,100.0,350.0,20.0,LC4+,85.64346,LC4+,73.13346,85.64346,73.83056896551726,10.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,60.0,49.22100000000003,420.0,101.33800000000002,124.99999999999994,135.77899999999994,True,True
250.0,100.0,350.0,20.0,LC4+,85.64346,LC4+,73.13346,85.64346,73.83056896551726,20.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,60.0,49.22100000000003,430.0,111.33800000000002,134.99999999999994,145.77899999999994,True,True
250.0,100.0,350.0,20.0,LC4+,85.64346,LC4+,73.13346,85.64346,73.83056896551726,30.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,60.0,49.22100000000003,440.0,121.33800000000002,144.99999999999994,155.77899999999994,True,True
250.0,100.0,350.0,30.0,LC4+,85.64346,LC4+,73.13346,85.64346,49.22037931034483,0.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,55.0,44.22100000000003,415.0,96.33800000000002,119.99999999999994,130.77899999999994,True,True
250.0,100.0,350.0,30.0,LC4+,85.64346,LC4+,73.13346,85.64346,49.22037931034483,10.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,55.0,44.22100000000003,425.0,106.33800000000002,129.99999999999994,140.77899999999994,True,True
250.0,100.0,350.0,30.0,LC4+,85.64346,LC4+,73.13346,85.64346,49.22037931034483,20.0,225.00000000000006,125.00000000000006,300.0,400.0,93.66200000000003,193.66200000000003,70.0,170.0,59.22100000000003,159.22100000000003,55.0,44.22100000000003,435.0,116.33800000000002,139.99999999999994,150.77899999999994,True,True
