journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_kN,My_kNm,Mz_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN
22.0,15.0,26.0,524.780356685791,limit,LC2A,150.0,6.255,7.348251131069623,0.7505999999999999,5.004,-5.004,-61.49834087379749,36.47834087379749,61.701587874460664,36.81995883899064,61.701587874460664
22.0,15.0,26.0,524.780356685791,limit,LC2A,180.0,6.255,7.348251131069623,0.7505999999999999,4.17,-4.17,-53.333617394831236,28.31361739483124,53.49638907831299,28.61904662948943,53.49638907831299
22.0,15.0,26.0,524.780356685791,limit,LC2B,120.0,6.255,-7.348251131069623,-0.7505999999999999,-6.255,6.255,48.72542609224686,-73.74542609224686,49.12527020659542,74.01022155437074,74.01022155437074
22.0,15.0,26.0,524.780356685791,limit,LC2B,150.0,6.255,-7.348251131069623,-0.7505999999999999,-5.004,5.004,36.47834087379749,-61.49834087379749,36.81995883899064,61.701587874460664,61.701587874460664
22.0,15.0,26.0,524.780356685791,limit,LC2B,180.0,6.255,-7.348251131069623,-0.7505999999999999,-4.17,4.17,28.31361739483124,-53.333617394831236,28.61904662948943,53.49638907831299,53.49638907831299
22.0,15.0,26.0,524.780356685791,limit,LC3,120.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,15.0,26.0,524.780356685791,limit,LC3,150.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,15.0,26.0,524.780356685791,limit,LC3,180.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,15.0,26.0,524.780356685791,limit,LC4+,120.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC4+,150.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC4+,180.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC4-,120.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC4-,150.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC4-,180.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,15.0,26.0,524.780356685791,limit,LC5,120.0,8.87376,10.424718937944107,1.0648512,8.87376,-8.87376,-92.4187578162009,81.3265578162009,92.84379576916916,81.80924533797796,92.84379576916916
22.0,15.0,26.0,524.780356685791,limit,LC5,150.0,8.87376,10.424718937944107,1.0648512,7.099008000000001,-7.099008000000001,-75.04422625296071,63.952026252960714,75.37925317015035,64.34483333138287,75.37925317015035
22.0,15.0,26.0,524.780356685791,limit,LC5,180.0,8.87376,10.424718937944107,1.0648512,5.915840000000001,-5.915840000000001,-63.4612052108006,52.369005210800594,63.736345437379335,52.70208600875738,63.736345437379335
22.0,15.0,26.0,524.780356685791,ultimate,LC0,120.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,15.0,26.0,524.780356685791,ultimate,LC0,150.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,15.0,26.0,524.780356685791,ultimate,LC0,180.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,15.0,26.0,524.780356685791,ultimate,LC1,120.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC1,150.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC1,180.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,120.0,9.3825,11.022376696604434,1.1259,9.3825,-9.3825,-110.61813913837028,73.08813913837028,111.01533233155611,73.68790530989311,111.01533233155611
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,150.0,9.3825,11.022376696604434,1.1259,7.505999999999999,-7.505999999999999,-92.24751131069623,54.717511310696224,92.55238181169098,55.229938258485944,92.55238181169098
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,180.0,9.3825,11.022376696604434,1.1259,6.255,-6.255,-80.00042609224687,42.47042609224686,80.2445836174695,42.92856994423414,80.2445836174695
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,120.0,9.3825,-11.022376696604434,-1.1259,-9.3825,9.3825,73.08813913837028,-110.61813913837028,73.68790530989311,111.01533233155611,111.01533233155611
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,150.0,9.3825,-11.022376696604434,-1.1259,-7.505999999999999,7.505999999999999,54.717511310696224,-92.24751131069623,55.229938258485944,92.55238181169098,92.55238181169098
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,180.0,9.3825,-11.022376696604434,-1.1259,-6.255,6.255,42.47042609224686,-80.00042609224687,42.92856994423414,80.2445836174695,80.2445836174695
22.0,15.0,26.0,524.780356685791,ultimate,LC3,120.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC3,150.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC3,180.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,15.0,26.0,524.780356685791,ultimate,LC4+,120.0,0.0,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
