level,ligament_mm,x_from_journal_root_mm,q_N_per_mm,projected_pressure_MPa
ultimate,15.0,13.6,3923.019406822821,108.97276130063392
ultimate,15.0,14.45,3853.242381800281,107.03451060556336
ultimate,15.0,15.299999999999999,3783.4653567777405,105.09625991049279
ultimate,15.0,16.15,3713.6883317552,103.15800921542223
ultimate,15.0,17.0,3643.91130673266,101.21975852035166
ultimate,15.0,17.849999999999998,3574.13428171012,99.28150782528111
ultimate,15.0,18.7,3504.357256687579,97.34325713021053
ultimate,15.0,19.55,3434.580231665039,95.40500643513997
ultimate,15.0,20.4,3364.803206642499,93.46675574006942
ultimate,15.0,21.25,3295.026181619958,91.52850504499884
ultimate,15.0,22.099999999999998,3225.2491565974183,89.59025434992829
ultimate,15.0,22.95,3155.472131574878,87.65200365485772
ultimate,15.0,23.8,3085.695106552337,85.71375295978714
ultimate,15.0,24.65,3015.9180815297973,83.7755022647166
ultimate,15.0,25.5,2946.141056507257,81.83725156964603
ultimate,15.0,26.349999999999998,2876.3640314847166,79.89900087457546
ultimate,15.0,27.2,2806.5870064621763,77.9607501795049
ultimate,15.0,28.05,2736.809981439636,76.02249948443433
ultimate,15.0,28.9,2667.0329564170956,74.08424878936377
ultimate,15.0,29.75,2597.2559313945553,72.1459980942932
ultimate,15.0,30.599999999999998,2527.478906372015,70.20774739922264
ultimate,15.0,31.45,2457.7018813494747,68.26949670415208
ultimate,15.0,32.3,2387.9248563269343,66.33124600908151
ultimate,15.0,33.15,2318.147831304394,64.39299531401095
ultimate,15.0,34.0,2248.3708062818537,62.45474461894038
ultimate,15.0,34.85,2178.5937812593133,60.51649392386982
ultimate,15.0,35.699999999999996,2108.8167562367735,58.578243228799266
ultimate,15.0,36.55,2039.0397312142331,56.6399925337287
ultimate,15.0,37.4,1969.2627061916924,54.70174183865812
ultimate,15.0,38.25,1899.485681169152,52.76349114358756
ultimate,15.0,39.1,1829.7086561466117,50.82524044851699
ultimate,15.0,39.949999999999996,1759.9316311240718,48.88698975344644
ultimate,15.0,40.8,1690.1546061015315,46.94873905837588
ultimate,15.0,41.65,1620.3775810789907,45.0104883633053
ultimate,15.0,42.5,1550.6005560564504,43.072237668234735
limit,20.0,0.0,3372.8800572309756,93.69111270086043
limit,20.0,0.85,3326.178641053931,92.39385114038697
limit,20.0,1.7,3279.4772248768872,91.09658957991354
limit,20.0,2.55,3232.775808699843,89.79932801944008
limit,20.0,3.4,3186.0743925227985,88.50206645896662
limit,20.0,4.25,3139.3729763457545,87.20480489849318
limit,20.0,5.1,3092.67156016871,85.90754333801972
limit,20.0,5.95,3045.9701439916657,84.61028177754628
limit,20.0,6.8,2999.2687278146213,83.31302021707282
limit,20.0,7.6499999999999995,2952.5673116375774,82.01575865659937
limit,20.0,8.5,2905.865895460533,80.71849709612592
limit,20.0,9.35,2859.1644792834886,79.42123553565246
limit,20.0,10.2,2812.4630631064447,78.12397397517901
limit,20.0,11.049999999999999,2765.7616469294003,76.82671241470557
limit,20.0,11.9,2719.060230752356,75.52945085423211
limit,20.0,12.75,2672.358814575312,74.23218929375867
limit,20.0,13.6,2625.6573983982676,72.9349277332852
limit,20.0,14.45,2578.955982221223,71.63766617281175
limit,20.0,15.299999999999999,2532.2545660441792,70.34040461233832
limit,20.0,16.15,2485.553149867135,69.04314305186486
limit,20.0,17.0,2438.8517336900904,67.7458814913914
limit,20.0,17.849999999999998,2392.1503175130465,66.44861993091796
limit,20.0,18.7,2345.448901336002,65.1513583704445
limit,20.0,19.55,2298.7474851589577,63.85409680997105
limit,20.0,20.4,2252.046068981914,62.5568352494976
limit,20.0,21.25,2205.3446528048694,61.25957368902415
limit,20.0,22.099999999999998,2158.643236627825,59.96231212855069
limit,20.0,22.95,2111.941820450781,58.66505056807725
limit,20.0,23.8,2065.240404273736,57.36778900760378
limit,20.0,24.65,2018.5389880966923,56.07052744713034
limit,20.0,25.5,1971.837571919648,54.773265886656894
limit,20.0,26.349999999999998,1925.136155742604,53.47600432618344
limit,20.0,27.2,1878.4347395655595,52.178742765709984
limit,20.0,28.05,1831.7333233885151,50.88148120523653
limit,20.0,28.9,1785.0319072114712,49.58421964476309
limit,20.0,29.75,1738.3304910344268,48.28695808428964
limit,20.0,30.599999999999998,1691.6290748573826,46.989696523816185
limit,20.0,31.45,1644.9276586803383,45.69243496334273
limit,20.0,32.3,1598.226242503294,44.39517340286928
limit,20.0,33.15,1551.52482632625,43.09791184239583
limit,20.0,34.0,1504.8234101492055,41.80065028192237
limit,20.0,34.85,1458.1219939721611,40.50338872144892
limit,20.0,35.699999999999996,1411.4205777951172,39.20612716097548
limit,20.0,36.55,1364.719161618073,37.908865600502025
limit,20.0,37.4,1318.0177454410286,36.611604040028574
limit,20.0,38.25,1271.3163292639842,35.314342479555116
limit,20.0,39.1,1224.6149130869399,34.017080919081664
limit,20.0,39.949999999999996,1177.913496909896,32.71981935860822
limit,20.0,40.8,1131.2120807328515,31.422557798134765
limit,20.0,41.65,1084.5106645558071,30.12529623766131
limit,20.0,42.5,1037.8092483787632,28.828034677187865
ultimate,20.0,0.0,5059.320085846461,140.53666905129057
ultimate,20.0,0.85,4989.267961580895,138.5907767105804
ultimate,20.0,1.7,4919.215837315328,136.64488436987023
ultimate,20.0,2.55,4849.163713049762,134.69899202916005
ultimate,20.0,3.4,4779.111588784195,132.75309968844988
ultimate,20.0,4.25,4709.059464518629,130.8072073477397
ultimate,20.0,5.1,4639.0073402530625,128.8613150070295
ultimate,20.0,5.95,4568.955215987497,126.91542266631934
ultimate,20.0,6.8,4498.90309172193,124.96953032560916
ultimate,20.0,7.6499999999999995,4428.850967456364,123.023637984899
ultimate,20.0,8.5,4358.798843190797,121.07774564418881
ultimate,20.0,9.35,4288.746718925231,119.13185330347864
ultimate,20.0,10.2,4218.694594659664,117.18596096276845
ultimate,20.0,11.049999999999999,4148.642470394098,115.24006862205829
ultimate,20.0,11.9,4078.590346128532,113.29417628134811
ultimate,20.0,12.75,4008.5382218629657,111.34828394063794
ultimate,20.0,13.6,3938.4860975973997,109.40239159992777
ultimate,20.0,14.45,3868.433973331833,107.45649925921758
ultimate,20.0,15.299999999999999,3798.381849066267,105.51060691850742
ultimate,20.0,16.15,3728.3297248007,103.56471457779723
ultimate,20.0,17.0,3658.2776005351343,101.61882223708706
ultimate,20.0,17.849999999999998,3588.225476269568,99.67292989637689
ultimate,20.0,18.7,3518.1733520040016,97.72703755566671
ultimate,20.0,19.55,3448.1212277384348,95.78114521495652
ultimate,20.0,20.4,3378.069103472869,93.83525287424635
ultimate,20.0,21.25,3308.0169792073025,91.88936053353618
ultimate,20.0,22.099999999999998,3237.964854941736,89.943468192826
ultimate,20.0,22.95,3167.9127306761698,87.99757585211583
ultimate,20.0,23.8,3097.8606064106034,86.05168351140566
ultimate,20.0,24.65,3027.8084821450375,84.10579117069548
ultimate,20.0,25.5,2957.7563578794707,82.1598988299853
ultimate,20.0,26.349999999999998,2887.7042336139048,80.21400648927514
ultimate,20.0,27.2,2817.6521093483384,78.26811414856496
ultimate,20.0,28.05,2747.5999850827716,76.32222180785476
ultimate,20.0,28.9,2677.5478608172057,74.3763294671446
ultimate,20.0,29.75,2607.4957365516393,72.43043712643443
ultimate,20.0,30.599999999999998,2537.443612286073,70.48454478572425
ultimate,20.0,31.45,2467.3914880205066,68.53865244501407
ultimate,20.0,32.3,2397.33936375494,66.59276010430389
ultimate,20.0,33.15,2327.287239489374,64.64686776359372
ultimate,20.0,34.0,2257.2351152238075,62.700975422883545
ultimate,20.0,34.85,2187.182990958241,60.755083082173364
ultimate,20.0,35.699999999999996,2117.130866692675,58.8091907414632
ultimate,20.0,36.55,2047.0787424271089,56.863298400753024
ultimate,20.0,37.4,1977.0266181615425,54.91740606004285
ultimate,20.0,38.25,1906.9744938959757,52.971513719332656
ultimate,20.0,39.1,1836.9223696304093,51.02562137862248
ultimate,20.0,39.949999999999996,1766.8702453648434,49.079729037912315
ultimate,20.0,40.8,1696.818121099277,47.13383669720214
ultimate,20.0,41.65,1626.7659968337107,45.18794435649196
ultimate,20.0,42.5,1556.7138725681443,43.24205201578179
