Kt_bending,station_above_U_mm,station_above_A_mm,OD_mm,limit_case,limit_vm_MPa,MS_limit_7075,ultimate_case,ultimate_vm_MPa,MS_ultimate_7075,PASS
1.5,503.780356685791,978.780356685791,96.0,LC4+,190.69459276299793,1.6377255522139866,LC4+,286.04188914449696,0.9997071118176275,True
1.5,508.780356685791,983.780356685791,74.0,LC4+,417.1539535714341,0.2057898425595659,LC4+,625.7309303571514,-0.08586906568048847,False
1.5,508.780356685791,983.780356685791,80.0,LC4+,330.3233043908193,0.5227505698625479,LC4+,495.484956586229,0.15442455395808796,True
1.5,508.780356685791,983.780356685791,85.0,LC4+,275.50766861223684,0.8257205054714725,LC4+,413.2615029183554,0.38411150315398523,True
1.5,508.780356685791,983.780356685791,90.0,LC4+,232.1903458503163,1.1663260725071822,LC4+,348.2855187754745,0.6423307004295666,True
1.5,508.780356685791,983.780356685791,96.0,LC4+,191.41472743388903,1.6278019812959612,LC4+,287.12209115083357,0.9921838744881242,True
2.0,498.780356685791,973.780356685791,74.0,LC4+,551.152809421011,-0.08736743893512189,LC4+,826.7292141315166,-0.3081168655677796,False
2.0,498.780356685791,973.780356685791,80.0,LC4+,436.3771175993914,0.15267272208752836,LC4+,654.5656763990872,-0.1261381086360952,False
2.0,498.780356685791,973.780356685791,85.0,LC4+,363.9254212892797,0.38215131610762554,LC4+,545.8881319339196,0.04783373467668883,True
2.0,498.780356685791,973.780356685791,90.0,LC4+,306.6753285153217,0.6401710644124077,LC4+,460.0129927729826,0.24344313962080455,True
2.0,498.780356685791,973.780356685791,96.0,LC4+,252.78846192959048,0.9898060068109489,LC4+,379.18269289438575,0.5085076685167165,True
2.0,503.780356685791,978.780356685791,74.0,LC4+,553.2491941964618,-0.09082560756268898,LC4+,829.873791294693,-0.3107385653092887,False
2.0,503.780356685791,978.780356685791,80.0,LC4+,438.0363078811244,0.1483066379431397,LC4+,657.0544618216866,-0.12944811543608226,False
2.0,503.780356685791,978.780356685791,85.0,LC4+,365.3086990002461,0.37691766272355065,LC4+,547.9630485003693,0.0438660080554949,True
2.0,503.780356685791,978.780356685791,90.0,LC4+,307.8406308805444,0.6339623478590972,LC4+,461.7609463208166,0.23873620009993846,True
2.0,503.780356685791,978.780356685791,96.0,LC4+,253.74864149077857,0.9822766224278661,LC4+,380.62296223616784,0.5027995069963411,True
2.0,508.780356685791,983.780356685791,74.0,LC4+,555.3455789719127,-0.09425766757487797,LC4+,833.0183684578691,-0.31334047164059675,False
2.0,508.780356685791,983.780356685791,80.0,LC4+,439.69549816285735,0.14397350462227276,LC4+,659.5432472442861,-0.13273314162499683,False
2.0,508.780356685791,983.780356685791,85.0,LC4+,366.69197671121265,0.3717234953197146,LC4+,550.037965066819,0.03992821646504541,True
2.0,508.780356685791,983.780356685791,90.0,LC4+,309.005933245767,0.6278004590932575,LC4+,463.5088998686504,0.2340647615657303,True
2.0,508.780356685791,983.780356685791,96.0,LC4+,254.70882105196668,0.9748040053052422,LC4+,382.0632315779499,0.4971343817555982,True
2.5,498.780356685791,973.780356685791,74.0,LC4+,688.2962424337642,-0.26921001599336136,LC4+,1032.4443636506464,-0.4459749889306862,False
2.5,498.780356685791,973.780356685791,80.0,LC4+,544.919716230563,-0.07692824278875277,LC4+,817.3795743458446,-0.3002027234925999,False
2.5,498.780356685791,973.780356685791,85.0,LC4+,454.4180905327722,0.10691015714244356,LC4+,681.6271357991583,-0.16083153096689506,False
2.5,498.780356685791,973.780356685791,90.0,LC4+,382.90826472816116,0.31363056463953787,LC4+,574.3623970922416,-0.004113077569495194,False
2.5,498.780356685791,973.780356685791,96.0,LC4+,315.602465767074,0.593777154996096,LC4+,473.4036986506111,0.20827108370810699,True
2.5,503.780356685791,978.780356685791,74.0,LC4+,690.9167234030778,-0.27198172665079345,LC4+,1036.3750851046168,-0.44807627255699656,False
2.5,503.780356685791,978.780356685791,80.0,LC4+,546.9937040827292,-0.08042817267248736,LC4+,820.490556124094,-0.3028560831923962,False
2.5,503.780356685791,978.780356685791,85.0,LC4+,456.14718767148025,0.10271424135637419,LC4+,684.2207815072206,-0.16401253007840189,False
2.5,503.780356685791,978.780356685791,90.0,LC4+,384.3648926846893,0.3086522977857711,LC4+,576.547339027034,-0.007887191075598321,False
2.5,503.780356685791,978.780356685791,96.0,LC4+,316.8026902185591,0.5877390424083366,LC4+,475.20403532783877,0.20369348211738703,True
2.5,508.780356685791,983.780356685791,74.0,LC4+,693.5372043723912,-0.27473249188529947,LC4+,1040.305806558587,-0.4501616770820296,False
2.5,508.780356685791,983.780356685791,80.0,LC4+,549.0676919348955,-0.08390166205655725,LC4+,823.6015379023432,-0.30548939787455365,False
2.5,508.780356685791,983.780356685791,85.0,LC4+,457.87628481018834,0.09855001599071156,LC4+,686.8144272152826,-0.1671695041130724,False
2.5,508.780356685791,983.780356685791,90.0,LC4+,385.82152064121766,0.3037116207619448,LC4+,578.7322809618264,-0.011632807056550676,False
2.5,508.780356685791,983.780356685791,96.0,LC4+,318.0029146700442,0.581746508587528,LC4+,477.00437200506633,0.1991504346084374,True
3.0,498.780356685791,973.780356685791,74.0,LC4+,825.4396754465173,-0.3906277890896088,LC4+,1238.159513169776,-0.5380239832461977,False
3.0,498.780356685791,973.780356685791,80.0,LC4+,653.4623148617346,-0.2302540046147432,LC4+,980.193472292602,-0.41644173709692933,False
3.0,498.780356685791,973.780356685791,85.0,LC4+,544.9107597762647,-0.07691307067137543,LC4+,817.3661396643971,-0.3001912212379414,False
3.0,498.780356685791,973.780356685791,90.0,LC4+,459.1412009410004,0.09552355347137631,LC4+,688.7118014115006,-0.16946391970095787,False
3.0,498.780356685791,973.780356685791,96.0,LC4+,378.4164696045576,0.32922333038419604,LC4+,567.6247044068364,0.0077080781706564405,True
3.0,503.780356685791,978.780356685791,74.0,LC4+,828.5842526096934,-0.3929404301182884,LC4+,1242.8763789145405,-0.5397772379425594,False
3.0,503.780356685791,978.780356685791,80.0,LC4+,655.9511002843341,-0.23317454642279678,LC4+,983.9266504265013,-0.4186558522913716,False
3.0,503.780356685791,978.780356685791,85.0,LC4+,546.9856763427144,-0.08041467673671798,LC4+,820.4785145140717,-0.3028458516811169,False
3.0,503.780356685791,978.780356685791,90.0,LC4+,460.88915448883427,0.0913687056877488,LC4+,691.3337317332516,-0.17261378442227682,False
3.0,503.780356685791,978.780356685791,96.0,LC4+,379.85673894633965,0.32418343135161853,LC4+,569.7851084195098,0.0038872402029492825,True
3.0,508.780356685791,983.780356685791,74.0,LC4+,831.7288297728699,-0.39523558400956205,LC4+,1247.5932446593051,-0.5415172353260034,False
3.0,508.780356685791,983.780356685791,80.0,LC4+,658.4398857069338,-0.23607300997576386,LC4+,987.6598285604006,-0.42085322956413107,False
3.0,508.780356685791,983.780356685791,85.0,LC4+,549.0605929091641,-0.08388981745186797,LC4+,823.5908893637466,-0.30548041826702277,False
3.0,508.780356685791,983.780356685791,90.0,LC4+,462.6371080366683,0.08724525391969329,LC4+,693.9556620550024,-0.17573984726035186,False
3.0,508.780356685791,983.780356685791,96.0,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,True
