OD_mm,ID_mm,wall_mm,A_m2,I_m4,J_m4,c_m,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_governing_case,limit_tau_screen_MPa,MS_limit_shear,ultimate_shear_governing_case,ultimate_tau_screen_MPa,MS_ultimate_shear,PASS
45.0,26.5,9.25,0.0010388854206339747,1.7708126646400045e-07,3.541625329280009e-07,0.0225,8.176028260389382,LC2A,393.2266283650046,2.857826226844118,LC2A,589.8399425475068,2.1567885890502088,LC2A,49.64941306520642,16.640497727745313,LC2A,74.47411959780963,13.434896404773356,True
45.0,26.0,9.5,0.0010595021224231577,1.788572020415593e-07,3.577144040831186e-07,0.0225,8.338281703470251,LC2A,389.32214394175696,2.8965160949769784,LC2A,583.9832159126355,2.188447799976767,LC2A,48.68329216605026,16.990573755228446,LC2A,73.02493824907538,13.72135721038689,True
45.0,25.5,9.75,0.001079726125130642,1.8053358226598435e-07,3.610671645319687e-07,0.0225,8.497444604778153,LC2A,385.70701630266126,2.933037087429133,LC2A,578.5605244539918,2.2183322596321897,LC2A,47.771421081652505,17.33398166790238,LC2A,71.65713162247877,14.00236161970302,True
45.0,25.0,10.0,0.0010995574287564274,1.8211419913778327e-07,3.6422839827556654e-07,0.0225,8.653516964313084,LC2A,382.3593640030294,2.9674718153050934,LC2A,573.539046004544,2.2465095671712083,LC2A,46.909829380001284,17.670721465767105,LC2A,70.36474407000193,14.27790963272175,True
50.0,47.0,1.5,0.0002285508655486578,6.726537661678932e-08,1.3453075323357863e-07,0.025,1.798695311867937,LC2A,1150.221420828319,0.31887649849848,LC2A,1725.3321312424787,0.07921249844173572,LC2A,225.68302794502296,2.8808428189558835,LC2A,338.52454191753446,2.1756226450871696,True
50.0,46.5,1.75,0.00026526822968748847,7.72966752412808e-08,1.545933504825616e-07,0.025,2.0876609676405344,LC2A,1000.9496116515425,0.515560805800191,LC2A,1501.4244174773135,0.24015566706216496,LC2A,194.44488862176672,3.5043115536163194,LC2A,291.6673329326501,2.6857956988941276,True
50.0,46.0,2.0,0.0003015928947446207,8.700955013382299e-08,1.7401910026764598e-07,0.025,2.3735360816401645,LC2A,889.2136201798328,0.7060017588273164,LC2A,1333.820430269749,0.39599001315599347,LC2A,171.0254196145877,4.121112173467558,LC2A,256.53812942188154,3.190512356403689,True
50.0,45.5,2.25,0.00033752486072005373,9.641081216911408e-08,1.9282162433822816e-07,0.025,2.656320653866823,LC2A,802.5041520135798,0.8903328988313193,LC2A,1203.7562280203695,0.5468248110849998,LC2A,152.8185250308359,4.7312446785095865,LC2A,229.22778754625386,3.6897726176158425,True
50.0,45.0,2.5,0.0003730641276137884,1.0550719859077448e-07,2.1101439718154896e-07,0.025,2.9360146843205146,LC2A,733.3156229918195,1.068686323374462,LC2A,1099.973434487729,0.6927681538665122,LC2A,138.26054975158254,5.334709068742419,LC2A,207.3908246273738,4.183576482530602,True
50.0,44.5,2.75,0.0004082106954258243,1.1430537301134677e-07,2.2861074602269353e-07,0.025,3.2126181730012373,LC2A,676.8717430022742,1.2411926863297986,LC2A,1015.3076145034113,0.8339269531734059,LC2A,126.35644277441405,5.931505344166047,LC2A,189.5346641616211,4.671923951147958,True
