thread_major_mm,thread_pitch_mm,thread_pitch_diameter_mm,external_thread_minor_mm,internal_thread_minor_mm,engagement_mm,engaged_threads,boss_OD_mm,boss_root_wall_mm,gland_bore_mm,gland_root_wall_mm,external_strip_area_mm2,internal_strip_area_mm2,gland_neck_area_mm2,boss_annulus_area_mm2,tau_ext_phys_MPa,tau_ext_virtual_MPa,tau_int_phys_MPa,tau_int_virtual_MPa,gland_neck_phys_MPa,gland_neck_virtual_MPa,boss_axial_phys_MPa,boss_axial_virtual_MPa,boss_hoop_virtual_MPa,boss_vm_virtual_MPa,ext_thread_virtual_MS_yield,int_thread_virtual_MS_yield,gland_neck_virtual_MS_yield,boss_pressure_virtual_MS_yield
70.0,2.0,68.700962,67.546262,67.834936,10.0,5.0,80.0,5.0,59.0,4.273130999999999,1061.014202383257,1099.5574287564275,849.4061582085078,1178.0972450961724,28.173722305762134,31.88063050350816,27.186137548289334,30.763106010216493,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,26.472491745866957,27.470478828431496,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,10.0,5.0,82.0,6.0,59.0,4.273130999999999,1061.014202383257,1099.5574287564275,849.4061582085078,1432.5662500369456,28.173722305762134,31.88063050350816,27.186137548289334,30.763106010216493,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,26.472491745866957,27.470478828431496,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,10.0,5.0,84.0,7.0,59.0,4.273130999999999,1061.014202383257,1099.5574287564275,849.4061582085078,1693.3184402848985,28.173722305762134,31.88063050350816,27.186137548289334,30.763106010216493,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,26.472491745866957,27.470478828431496,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,10.0,5.0,86.0,8.0,59.0,4.273130999999999,1061.014202383257,1099.5574287564275,849.4061582085078,1960.3538158400308,28.173722305762134,31.88063050350816,27.186137548289334,30.763106010216493,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,26.472491745866957,27.470478828431496,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,10.0,5.0,88.0,9.0,59.0,4.273130999999999,1061.014202383257,1099.5574287564275,849.4061582085078,2233.6723767023427,28.173722305762134,31.88063050350816,27.186137548289334,30.763106010216493,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,26.472491745866957,27.470478828431496,37.093676292147855,29.590806814851163
70.0,2.0,68.700962,67.546262,67.834936,12.0,6.0,80.0,5.0,59.0,4.273130999999999,1273.2170428599084,1319.4689145077132,849.4061582085078,1178.0972450961724,23.478101921468447,26.567192086256803,22.65511462357444,25.635921675180406,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,31.966990095040344,33.1645745941178,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,12.0,6.0,82.0,6.0,59.0,4.273130999999999,1273.2170428599084,1319.4689145077132,849.4061582085078,1432.5662500369456,23.478101921468447,26.567192086256803,22.65511462357444,25.635921675180406,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,31.966990095040344,33.1645745941178,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,12.0,6.0,84.0,7.0,59.0,4.273130999999999,1273.2170428599084,1319.4689145077132,849.4061582085078,1693.3184402848985,23.478101921468447,26.567192086256803,22.65511462357444,25.635921675180406,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,31.966990095040344,33.1645745941178,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,12.0,6.0,86.0,8.0,59.0,4.273130999999999,1273.2170428599084,1319.4689145077132,849.4061582085078,1960.3538158400308,23.478101921468447,26.567192086256803,22.65511462357444,25.635921675180406,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,31.966990095040344,33.1645745941178,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,12.0,6.0,88.0,9.0,59.0,4.273130999999999,1273.2170428599084,1319.4689145077132,849.4061582085078,2233.6723767023427,23.478101921468447,26.567192086256803,22.65511462357444,25.635921675180406,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,31.966990095040344,33.1645745941178,37.093676292147855,29.590806814851163
70.0,2.0,68.700962,67.546262,67.834936,15.0,7.5,80.0,5.0,59.0,4.273130999999999,1591.5213035748855,1649.3361431346414,849.4061582085078,1178.0972450961724,18.782481537174757,21.253753669005444,18.124091698859555,20.50873734014433,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,40.20873761880043,41.705718242647244,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,15.0,7.5,82.0,6.0,59.0,4.273130999999999,1591.5213035748855,1649.3361431346414,849.4061582085078,1432.5662500369456,18.782481537174757,21.253753669005444,18.124091698859555,20.50873734014433,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,40.20873761880043,41.705718242647244,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,15.0,7.5,84.0,7.0,59.0,4.273130999999999,1591.5213035748855,1649.3361431346414,849.4061582085078,1693.3184402848985,18.782481537174757,21.253753669005444,18.124091698859555,20.50873734014433,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,40.20873761880043,41.705718242647244,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,15.0,7.5,86.0,8.0,59.0,4.273130999999999,1591.5213035748855,1649.3361431346414,849.4061582085078,1960.3538158400308,18.782481537174757,21.253753669005444,18.124091698859555,20.50873734014433,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,40.20873761880043,41.705718242647244,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,15.0,7.5,88.0,9.0,59.0,4.273130999999999,1591.5213035748855,1649.3361431346414,849.4061582085078,2233.6723767023427,18.782481537174757,21.253753669005444,18.124091698859555,20.50873734014433,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,40.20873761880043,41.705718242647244,37.093676292147855,29.590806814851163
70.0,2.0,68.700962,67.546262,67.834936,20.0,10.0,80.0,5.0,59.0,4.273130999999999,2122.028404766514,2199.114857512855,849.4061582085078,1178.0972450961724,14.086861152881067,15.94031525175408,13.593068774144667,15.381553005108247,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,53.944983491733915,55.94095765686299,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,20.0,10.0,82.0,6.0,59.0,4.273130999999999,2122.028404766514,2199.114857512855,849.4061582085078,1432.5662500369456,14.086861152881067,15.94031525175408,13.593068774144667,15.381553005108247,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,53.944983491733915,55.94095765686299,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,20.0,10.0,84.0,7.0,59.0,4.273130999999999,2122.028404766514,2199.114857512855,849.4061582085078,1693.3184402848985,14.086861152881067,15.94031525175408,13.593068774144667,15.381553005108247,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,53.944983491733915,55.94095765686299,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,20.0,10.0,86.0,8.0,59.0,4.273130999999999,2122.028404766514,2199.114857512855,849.4061582085078,1960.3538158400308,14.086861152881067,15.94031525175408,13.593068774144667,15.381553005108247,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,53.944983491733915,55.94095765686299,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,20.0,10.0,88.0,9.0,59.0,4.273130999999999,2122.028404766514,2199.114857512855,849.4061582085078,2233.6723767023427,14.086861152881067,15.94031525175408,13.593068774144667,15.381553005108247,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,53.944983491733915,55.94095765686299,37.093676292147855,29.590806814851163
