station_label,extra_above_E2_boundary_mm,station_above_U_mm,station_above_A_static_mm,level,case,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,resultant_moment_kNm,transport_residual_Mx_kNm,transport_residual_My_kNm,transport_residual_Mz_kNm
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,limit,LC4+,0.0,8.34,11.0922,11.328892174759497,-0.0,-0.0,11.328892174759497,1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,limit,LC4-,0.0,-8.34,11.0922,-8.666764174759498,-0.0,-0.0,8.666764174759498,-1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,limit,LC5,-8.87376,0.0,11.0922,1.331064,10.637689177944106,1.0648512,10.773396423449134,0.0,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC1,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC2A,-9.3825,0.0,37.53,4.5036,11.247556696604436,1.1259,12.167891987247884,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC2B,9.3825,0.0,37.53,4.5036,-11.247556696604436,-1.1259,12.167891987247884,0.0,-1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC3,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC4+,0.0,12.51,16.638300000000005,16.993338262139247,-0.0,-0.0,16.993338262139247,0.0,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC4-,0.0,-12.51,16.638300000000005,-13.000146262139246,-0.0,-0.0,13.000146262139246,-1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,1023.780356685791,ultimate,LC5,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.956533766916158,1.5972768,16.1600946351737,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC1,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC2A,-6.255,0.0,25.02,3.0023999999999997,7.654746131069622,0.7505999999999999,8.256690889885933,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC2B,6.255,0.0,25.02,3.0023999999999997,-7.654746131069622,-0.7505999999999999,8.256690889885933,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC3,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC4+,0.0,8.34,11.0922,11.537392174759496,-0.0,-0.0,11.537392174759496,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC4-,0.0,-8.34,11.0922,-8.875264174759497,-0.0,-0.0,8.875264174759497,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,limit,LC5,-8.87376,0.0,11.0922,1.331064,10.859533177944106,1.0648512,10.992502003325097,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC1,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC2A,-9.3825,0.0,37.53,4.5036,11.482119196604435,1.1259,12.385036334828898,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC2B,9.3825,0.0,37.53,4.5036,-11.482119196604435,-1.1259,12.385036334828898,0.0,-1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC3,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC4+,0.0,12.51,16.638300000000005,17.306088262139244,-0.0,-0.0,17.306088262139244,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC4-,0.0,-12.51,16.638300000000005,-13.312896262139244,-0.0,-0.0,13.312896262139244,0.0,0.0,0.0
E2_BOUNDARY_PLUS_75MM,75.0,573.780356685791,1048.780356685791,ultimate,LC5,-13.31064,0.0,16.638300000000005,1.9965960000000005,16.289299766916155,1.5972768,16.48875300498764,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC1,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC2A,-6.255,0.0,25.02,3.0023999999999997,7.811121131069622,0.7505999999999999,8.401869996866315,0.0,-8.881784197001252e-16,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC2B,6.255,0.0,25.02,3.0023999999999997,-7.811121131069622,-0.7505999999999999,8.401869996866315,0.0,8.881784197001252e-16,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC3,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC4+,0.0,8.34,11.0922,11.745892174759495,-0.0,-0.0,11.745892174759495,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC4-,0.0,-8.34,11.0922,-9.083764174759496,-0.0,-0.0,9.083764174759496,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,limit,LC5,-8.87376,0.0,11.0922,1.331064,11.081377177944105,1.0648512,11.211715284027592,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC1,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC2A,-9.3825,0.0,37.53,4.5036,11.716681696604434,1.1259,12.602804995299472,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC2B,9.3825,0.0,37.53,4.5036,-11.716681696604434,-1.1259,12.602804995299472,0.0,-1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC3,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC4+,0.0,12.51,16.638300000000005,17.618838262139246,-0.0,-0.0,17.618838262139246,0.0,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC4-,0.0,-12.51,16.638300000000005,-13.625646262139243,-0.0,-0.0,13.625646262139243,1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY_PLUS_100MM,100.0,598.780356685791,1073.780356685791,ultimate,LC5,-13.31064,0.0,16.638300000000005,1.9965960000000005,16.622065766916155,1.5972768,16.817572926041386,0.0,0.0,0.0
