upper_OD_mm,taper_start_A_mm,Kt_peak_sensitivity,station_A_mm,station_U_mm,profile_OD_mm,local_Kt_sensitivity,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
90.0,300.0,1.25,510.0,35.0,77.69391908493613,1.2145334189669528,LC4+,353.2855982055601,0.42377725713950043,LC4+,529.9283973083402,0.07939110812961458,True
90.0,300.0,1.25,520.0,45.0,78.00346336174735,1.2199032672708967,LC4+,349.918577775201,0.43747726456279623,LC4+,524.8778666628017,0.08977732979445885,True
90.0,300.0,1.25,530.0,55.0,78.3203447347625,1.224832567503048,LC4+,346.3782555796623,0.45216967837150146,LC4+,519.5673833694937,0.10091591256262245,True
90.0,300.0,1.25,540.0,65.0,78.6439355125615,1.2293213196634063,LC4+,342.69360492294385,0.46778344496128477,LC4+,514.0404073844159,0.11275298942061585,True
90.0,300.0,1.25,550.0,75.0,78.97360800372424,1.233369523751972,LC4+,338.89111948843964,0.4842525255878194,LC4+,508.33667923265944,0.12523849521038133,True
90.0,300.0,1.25,560.0,85.0,79.30873451683063,1.2369771797687448,LC4+,334.994905788354,0.5015153702599577,LC4+,502.492358682531,0.1383257677782581,True
90.0,300.0,1.25,570.0,95.0,79.64868736046057,1.240144287713725,LC4+,331.0267975955179,0.5195144431014205,LC4+,496.54019639327703,0.15197118814315735,True
90.0,300.0,1.25,580.0,105.0,79.99283884319397,1.2428708475869121,LC4+,327.0064851534728,0.5381957937743307,LC4+,490.5097277302092,0.166133855585046,True
90.0,300.0,1.25,590.0,115.0,80.34056127361072,1.245156859388307,LC4+,322.951653255384,0.5575086701978802,LC4+,484.42747988307593,0.18077529404001003,True
90.0,300.0,1.25,600.0,125.0,80.69122696029072,1.2470023231179086,LC4+,318.87812344690457,0.5774051683534602,LC4+,478.3171851703567,0.1958591866112387,True
90.0,300.0,1.25,610.0,135.0,81.04420821181391,1.2484072387757177,LC4+,314.7999966296313,0.5978399154552401,LC4+,472.199994944447,0.21135113537494687,True
90.0,300.0,1.25,620.0,145.0,81.39887733676015,1.249371606361734,LC4+,310.72979321881274,0.6187697831916379,LC4+,466.09468982821926,0.22721844398358737,True
90.0,300.0,1.25,630.0,155.0,81.75460664370937,1.2498954258759574,LC4+,306.67858874753705,0.6401536281167579,LC4+,460.0178831213055,0.24342992085193593,True
90.0,300.0,1.25,640.0,165.0,82.11076844124148,1.249978697318388,LC4+,302.65614342056404,0.6619520565985761,LC4+,453.984215130846,0.259955700960087,True
90.0,300.0,1.25,650.0,175.0,82.46673503793635,1.249621420689026,LC4+,298.67102461763216,0.6841272120184945,LC4+,448.0065369264483,0.27676708452561805,True
90.0,300.0,1.25,660.0,185.0,82.82187874237391,1.248823595987871,LC4+,294.73072174279815,0.7066425821701465,LC4+,442.09608261419726,0.2938363909891635,True
90.0,300.0,1.25,670.0,195.0,83.17557186313407,1.2475852232149236,LC4+,290.8417531274618,0.729462825028288,LC4+,436.2626296911928,0.31113682692668054,True
90.0,300.0,1.25,680.0,205.0,83.5271867087967,1.2459063023701833,LC4+,287.00976493363896,0.7525536112553566,LC4+,430.51464740045856,0.3286423666508467,True
90.0,300.0,1.25,690.0,215.0,83.87609558794173,1.2437868334536502,LC4+,283.2396221831271,0.7758814819869657,LC4+,424.85943327469056,0.3463276443956853,True
90.0,300.0,1.25,700.0,225.0,84.22167080914907,1.2412268164653242,LC4+,279.5354921683835,0.7994137205911886,LC4+,419.30323825257534,0.36416785709497623,True
90.0,300.0,1.25,710.0,235.0,84.56328468099862,1.2382262514052054,LC4+,275.9009205917267,0.8231182372324539,LC4+,413.85138088759004,0.38213867686807634,True
90.0,300.0,1.25,720.0,245.0,84.90030951207027,1.234785138273294,LC4+,272.3389008389854,0.8469634651914384,LC4+,408.50835125847817,0.4002161724181612,True
90.0,300.0,1.25,730.0,255.0,85.23211761094393,1.2309034770695897,LC4+,268.8519368288243,0.8709182679991467,LC4+,403.2779052432364,0.41837673862890945,True
90.0,300.0,1.25,740.0,265.0,85.5580812861995,1.2265812677940928,LC4+,265.44209989527167,0.8949518565384134,LC4+,398.16314984290767,0.43659703371765657,True
90.0,300.0,1.25,750.0,275.0,85.8775728464169,1.221818510446803,LC4+,262.11108016316365,0.9190337153503143,LC4+,393.1666202447454,0.4548539233669715,True
90.0,300.0,1.25,760.0,285.0,86.189964600176,1.2166152050277206,LC4+,258.8602328679978,0.9431335374580223,LC4+,388.29034930199686,0.4731244313134373,True
90.0,300.0,1.25,770.0,295.0,86.49462885605674,1.2109713515368452,LC4+,255.69062005608225,0.9672211670872941,LC4+,383.5359300841233,0.49138569592303827,True
90.0,300.0,1.25,780.0,305.0,86.790937922639,1.204886949974177,LC4+,252.60304808023895,0.9912665497220083,LC4+,378.90457212035835,0.5096149323273544,True
90.0,300.0,1.25,790.0,315.0,87.07826410850271,1.1983620003397162,LC4+,249.59810128249964,1.015239688985837,LC4+,374.3971519237496,0.5277893997347889,True
90.0,300.0,1.25,800.0,325.0,87.35597972222774,1.1913965026334628,LC4+,246.67617222965234,1.039110609887823,LC4+,370.0142583444785,0.5458863735663813,True
90.0,300.0,1.25,810.0,335.0,87.62345707239402,1.1839904568554163,LC4+,243.83748884123352,1.0628493280108842,LC4+,365.7562332618503,0.5638831220970519,True
90.0,300.0,1.25,820.0,345.0,87.88006846758145,1.1761438630055772,LC4+,241.08213872339383,1.08642582425867,LC4+,361.62320808509077,0.5817568873107477,True
90.0,300.0,1.25,830.0,355.0,88.12518621636991,1.1678567210839452,LC4+,238.4100909965859,1.1098100248080653,LC4+,357.61513649487887,0.599484869702072,True
90.0,300.0,1.25,840.0,365.0,88.35818262733935,1.1591290310905205,LC4+,235.82121588063305,1.1329717859423063,LC4+,353.73182382094967,0.617044216777997,True
90.0,300.0,1.25,850.0,375.0,88.57843000906962,1.149960793025303,LC4+,233.31530227771563,1.1558808834633494,LC4+,349.97295341657355,0.6344120150311936,True
90.0,300.0,1.25,860.0,385.0,88.78530067014066,1.1403520068882929,LC4+,230.89207357231635,1.1785070064020986,LC4+,346.33811035847447,0.6515652851716376,True
90.0,300.0,1.25,870.0,395.0,88.97816691913235,1.1303026726794898,LC4+,228.55120184731868,1.2008197547612287,LC4+,342.8268027709779,0.6684809804154053,True
90.0,300.0,1.25,880.0,405.0,89.15640106462463,1.119812790398894,LC4+,226.29232069727107,1.222788641037901,LC4+,339.4384810459066,0.6851359876390712,True
90.0,300.0,1.25,890.0,415.0,89.31937541519737,1.1088823600465054,LC4+,224.11503680335284,1.2443830952822301,LC4+,336.17255520502925,0.7015071312146266,True
90.0,300.0,1.25,900.0,425.0,89.46646227943049,1.0975113816223243,LC4+,222.01894041974455,1.2655724734522122,LC4+,333.02841062961687,0.7175711793434927,True
90.0,300.0,1.25,910.0,435.0,89.59703396590388,1.0856998551263501,LC4+,220.0036149079523,1.2863260688259648,LC4+,330.00542236192854,0.7333048527083519,True
90.0,300.0,1.25,920.0,445.0,89.71046278319744,1.0734477805585831,LC4+,218.06864544405656,1.3066131262279055,LC4+,327.10296816608485,0.7486848352582662,True
90.0,300.0,1.25,930.0,455.0,89.80612103989111,1.0607551579190235,LC4+,216.21362701389822,1.326402858815495,LC4+,324.32044052084746,0.7636877869350069,True
90.0,300.0,1.25,940.0,465.0,89.88338104456476,1.0476219872076713,LC4+,214.43817180281636,1.345664467157119,LC4+,321.6572577042245,0.778290358136345,True
90.0,300.0,1.25,950.0,475.0,89.94161510579829,1.034048268424526,LC4+,212.74191607976104,1.364367160308059,LC4+,319.1128741196415,0.7924692056941152,True
90.0,300.0,1.25,960.0,485.0,89.98019553217163,1.0200340015695881,LC4+,211.12452667044775,1.3824801785590344,LC4+,316.6867900056716,0.8062010101203021,True
90.0,300.0,1.25,970.0,495.0,89.99849463226467,1.0055791866428574,LC4+,209.58570711079796,1.3999728174883983,LC4+,314.37856066619696,0.8194624938414363,True
90.0,300.0,1.25,973.780356685791,498.78035668579105,90.0,1.0,LC4+,209.02438987570713,1.4064177405282732,LC4+,313.5365848135608,0.8243485057417783,True
90.0,300.0,1.5,250.0,-225.0,74.0,1.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471,True
90.0,300.0,1.5,260.0,-215.0,74.0,1.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456,True
90.0,300.0,1.5,270.0,-205.0,74.0,1.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916,True
