station_A_mm,outer_diameter_mm,outer_radius_mm,inner_diameter_mm,inner_radius_mm
216.000000,74.000000,37.000000,64.000000,32.000000
218.000000,74.000000,37.000000,64.000000,32.000000
220.000000,74.000000,37.000000,64.000000,32.000000
222.000000,74.000000,37.000000,64.000000,32.000000
224.000000,74.000000,37.000000,64.000000,32.000000
226.000000,74.000000,37.000000,64.000000,32.000000
228.000000,74.000000,37.000000,64.000000,32.000000
230.000000,74.000000,37.000000,64.000000,32.000000
232.000000,74.000000,37.000000,64.000000,32.000000
234.000000,74.000000,37.000000,64.000000,32.000000
236.000000,74.000000,37.000000,64.000000,32.000000
238.000000,74.000000,37.000000,64.000000,32.000000
240.000000,74.000000,37.000000,64.000000,32.000000
242.000000,74.000000,37.000000,64.000000,32.000000
244.000000,74.000000,37.000000,64.000000,32.000000
246.000000,74.000000,37.000000,64.000000,32.000000
248.000000,74.000000,37.000000,64.000000,32.000000
250.000000,74.000000,37.000000,64.000000,32.000000
252.000000,74.000000,37.000000,64.000000,32.000000
254.000000,74.000000,37.000000,64.000000,32.000000
256.000000,74.000000,37.000000,64.000000,32.000000
258.000000,74.000000,37.000000,64.000000,32.000000
260.000000,74.000000,37.000000,64.000000,32.000000
262.000000,74.000000,37.000000,64.000000,32.000000
264.000000,74.000000,37.000000,64.000000,32.000000
266.000000,74.000000,37.000000,64.000000,32.000000
268.000000,74.000000,37.000000,64.000000,32.000000
270.000000,74.000000,37.000000,64.000000,32.000000
272.000000,74.000000,37.000000,64.000000,32.000000
274.000000,74.000000,37.000000,64.000000,32.000000
276.000000,74.000196,37.000098,64.000000,32.000000
278.000000,74.001764,37.000882,64.000000,32.000000
280.000000,74.004892,37.002446,64.000000,32.000000
282.000000,74.009569,37.004785,64.000000,32.000000
284.000000,74.015788,37.007894,64.000000,32.000000
286.000000,74.023539,37.011770,64.000000,32.000000
288.000000,74.032814,37.016407,64.000000,32.000000
290.000000,74.043603,37.021801,64.000000,32.000000
292.000000,74.055897,37.027948,64.000000,32.000000
294.000000,74.069687,37.034844,64.000000,32.000000
296.000000,74.084965,37.042482,64.000000,32.000000
298.000000,74.101721,37.050860,64.000000,32.000000
300.000000,74.119946,37.059973,64.000000,32.000000
302.000000,74.139632,37.069816,64.000000,32.000000
304.000000,74.160768,37.080384,64.000000,32.000000
306.000000,74.183348,37.091674,64.000000,32.000000
308.000000,74.207360,37.103680,64.000000,32.000000
310.000000,74.232797,37.116398,64.000000,32.000000
312.000000,74.259648,37.129824,64.000000,32.000000
314.000000,74.287907,37.143953,64.000000,32.000000
316.000000,74.317562,37.158781,64.000000,32.000000
318.000000,74.348606,37.174303,64.000000,32.000000
320.000000,74.381029,37.190514,64.000000,32.000000
322.000000,74.414822,37.207411,64.000000,32.000000
324.000000,74.449976,37.224988,64.000000,32.000000
326.000000,74.486483,37.243242,64.000000,32.000000
328.000000,74.524333,37.262166,64.000000,32.000000
330.000000,74.563517,37.281759,64.000000,32.000000
332.000000,74.604027,37.302013,64.000000,32.000000
334.000000,74.645852,37.322926,64.000000,32.000000
336.000000,74.688985,37.344492,64.000000,32.000000
338.000000,74.733416,37.366708,64.000000,32.000000
340.000000,74.779136,37.389568,64.000000,32.000000
342.000000,74.826137,37.413068,64.000000,32.000000
344.000000,74.874409,37.437204,64.000000,32.000000
346.000000,74.923943,37.461971,64.000000,32.000000
348.000000,74.974730,37.487365,64.000000,32.000000
350.000000,75.026761,37.513381,64.000000,32.000000
352.000000,75.080028,37.540014,64.000000,32.000000
354.000000,75.134520,37.567260,64.000000,32.000000
356.000000,75.190230,37.595115,64.000000,32.000000
358.000000,75.247148,37.623574,64.000000,32.000000
360.000000,75.305266,37.652633,64.000000,32.000000
362.000000,75.364573,37.682287,64.000000,32.000000
364.000000,75.425062,37.712531,64.000000,32.000000
366.000000,75.486723,37.743361,64.000000,32.000000
368.000000,75.549547,37.774773,64.000000,32.000000
370.000000,75.613525,37.806763,64.000000,32.000000
372.000000,75.678648,37.839324,64.000000,32.000000
374.000000,75.744908,37.872454,64.000000,32.000000
376.000000,75.812295,37.906147,64.000000,32.000000
378.000000,75.880800,37.940400,64.000000,32.000000
380.000000,75.950414,37.975207,64.000000,32.000000
382.000000,76.021128,38.010564,64.000000,32.000000
384.000000,76.092933,38.046467,64.000000,32.000000
386.000000,76.165821,38.082910,64.000000,32.000000
388.000000,76.239781,38.119891,64.000000,32.000000
390.000000,76.314806,38.157403,64.000000,32.000000
392.000000,76.390886,38.195443,64.000000,32.000000
394.000000,76.468012,38.234006,64.000000,32.000000
396.000000,76.546175,38.273088,64.000000,32.000000
398.000000,76.625366,38.312683,64.000000,32.000000
400.000000,76.705577,38.352788,64.000000,32.000000
402.000000,76.786797,38.393399,64.000000,32.000000
404.000000,76.869019,38.434509,64.000000,32.000000
406.000000,76.952233,38.476116,64.000000,32.000000
408.000000,77.036430,38.518215,64.000000,32.000000
410.000000,77.121601,38.560800,64.000000,32.000000
412.000000,77.207737,38.603868,64.000000,32.000000
414.000000,77.294829,38.647414,64.000000,32.000000
416.000000,77.382868,38.691434,64.000000,32.000000
418.000000,77.471846,38.735923,64.000000,32.000000
420.000000,77.561752,38.780876,64.000000,32.000000
422.000000,77.652579,38.826289,64.000000,32.000000
424.000000,77.744316,38.872158,64.000000,32.000000
426.000000,77.836956,38.918478,64.000000,32.000000
428.000000,77.930489,38.965244,64.000000,32.000000
430.000000,78.024906,39.012453,64.000000,32.000000
432.000000,78.120197,39.060099,64.000000,32.000000
434.000000,78.216355,39.108178,64.000000,32.000000
436.000000,78.313371,39.156685,64.000000,32.000000
438.000000,78.411234,39.205617,64.000000,32.000000
440.000000,78.509936,39.254968,64.000000,32.000000
442.000000,78.609468,39.304734,64.000000,32.000000
444.000000,78.709821,39.354911,64.000000,32.000000
446.000000,78.810987,39.405493,64.000000,32.000000
448.000000,78.912955,39.456478,64.000000,32.000000
450.000000,79.015718,39.507859,64.000000,32.000000
452.000000,79.119265,39.559633,64.000000,32.000000
454.000000,79.223589,39.611794,64.000000,32.000000
456.000000,79.328679,39.664340,64.000000,32.000000
458.000000,79.434528,39.717264,64.000000,32.000000
460.000000,79.541125,39.770563,64.000000,32.000000
462.000000,79.648463,39.824231,64.000000,32.000000
464.000000,79.756532,39.878266,64.000000,32.000000
466.000000,79.865322,39.932661,64.000000,32.000000
468.000000,79.974826,39.987413,64.000000,32.000000
470.000000,80.085034,40.042517,64.000000,32.000000
472.000000,80.195936,40.097968,64.000000,32.000000
474.000000,80.307525,40.153762,64.000000,32.000000
476.000000,80.419791,40.209895,64.000000,32.000000
478.000000,80.532724,40.266362,64.000000,32.000000
480.000000,80.646317,40.323159,64.000000,32.000000
482.000000,80.760560,40.380280,64.000000,32.000000
484.000000,80.875443,40.437722,64.000000,32.000000
486.000000,80.990959,40.495479,64.000000,32.000000
488.000000,81.107098,40.553549,64.000000,32.000000
490.000000,81.223850,40.611925,64.000000,32.000000
492.000000,81.341208,40.670604,64.000000,32.000000
494.000000,81.459161,40.729581,64.000000,32.000000
496.000000,81.577702,40.788851,64.000000,32.000000
498.000000,81.696820,40.848410,64.000000,32.000000
500.000000,81.816508,40.908254,64.000000,32.000000
502.000000,81.936755,40.968378,64.000000,32.000000
504.000000,82.057553,41.028777,64.000000,32.000000
506.000000,82.178894,41.089447,64.000000,32.000000
508.000000,82.300767,41.150384,64.000000,32.000000
510.000000,82.423164,41.211582,64.000000,32.000000
512.000000,82.546076,41.273038,64.000000,32.000000
514.000000,82.669494,41.334747,64.000000,32.000000
516.000000,82.793409,41.396705,64.000000,32.000000
518.000000,82.917812,41.458906,64.000000,32.000000
520.000000,83.042694,41.521347,64.000000,32.000000
522.000000,83.168046,41.584023,64.000000,32.000000
524.000000,83.293859,41.646929,64.000000,32.000000
526.000000,83.420123,41.710062,64.000000,32.000000
528.000000,83.546831,41.773415,64.000000,32.000000
530.000000,83.673972,41.836986,64.000000,32.000000
532.000000,83.801539,41.900769,64.000000,32.000000
534.000000,83.929521,41.964761,64.000000,32.000000
536.000000,84.057910,42.028955,64.000000,32.000000
538.000000,84.186697,42.093349,64.000000,32.000000
540.000000,84.315873,42.157937,64.000000,32.000000
542.000000,84.445429,42.222715,64.000000,32.000000
544.000000,84.575356,42.287678,64.000000,32.000000
546.000000,84.705645,42.352822,64.000000,32.000000
548.000000,84.836286,42.418143,64.000000,32.000000
550.000000,84.967271,42.483636,64.000000,32.000000
552.000000,85.098592,42.549296,64.000000,32.000000
554.000000,85.230238,42.615119,64.000000,32.000000
556.000000,85.362201,42.681100,64.000000,32.000000
558.000000,85.494472,42.747236,64.000000,32.000000
560.000000,85.627042,42.813521,64.000000,32.000000
562.000000,85.759901,42.879951,64.000000,32.000000
564.000000,85.893042,42.946521,64.000000,32.000000
566.000000,86.026454,43.013227,64.000000,32.000000
568.000000,86.160129,43.080065,64.000000,32.000000
570.000000,86.294058,43.147029,64.000000,32.000000
572.000000,86.428232,43.214116,64.000000,32.000000
574.000000,86.562642,43.281321,64.000000,32.000000
576.000000,86.697278,43.348639,64.000000,32.000000
578.000000,86.832133,43.416066,64.000000,32.000000
580.000000,86.967196,43.483598,64.000000,32.000000
582.000000,87.102459,43.551229,64.000000,32.000000
584.000000,87.237913,43.618956,64.000000,32.000000
586.000000,87.373548,43.686774,64.000000,32.000000
588.000000,87.509357,43.754678,64.000000,32.000000
590.000000,87.645329,43.822665,64.000000,32.000000
592.000000,87.781456,43.890728,64.000000,32.000000
594.000000,87.917729,43.958865,64.000000,32.000000
596.000000,88.054139,44.027070,64.000000,32.000000
598.000000,88.190677,44.095338,64.000000,32.000000
600.000000,88.327333,44.163666,64.000000,32.000000
602.000000,88.464099,44.232050,64.000000,32.000000
604.000000,88.600966,44.300483,64.000000,32.000000
606.000000,88.737925,44.368962,64.000000,32.000000
608.000000,88.874966,44.437483,64.000000,32.000000
610.000000,89.012082,44.506041,64.000000,32.000000
612.000000,89.149262,44.574631,64.000000,32.000000
614.000000,89.286497,44.643249,64.000000,32.000000
616.000000,89.423780,44.711890,64.000000,32.000000
618.000000,89.561100,44.780550,64.000000,32.000000
620.000000,89.698450,44.849225,64.000000,32.000000
622.000000,89.835819,44.917909,64.000000,32.000000
624.000000,89.973198,44.986599,64.000000,32.000000
626.000000,90.110580,45.055290,64.000000,32.000000
628.000000,90.247954,45.123977,64.000000,32.000000
630.000000,90.385312,45.192656,64.000000,32.000000
632.000000,90.522644,45.261322,64.000000,32.000000
634.000000,90.659943,45.329971,64.000000,32.000000
636.000000,90.797198,45.398599,64.000000,32.000000
638.000000,90.934401,45.467200,64.000000,32.000000
640.000000,91.071543,45.535771,64.000000,32.000000
642.000000,91.208614,45.604307,64.000000,32.000000
644.000000,91.345606,45.672803,64.000000,32.000000
646.000000,91.482510,45.741255,64.000000,32.000000
648.000000,91.619316,45.809658,64.000000,32.000000
650.000000,91.756017,45.878008,64.000000,32.000000
652.000000,91.892602,45.946301,64.000000,32.000000
654.000000,92.029062,46.014531,64.000000,32.000000
656.000000,92.165390,46.082695,64.000000,32.000000
658.000000,92.301575,46.150787,64.000000,32.000000
660.000000,92.437609,46.218804,64.000000,32.000000
662.000000,92.573482,46.286741,64.000000,32.000000
664.000000,92.709186,46.354593,64.000000,32.000000
666.000000,92.844712,46.422356,64.000000,32.000000
668.000000,92.980051,46.490025,64.000000,32.000000
670.000000,93.115193,46.557596,64.000000,32.000000
672.000000,93.250130,46.625065,64.000000,32.000000
674.000000,93.384852,46.692426,64.000000,32.000000
676.000000,93.519352,46.759676,64.000000,32.000000
678.000000,93.653619,46.826809,64.000000,32.000000
680.000000,93.787644,46.893822,64.000000,32.000000
682.000000,93.921420,46.960710,64.000000,32.000000
684.000000,94.054936,47.027468,64.000000,32.000000
686.000000,94.188183,47.094092,64.000000,32.000000
688.000000,94.321153,47.160577,64.000000,32.000000
690.000000,94.453837,47.226919,64.000000,32.000000
692.000000,94.586226,47.293113,64.000000,32.000000
694.000000,94.718310,47.359155,64.000000,32.000000
696.000000,94.850081,47.425041,64.000000,32.000000
698.000000,94.981530,47.490765,64.000000,32.000000
700.000000,95.112647,47.556323,64.000000,32.000000
